kind	path	children_or_shape	encoding
dataset	X	(4167, 3020)	
group	obs	CAV-CRE,DREO,DreO,EF1A-FLPO,EF1A-MCHERRY-IRES-CRE,Ef1a-FLPo,Ef1a-mCherry-IRES-Cre,FDIO-EYFP,HSYN-CRE,TDTOMATO,TURBORFP,__categories,_index,barcode,fdio-EYFP,leiden_0.2,leiden_0.4,leiden_0.6,leiden_0.8,leiden_1.0,leiden_1.2,n_counts,n_genes,percent_mito,percent_ribo,sample_number,tdTomato,transgene_present,turboRFP,which_transgenes	dataframe
dataset	obs/CAV-CRE	(4167,)	
dataset	obs/DREO	(4167,)	
dataset	obs/DreO	(4167,)	
dataset	obs/EF1A-FLPO	(4167,)	
dataset	obs/EF1A-MCHERRY-IRES-CRE	(4167,)	
dataset	obs/Ef1a-FLPo	(4167,)	
dataset	obs/Ef1a-mCherry-IRES-Cre	(4167,)	
dataset	obs/FDIO-EYFP	(4167,)	
dataset	obs/HSYN-CRE	(4167,)	
dataset	obs/TDTOMATO	(4167,)	
dataset	obs/TURBORFP	(4167,)	
group	obs/__categories	CAV-CRE,DREO,EF1A-FLPO,EF1A-MCHERRY-IRES-CRE,FDIO-EYFP,HSYN-CRE,TDTOMATO,TURBORFP,leiden_0.2,leiden_0.4,leiden_0.6,leiden_0.8,leiden_1.0,leiden_1.2,sample_number,transgene_present,which_transgenes	
dataset	obs/__categories/CAV-CRE	(1,)	
dataset	obs/__categories/DREO	(2,)	
dataset	obs/__categories/EF1A-FLPO	(2,)	
dataset	obs/__categories/EF1A-MCHERRY-IRES-CRE	(2,)	
dataset	obs/__categories/FDIO-EYFP	(2,)	
dataset	obs/__categories/HSYN-CRE	(1,)	
dataset	obs/__categories/TDTOMATO	(2,)	
dataset	obs/__categories/TURBORFP	(2,)	
dataset	obs/__categories/leiden_0.2	(10,)	
dataset	obs/__categories/leiden_0.4	(14,)	
dataset	obs/__categories/leiden_0.6	(17,)	
dataset	obs/__categories/leiden_0.8	(21,)	
dataset	obs/__categories/leiden_1.0	(23,)	
dataset	obs/__categories/leiden_1.2	(24,)	
dataset	obs/__categories/sample_number	(3,)	
dataset	obs/__categories/transgene_present	(2,)	
dataset	obs/__categories/which_transgenes	(18,)	
dataset	obs/_index	(4167,)	
dataset	obs/barcode	(4167,)	
dataset	obs/fdio-EYFP	(4167,)	
dataset	obs/leiden_0.2	(4167,)	
dataset	obs/leiden_0.4	(4167,)	
dataset	obs/leiden_0.6	(4167,)	
dataset	obs/leiden_0.8	(4167,)	
dataset	obs/leiden_1.0	(4167,)	
dataset	obs/leiden_1.2	(4167,)	
dataset	obs/n_counts	(4167,)	
dataset	obs/n_genes	(4167,)	
dataset	obs/percent_mito	(4167,)	
dataset	obs/percent_ribo	(4167,)	
