kind	path	children_or_shape	encoding
group	matrix	barcodes,data,features,indices,indptr,shape	
dataset	matrix/barcodes	(6794880,)	
dataset	matrix/data	(39747003,)	
group	matrix/features	_all_tag_keys,feature_type,genome,id,name	
dataset	matrix/features/_all_tag_keys	(1,)	
dataset	matrix/features/feature_type	(43346,)	
dataset	matrix/features/genome	(43346,)	
dataset	matrix/features/id	(43346,)	
dataset	matrix/features/name	(43346,)	
dataset	matrix/indices	(39747003,)	
dataset	matrix/indptr	(6794881,)	
dataset	matrix/shape	(2,)	
