section	value
matrix_encoding	csr_matrix
n_obs	4992
n_vars	24581
nnz	30094274
total_counts	1615401112.000000
barcode_sha256_newline	c0c9c466190351079464b99005c872bb694726ca0ffacec6383fff9a7ea17a3b
var_id_sha256_newline	aec04755865afaa65bf1e2c51bff3758b717201e58db0ba18fcaf7f97c642e4e
first_barcodes	SS2_15_0135:A8,SS2_15_0135:A6,SS2_15_0135:A2,SS2_15_0135:A1,SS2_15_0135:A5
last_barcodes	SS2_20_153:P17,SS2_20_153:P21,SS2_20_153:P20,SS2_20_153:P11,SS2_20_153:P23
first_var_ids	Adora1,Sntg1,Prim2,Bai3,Cflar
first_gene_symbols	Adora1,Sntg1,Prim2,Bai3,Cflar
cell_total_counts_p0	0.000000
cell_total_counts_p1	1.000000
cell_total_counts_p5	258.150000
cell_total_counts_p25	199841.500000
cell_total_counts_p50	286318.500000
cell_total_counts_p75	363688.250000
cell_total_counts_p95	904387.650000
cell_total_counts_p99	1251587.020000
cell_total_counts_p100	2173603.000000
cell_n_genes_p0	0.000000
cell_n_genes_p1	1.000000
cell_n_genes_p5	81.200000
cell_n_genes_p25	4059.750000
cell_n_genes_p50	5802.500000
cell_n_genes_p75	8675.000000
cell_n_genes_p95	10486.700000
cell_n_genes_p99	11783.070000
cell_n_genes_p100	12601.000000
gene_total_counts_p0	0.000000
gene_total_counts_p1	0.000000
gene_total_counts_p5	0.000000
gene_total_counts_p25	87.000000
gene_total_counts_p50	7638.000000
gene_total_counts_p75	66081.000000
gene_total_counts_p95	260869.000000
gene_total_counts_p99	693982.000000
gene_total_counts_p100	40735612.000000
gene_n_cells_p0	0.000000
gene_n_cells_p1	0.000000
gene_n_cells_p5	0.000000
gene_n_cells_p25	16.000000
gene_n_cells_p50	526.000000
gene_n_cells_p75	2419.000000
gene_n_cells_p95	3764.000000
gene_n_cells_p99	4306.200000
gene_n_cells_p100	4765.000000
cells_total_gt_0	4975
cells_total_gt_100	4748
cells_total_gt_500	4734
cells_total_gt_1000	4719
cells_total_gt_2000	4665
cells_total_gt_5000	4621
cells_total_gt_10000	4603
genes_cells_gt_0	23112
genes_cells_gt_1	22504
genes_cells_gt_5	20628
genes_cells_gt_10	19333
genes_cells_gt_50	16368
genes_cells_gt_100	15200
genes_cells_gt_500	12392
top_genes_by_total_counts	rank	var_id	gene_symbol	total_counts	n_cells
top_gene	1	Rn45s	Rn45s	40735612.000000	4765
top_gene	2	Malat1	Malat1	8566283.000000	4657
top_gene	3	Spp1	Spp1	6088483.000000	2734
top_gene	4	Hsp90ab1	Hsp90ab1	5920125.000000	4623
top_gene	5	Actb	Actb	5823991.000000	4669
top_gene	6	Tubb5	Tubb5	5676724.000000	4495
top_gene	7	Fth1	Fth1	5570231.000000	4627
top_gene	8	Atp5b	Atp5b	5218765.000000	4556
top_gene	9	Map1b	Map1b	5000883.000000	3968
top_gene	10	Sparcl1	Sparcl1	4897377.000000	3214
top_gene	11	ERCC-00074	ERCC-00074	4629470.000000	4573
top_gene	12	Ptgds	Ptgds	4386063.000000	589
top_gene	13	Tuba1a	Tuba1a	3503114.000000	4533
top_gene	14	Spock3	Spock3	3438387.000000	2663
top_gene	15	Snhg11	Snhg11	3432343.000000	2742
top_gene	16	Rtn1	Rtn1	3225321.000000	2964
top_gene	17	Eef2	Eef2	3003281.000000	4604
top_gene	18	Nrep	Nrep	2948916.000000	4324
top_gene	19	Stmn2	Stmn2	2914317.000000	2805
top_gene	20	Atp5a1	Atp5a1	2893375.000000	4537
top_gene	21	Eef1a1	Eef1a1	2866422.000000	4621
top_gene	22	Meg3	Meg3	2796310.000000	3854
top_gene	23	Gnas	Gnas	2709148.000000	4589
top_gene	24	Slc25a4	Slc25a4	2661412.000000	4461
top_gene	25	Calm2	Calm2	2657972.000000	4450
top_gene	26	ERCC-00002	ERCC-00002	2533653.000000	4472
top_gene	27	Nedd4	Nedd4	2523954.000000	4570
top_gene	28	Ednrb	Ednrb	2439991.000000	2745
top_gene	29	Apod	Apod	2430433.000000	1144
top_gene	30	Fos	Fos	2417893.000000	4028
top_gene	31	Slc25a3	Slc25a3	2416422.000000	4507
top_gene	32	Eif4g2	Eif4g2	2397249.000000	4528
top_gene	33	Mest	Mest	2288615.000000	4066
top_gene	34	ERCC-00130	ERCC-00130	2283389.000000	4525
top_gene	35	Snap25	Snap25	2271279.000000	2576
top_gene	36	Stmn3	Stmn3	2246653.000000	2751
top_gene	37	Ttc3	Ttc3	2217715.000000	4413
top_gene	38	Fabp7	Fabp7	2200788.000000	3126
top_gene	39	Calm1	Calm1	2162282.000000	4535
top_gene	40	Ywhab	Ywhab	2148247.000000	4468
top_gene	41	Rpl4	Rpl4	2142400.000000	4576
top_gene	42	Nefl	Nefl	2139204.000000	2811
top_gene	43	Atp1a3	Atp1a3	2079341.000000	2539
top_gene	44	Mdh1	Mdh1	2055496.000000	4228
top_gene	45	Maged1	Maged1	2051288.000000	4440
top_gene	46	Ndrg4	Ndrg4	1997373.000000	2776
top_gene	47	Gnb1	Gnb1	1889669.000000	4449
top_gene	48	Ddx5	Ddx5	1887406.000000	4564
top_gene	49	ERCC-00096	ERCC-00096	1866848.000000	4269
top_gene	50	Uchl1	Uchl1	1852051.000000	3522
top_gene	51	Cplx1	Cplx1	1768331.000000	2479
top_gene	52	Akr1a1	Akr1a1	1764885.000000	4466
top_gene	53	Mdga1	Mdga1	1762613.000000	2781
top_gene	54	Atp1b1	Atp1b1	1745167.000000	2922
top_gene	55	Coch	Coch	1744175.000000	1673
top_gene	56	Rps5	Rps5	1726365.000000	4552
top_gene	57	Prdx2	Prdx2	1724662.000000	4438
top_gene	58	Sncg	Sncg	1694460.000000	2890
top_gene	59	Dpysl3	Dpysl3	1658215.000000	3971
top_gene	60	Dpysl2	Dpysl2	1643745.000000	4572
top_gene	61	Rtn3	Rtn3	1640320.000000	4306
top_gene	62	Ywhae	Ywhae	1614373.000000	4519
top_gene	63	Tubb3	Tubb3	1593437.000000	2724
top_gene	64	Pmp22	Pmp22	1577141.000000	2612
top_gene	65	Tspan3	Tspan3	1562943.000000	4445
top_gene	66	Prkar1a	Prkar1a	1557018.000000	4509
top_gene	67	Cox4i1	Cox4i1	1549333.000000	4509
top_gene	68	Sparc	Sparc	1546484.000000	3585
top_gene	69	Gnb2l1	Gnb2l1	1534732.000000	4536
top_gene	70	Lancl1	Lancl1	1526320.000000	3814
top_gene	71	Nefm	Nefm	1526278.000000	3039
top_gene	72	Tsc22d1	Tsc22d1	1495238.000000	4411
top_gene	73	Hspa5	Hspa5	1489780.000000	4457
top_gene	74	Tcf25	Tcf25	1476254.000000	4384
top_gene	75	Rps3	Rps3	1470473.000000	4553
top_gene	76	Mdh2	Mdh2	1451517.000000	4255
top_gene	77	Ctnnb1	Ctnnb1	1449608.000000	4473
top_gene	78	Klc1	Klc1	1435413.000000	3835
top_gene	79	Gdi1	Gdi1	1398394.000000	4149
top_gene	80	Vim	Vim	1391437.000000	4323
top_gene	81	Tecr	Tecr	1358981.000000	4375
top_gene	82	Atxn10	Atxn10	1349820.000000	4232
top_gene	83	Cdc42	Cdc42	1329911.000000	4449
top_gene	84	Cpe	Cpe	1317485.000000	3409
top_gene	85	Tubb2a	Tubb2a	1307581.000000	3622
top_gene	86	Itm2b	Itm2b	1292910.000000	4493
top_gene	87	Ina	Ina	1289253.000000	2670
top_gene	88	Ppp2r1a	Ppp2r1a	1255252.000000	4337
top_gene	89	Serinc1	Serinc1	1250457.000000	4243
top_gene	90	Srrm2	Srrm2	1238159.000000	4545
top_gene	91	Cd24a	Cd24a	1237729.000000	3401
top_gene	92	Apoe	Apoe	1234657.000000	2848
top_gene	93	Atp5c1	Atp5c1	1233004.000000	4346
top_gene	94	Rnf187	Rnf187	1227357.000000	4289
top_gene	95	H3f3b	H3f3b	1213168.000000	4552
top_gene	96	Egr1	Egr1	1210963.000000	3964
top_gene	97	Pdia3	Pdia3	1207006.000000	4444
top_gene	98	Mbp	Mbp	1201091.000000	2581
top_gene	99	Fkbp1a	Fkbp1a	1179118.000000	4340
top_gene	100	Rpl8	Rpl8	1178261.000000	4549
top_genes_by_n_cells	rank	var_id	gene_symbol	n_cells	total_counts
top_gene_by_cells	1	Rn45s	Rn45s	4765	40735612.000000
top_gene_by_cells	2	Actb	Actb	4669	5823991.000000
top_gene_by_cells	3	Malat1	Malat1	4657	8566283.000000
top_gene_by_cells	4	Fth1	Fth1	4627	5570231.000000
