field	value
target_rows	20072
source_columns	737280
target_variables	28692
source_variables	28694
target_rows_exact_sparse_match	20072
rows_with_pattern_mismatch	0
rows_with_value_mismatch	0
compared_nonzero_values	18583698
target_total_counts	60716589.000000
source_total_counts_on_target_genes	60716589.000000
total_count_difference	0.000000
max_absolute_value_difference	0.000000
source_features_absent_from_target	2
source_features_absent_from_target_first	tubb3gfp,ascl1V5
first_mismatch_barcode	
