kind	path	children_or_shape	encoding
dataset	X	(7263, 1939)	array
group	layers		dict
group	obs	_index,batch,cell_type_1,cell_type_2,leiden,n_counts,n_genes,n_genes_by_counts,pct_counts_mt,pct_counts_rpl,pct_counts_rps,temp,total_counts,total_counts_mt,total_counts_rpl,total_counts_rps,umap_density_batch	dataframe
dataset	obs/_index	(7263,)	string-array
group	obs/batch	categories,codes	categorical
dataset	obs/batch/categories	(2,)	string-array
dataset	obs/batch/codes	(7263,)	array
group	obs/cell_type_1	categories,codes	categorical
dataset	obs/cell_type_1/categories	(12,)	string-array
dataset	obs/cell_type_1/codes	(7263,)	array
group	obs/cell_type_2	categories,codes	categorical
dataset	obs/cell_type_2/categories	(14,)	string-array
dataset	obs/cell_type_2/codes	(7263,)	array
group	obs/leiden	categories,codes	categorical
dataset	obs/leiden/categories	(18,)	string-array
dataset	obs/leiden/codes	(7263,)	array
dataset	obs/n_counts	(7263,)	array
dataset	obs/n_genes	(7263,)	array
dataset	obs/n_genes_by_counts	(7263,)	array
dataset	obs/pct_counts_mt	(7263,)	array
dataset	obs/pct_counts_rpl	(7263,)	array
dataset	obs/pct_counts_rps	(7263,)	array
group	obs/temp	categories,codes	categorical
dataset	obs/temp/categories	(2,)	string-array
dataset	obs/temp/codes	(7263,)	array
dataset	obs/total_counts	(7263,)	array
dataset	obs/total_counts_mt	(7263,)	array
dataset	obs/total_counts_rpl	(7263,)	array
dataset	obs/total_counts_rps	(7263,)	array
dataset	obs/umap_density_batch	(7263,)	array
group	obsm	X_pca,X_umap	dict
dataset	obsm/X_pca	(7263, 50)	array
dataset	obsm/X_umap	(7263, 2)	array
group	obsp	connectivities,distances	dict
group	obsp/connectivities	data,indices,indptr	csr_matrix
dataset	obsp/connectivities/data	(153004,)	
dataset	obsp/connectivities/indices	(153004,)	
dataset	obsp/connectivities/indptr	(7264,)	
group	obsp/distances	data,indices,indptr	csr_matrix
dataset	obsp/distances/data	(101682,)	
dataset	obsp/distances/indices	(101682,)	
dataset	obsp/distances/indptr	(7264,)	
group	raw	X,var,varm	raw
group	raw/X	data,indices,indptr	csr_matrix
dataset	raw/X/data	(17997314,)	
dataset	raw/X/indices	(17997314,)	
dataset	raw/X/indptr	(7264,)	
group	raw/var	_index,dispersions,dispersions_norm,feature_types,gene_ids,highly_variable,mean_counts,means,mt,n_cells,n_cells_by_counts,pct_dropout_by_counts,rpl,rps,total_counts	dataframe
dataset	raw/var/_index	(19063,)	string-array
dataset	raw/var/dispersions	(19063,)	array
dataset	raw/var/dispersions_norm	(19063,)	array
group	raw/var/feature_types	categories,codes	categorical
dataset	raw/var/gene_ids	(19063,)	string-array
dataset	raw/var/highly_variable	(19063,)	array
dataset	raw/var/mean_counts	(19063,)	array
dataset	raw/var/means	(19063,)	array
dataset	raw/var/mt	(19063,)	array
dataset	raw/var/n_cells	(19063,)	array
dataset	raw/var/n_cells_by_counts	(19063,)	array
dataset	raw/var/pct_dropout_by_counts	(19063,)	array
dataset	raw/var/rpl	(19063,)	array
dataset	raw/var/rps	(19063,)	array
dataset	raw/var/total_counts	(19063,)	array
group	raw/varm		dict
group	uns	cell_type_1_colors,cell_type_2_colors,hvg,leiden,leiden_colors,log1p,neighbors,pca,rank_genes_groups,umap,umap_density_batch_params	dict
dataset	uns/cell_type_1_colors	(12,)	string-array
dataset	uns/cell_type_2_colors	(14,)	string-array
group	uns/hvg	flavor	dict
dataset	uns/hvg/flavor	()	string
group	uns/leiden	params	dict
group	uns/leiden/params	n_iterations,random_state,resolution	dict
dataset	uns/leiden_colors	(18,)	string-array
group	uns/log1p		dict
group	uns/neighbors	connectivities_key,distances_key,params	dict
dataset	uns/neighbors/connectivities_key	()	string
dataset	uns/neighbors/distances_key	()	string
group	uns/neighbors/params	method,metric,n_neighbors,random_state	dict
group	uns/pca	params,variance,variance_ratio	dict
group	uns/pca/params	use_highly_variable,zero_center	dict
dataset	uns/pca/variance	(50,)	array
dataset	uns/pca/variance_ratio	(50,)	array
group	uns/rank_genes_groups	logfoldchanges,names,params,pts,pvals,pvals_adj,scores	dict
dataset	uns/rank_genes_groups/logfoldchanges	(19063,)	rec-array
dataset	uns/rank_genes_groups/names	(19063,)	rec-array
group	uns/rank_genes_groups/params	corr_method,groupby,method,reference,use_raw	dict
group	uns/rank_genes_groups/pts	0,1,_index	dataframe
dataset	uns/rank_genes_groups/pvals	(19063,)	rec-array
dataset	uns/rank_genes_groups/pvals_adj	(19063,)	rec-array
dataset	uns/rank_genes_groups/scores	(19063,)	rec-array
group	uns/umap	params	dict
group	uns/umap/params	a,b	dict
group	uns/umap_density_batch_params	components,covariate	dict
dataset	uns/umap_density_batch_params/components	(2,)	array
dataset	uns/umap_density_batch_params/covariate	()	string
group	var	_index,dispersions,dispersions_norm,feature_types,gene_ids,highly_variable,mean,mean_counts,means,mt,n_cells,n_cells_by_counts,pct_dropout_by_counts,rpl,rps,std,total_counts	dataframe
dataset	var/_index	(1939,)	string-array
dataset	var/dispersions	(1939,)	array
dataset	var/dispersions_norm	(1939,)	array
group	var/feature_types	categories,codes	categorical
dataset	var/feature_types/categories	(1,)	string-array
dataset	var/feature_types/codes	(1939,)	array
dataset	var/gene_ids	(1939,)	string-array
dataset	var/highly_variable	(1939,)	array
dataset	var/mean	(1939,)	array
dataset	var/mean_counts	(1939,)	array
dataset	var/means	(1939,)	array
dataset	var/mt	(1939,)	array
dataset	var/n_cells	(1939,)	array
dataset	var/n_cells_by_counts	(1939,)	array
dataset	var/pct_dropout_by_counts	(1939,)	array
dataset	var/rpl	(1939,)	array
dataset	var/rps	(1939,)	array
dataset	var/std	(1939,)	array
dataset	var/total_counts	(1939,)	array
group	varm	PCs	dict
dataset	varm/PCs	(1939, 50)	array
group	varp		dict
