kind	path	children_or_shape	encoding
group	X	data,indices,indptr	csr_matrix
dataset	X/data	(106496800,)	
dataset	X/indices	(106496800,)	
dataset	X/indptr	(16944,)	
group	obs	__categories,_index,devtime,location,n_genes_by_counts,pct_counts_ERCC,plates,total_counts,total_counts_ERCC	dataframe
group	obs/__categories	devtime,location,plates	
dataset	obs/__categories/devtime	(13,)	
dataset	obs/__categories/location	(7,)	
dataset	obs/__categories/plates	(50,)	
dataset	obs/_index	(16943,)	
dataset	obs/devtime	(16943,)	
dataset	obs/location	(16943,)	
dataset	obs/n_genes_by_counts	(16943,)	
dataset	obs/pct_counts_ERCC	(16943,)	
dataset	obs/plates	(16943,)	
dataset	obs/total_counts	(16943,)	
dataset	obs/total_counts_ERCC	(16943,)	
group	var	ERCC,_index,mean_counts,n_cells_by_counts,pct_dropout_by_counts,total_counts	dataframe
dataset	var/ERCC	(24489,)	
dataset	var/_index	(24489,)	
dataset	var/mean_counts	(24489,)	
dataset	var/n_cells_by_counts	(24489,)	
dataset	var/pct_dropout_by_counts	(24489,)	
dataset	var/total_counts	(24489,)	
