kind	path	children_or_shape	encoding
group	X	data,indices,indptr	csr_matrix
dataset	X/data	(47302832,)	
dataset	X/indices	(47302832,)	
dataset	X/indptr	(44022,)	
group	obs	Genotype,MouseModel,ProcessBatch,__categories,index,sample	dataframe
dataset	obs/Genotype	(44021,)	
dataset	obs/MouseModel	(44021,)	
dataset	obs/ProcessBatch	(44021,)	
group	obs/__categories	Genotype,MouseModel,ProcessBatch,sample	
dataset	obs/__categories/Genotype	(2,)	
dataset	obs/__categories/MouseModel	(2,)	
dataset	obs/__categories/ProcessBatch	(4,)	
dataset	obs/__categories/sample	(8,)	
dataset	obs/index	(44021,)	
dataset	obs/sample	(44021,)	
group	var	__categories,feature_types,gene_ids,gene_name,genome,index	dataframe
group	var/__categories	feature_types,gene_name,genome	
dataset	var/__categories/feature_types	(1,)	
dataset	var/__categories/gene_name	(31017,)	
dataset	var/__categories/genome	(1,)	
dataset	var/feature_types	(31053,)	
dataset	var/gene_ids	(31053,)	
dataset	var/gene_name	(31053,)	
dataset	var/genome	(31053,)	
dataset	var/index	(31053,)	
