kind	path	children_or_shape	encoding
dataset	X	(9776, 2119)	
group	obs	__categories,_index,barcode,barcode_small,cell_type,cell_type+barcode_small,cell_type+group,group,group_full,leiden,n_genes,n_genes_by_counts,pct_counts_mt,total_counts,total_counts_mt	dataframe
group	obs/__categories	barcode,barcode_small,cell_type,cell_type+barcode_small,cell_type+group,group,group_full,leiden	
dataset	obs/__categories/barcode	(6,)	
dataset	obs/__categories/barcode_small	(6,)	
dataset	obs/__categories/cell_type	(10,)	
dataset	obs/__categories/cell_type+barcode_small	(50,)	
dataset	obs/__categories/cell_type+group	(18,)	
dataset	obs/__categories/group	(2,)	
dataset	obs/__categories/group_full	(6,)	
dataset	obs/__categories/leiden	(20,)	
dataset	obs/_index	(9776,)	
dataset	obs/barcode	(9776,)	
dataset	obs/barcode_small	(9776,)	
dataset	obs/cell_type	(9776,)	
dataset	obs/cell_type+barcode_small	(9776,)	
dataset	obs/cell_type+group	(9776,)	
dataset	obs/group	(9776,)	
dataset	obs/group_full	(9776,)	
dataset	obs/leiden	(9776,)	
dataset	obs/n_genes	(9776,)	
dataset	obs/n_genes_by_counts	(9776,)	
dataset	obs/pct_counts_mt	(9776,)	
dataset	obs/total_counts	(9776,)	
dataset	obs/total_counts_mt	(9776,)	
group	obsm	X_pca,X_umap	
dataset	obsm/X_pca	(9776, 50)	
dataset	obsm/X_umap	(9776, 2)	
group	obsp	connectivities,distances	
group	obsp/connectivities	data,indices,indptr	csr_matrix
dataset	obsp/connectivities/data	(112268,)	
dataset	obsp/connectivities/indices	(112268,)	
dataset	obsp/connectivities/indptr	(9777,)	
group	obsp/distances	data,indices,indptr	csr_matrix
dataset	obsp/distances/data	(71434,)	
dataset	obsp/distances/indices	(71434,)	
dataset	obsp/distances/indptr	(9777,)	
group	raw	X,var	raw
group	raw/X	data,indices,indptr	csr_matrix
dataset	raw/X/data	(17215464,)	
dataset	raw/X/indices	(17215464,)	
dataset	raw/X/indptr	(9777,)	
group	raw/var	__categories,_index,dispersions,dispersions_norm,feature_types,gene_ids,highly_variable,mean_counts,means,mt,n_cells,n_cells_by_counts,pct_dropout_by_counts,total_counts	dataframe
group	raw/var/__categories	feature_types	
dataset	raw/var/_index	(20990,)	
dataset	raw/var/dispersions	(20990,)	
dataset	raw/var/dispersions_norm	(20990,)	
dataset	raw/var/feature_types	(20990,)	
dataset	raw/var/gene_ids	(20990,)	
dataset	raw/var/highly_variable	(20990,)	
dataset	raw/var/mean_counts	(20990,)	
dataset	raw/var/means	(20990,)	
dataset	raw/var/mt	(20990,)	
dataset	raw/var/n_cells	(20990,)	
dataset	raw/var/n_cells_by_counts	(20990,)	
dataset	raw/var/pct_dropout_by_counts	(20990,)	
dataset	raw/var/total_counts	(20990,)	
group	uns	barcode_colors,cell_type_colors,group_colors,hvg,leiden,leiden_colors,neighbors,pca,rank_genes_groups,umap	
dataset	uns/barcode_colors	(6,)	
dataset	uns/cell_type_colors	(10,)	
dataset	uns/group_colors	(2,)	
group	uns/hvg	flavor	
dataset	uns/hvg/flavor	()	
group	uns/leiden	params	
group	uns/leiden/params	n_iterations,random_state,resolution	
dataset	uns/leiden_colors	(20,)	
group	uns/neighbors	connectivities_key,distances_key,params	
dataset	uns/neighbors/connectivities_key	()	
dataset	uns/neighbors/distances_key	()	
group	uns/neighbors/params	method,metric,n_neighbors,n_pcs,random_state	
group	uns/pca	params,variance,variance_ratio	
group	uns/pca/params	use_highly_variable,zero_center	
dataset	uns/pca/variance	(50,)	
dataset	uns/pca/variance_ratio	(50,)	
group	uns/rank_genes_groups	logfoldchanges,names,params,pvals,pvals_adj,scores	
dataset	uns/rank_genes_groups/logfoldchanges	(20990,)	
dataset	uns/rank_genes_groups/names	(20990,)	
group	uns/rank_genes_groups/params	corr_method,groupby,method,reference,use_raw	
dataset	uns/rank_genes_groups/pvals	(20990,)	
dataset	uns/rank_genes_groups/pvals_adj	(20990,)	
dataset	uns/rank_genes_groups/scores	(20990,)	
group	uns/umap	params	
group	uns/umap/params	a,b	
group	var	__categories,_index,dispersions,dispersions_norm,feature_types,gene_ids,highly_variable,mean,mean_counts,means,mt,n_cells,n_cells_by_counts,pct_dropout_by_counts,std,total_counts	dataframe
group	var/__categories	feature_types	
dataset	var/__categories/feature_types	(1,)	
dataset	var/_index	(2119,)	
dataset	var/dispersions	(2119,)	
dataset	var/dispersions_norm	(2119,)	
dataset	var/feature_types	(2119,)	
dataset	var/gene_ids	(2119,)	
dataset	var/highly_variable	(2119,)	
dataset	var/mean	(2119,)	
dataset	var/mean_counts	(2119,)	
dataset	var/means	(2119,)	
dataset	var/mt	(2119,)	
dataset	var/n_cells	(2119,)	
dataset	var/n_cells_by_counts	(2119,)	
dataset	var/pct_dropout_by_counts	(2119,)	
dataset	var/std	(2119,)	
dataset	var/total_counts	(2119,)	
group	varm	PCs	
dataset	varm/PCs	(2119, 50)	
