kind	path	children_or_shape	encoding
dataset	X	(904, 23299)	array
group	layers	counts,spliced,unspliced	dict
dataset	layers/counts	(904, 23299)	array
group	layers/spliced	data,indices,indptr	csr_matrix
dataset	layers/spliced/data	(4486099,)	
dataset	layers/spliced/indices	(4486099,)	
dataset	layers/spliced/indptr	(905,)	
group	layers/unspliced	data,indices,indptr	csr_matrix
dataset	layers/unspliced/data	(2431546,)	
dataset	layers/unspliced/indices	(2431546,)	
dataset	layers/unspliced/indptr	(905,)	
group	obs	G2M_score,S_score,batch,cc_dif,index,log_counts,louvain_r0.5,louvain_r0.8,louvain_r1,louvain_r1.2,louvain_r1.5,louvain_semisup,mt_frac,n_counts,n_genes,phase,time_point	dataframe
dataset	obs/G2M_score	(904,)	array
dataset	obs/S_score	(904,)	array
group	obs/batch	categories,codes	categorical
dataset	obs/batch/categories	(27,)	string-array
dataset	obs/batch/codes	(904,)	array
dataset	obs/cc_dif	(904,)	array
dataset	obs/index	(904,)	string-array
dataset	obs/log_counts	(904,)	array
group	obs/louvain_r0.5	categories,codes	categorical
dataset	obs/louvain_r0.5/categories	(7,)	string-array
dataset	obs/louvain_r0.5/codes	(904,)	array
group	obs/louvain_r0.8	categories,codes	categorical
dataset	obs/louvain_r0.8/categories	(9,)	string-array
dataset	obs/louvain_r0.8/codes	(904,)	array
group	obs/louvain_r1	categories,codes	categorical
dataset	obs/louvain_r1/categories	(10,)	string-array
dataset	obs/louvain_r1/codes	(904,)	array
group	obs/louvain_r1.2	categories,codes	categorical
dataset	obs/louvain_r1.2/categories	(14,)	string-array
dataset	obs/louvain_r1.2/codes	(904,)	array
group	obs/louvain_r1.5	categories,codes	categorical
dataset	obs/louvain_r1.5/categories	(14,)	string-array
dataset	obs/louvain_r1.5/codes	(904,)	array
group	obs/louvain_semisup	categories,codes	categorical
dataset	obs/louvain_semisup/categories	(8,)	string-array
dataset	obs/louvain_semisup/codes	(904,)	array
dataset	obs/mt_frac	(904,)	array
dataset	obs/n_counts	(904,)	array
dataset	obs/n_genes	(904,)	array
group	obs/phase	categories,codes	categorical
dataset	obs/phase/categories	(3,)	string-array
dataset	obs/phase/codes	(904,)	array
group	obs/time_point	categories,codes	categorical
dataset	obs/time_point/categories	(6,)	string-array
dataset	obs/time_point/codes	(904,)	array
group	obsm	X_pca,X_umap	dict
dataset	obsm/X_pca	(904, 50)	array
dataset	obsm/X_umap	(904, 2)	array
group	obsp	connectivities,distances	dict
group	obsp/connectivities	data,indices,indptr	csr_matrix
dataset	obsp/connectivities/data	(17148,)	
dataset	obsp/connectivities/indices	(17148,)	
dataset	obsp/connectivities/indptr	(905,)	
group	obsp/distances	data,indices,indptr	csr_matrix
dataset	obsp/distances/data	(12656,)	
dataset	obsp/distances/indices	(12656,)	
dataset	obsp/distances/indptr	(905,)	
group	raw	X,var,varm	raw
dataset	raw/X	(904, 23299)	array
group	raw/var	accession,index,n_cells,n_counts	dataframe
dataset	raw/var/accession	(23299,)	string-array
dataset	raw/var/index	(23299,)	string-array
dataset	raw/var/n_cells	(23299,)	array
dataset	raw/var/n_counts	(23299,)	array
group	raw/varm		dict
group	uns	batch_E12_colors,batch_E16_colors,batch_P00_colors,batch_P60_colors,louvain,louvain_r0.5_colors,louvain_r0.8_colors,louvain_r1.2_colors,louvain_r1.5_colors,louvain_r1_colors,louvain_semisup_colors,neighbors,pca,phase_colors,rank_genes,rank_genes_groups_filtered,time_point_colors	dict
dataset	uns/batch_E12_colors	(5,)	string-array
dataset	uns/batch_E16_colors	(5,)	string-array
dataset	uns/batch_P00_colors	(13,)	string-array
dataset	uns/batch_P60_colors	(5,)	string-array
group	uns/louvain	params	dict
group	uns/louvain/params	random_state,resolution	dict
dataset	uns/louvain_r0.5_colors	(7,)	string-array
dataset	uns/louvain_r0.8_colors	(9,)	string-array
dataset	uns/louvain_r1.2_colors	(14,)	string-array
dataset	uns/louvain_r1.5_colors	(14,)	string-array
dataset	uns/louvain_r1_colors	(10,)	string-array
dataset	uns/louvain_semisup_colors	(8,)	string-array
group	uns/neighbors	params	dict
group	uns/neighbors/params	method,metric,n_neighbors,n_pcs	dict
group	uns/pca	variance,variance_ratio	dict
dataset	uns/pca/variance	(50,)	array
dataset	uns/pca/variance_ratio	(50,)	array
dataset	uns/phase_colors	(3,)	string-array
group	uns/rank_genes	logfoldchanges,names,params,pvals,pvals_adj,scores	dict
dataset	uns/rank_genes/logfoldchanges	(23299,)	rec-array
dataset	uns/rank_genes/names	(23299,)	rec-array
group	uns/rank_genes/params	corr_method,groupby,method,reference,use_raw	dict
dataset	uns/rank_genes/pvals	(23299,)	rec-array
dataset	uns/rank_genes/pvals_adj	(23299,)	rec-array
dataset	uns/rank_genes/scores	(23299,)	rec-array
group	uns/rank_genes_groups_filtered	logfoldchanges,params,pvals,pvals_adj,scores	dict
dataset	uns/rank_genes_groups_filtered/logfoldchanges	(23299,)	rec-array
group	uns/rank_genes_groups_filtered/params	corr_method,groupby,method,reference,use_raw	dict
dataset	uns/rank_genes_groups_filtered/pvals	(23299,)	rec-array
dataset	uns/rank_genes_groups_filtered/pvals_adj	(23299,)	rec-array
dataset	uns/rank_genes_groups_filtered/scores	(23299,)	rec-array
dataset	uns/time_point_colors	(6,)	string-array
group	var	accession,dispersions,dispersions_norm,highly_variable,index,means,n_cells,n_counts	dataframe
dataset	var/accession	(23299,)	string-array
dataset	var/dispersions	(23299,)	array
dataset	var/dispersions_norm	(23299,)	array
dataset	var/highly_variable	(23299,)	array
dataset	var/index	(23299,)	string-array
dataset	var/means	(23299,)	array
dataset	var/n_cells	(23299,)	array
dataset	var/n_counts	(23299,)	array
group	varm	PCs	dict
dataset	varm/PCs	(23299, 50)	array
group	varp		dict
