kind	path	children_or_shape	encoding
dataset	X	(20912, 2843)	
dataset	obs	(20912,)	
dataset	obsm	(20912,)	
group	raw.X	data,indices,indptr	
dataset	raw.X/data	(34722743,)	
dataset	raw.X/indices	(34722743,)	
dataset	raw.X/indptr	(20913,)	
group	raw.cat	feature_types-1_categories,feature_types-2_categories	
dataset	raw.cat/feature_types-1_categories	(1,)	
dataset	raw.cat/feature_types-2_categories	(1,)	
dataset	raw.var	(18532,)	
group	uns	batch_categories,feature_types-1_categories,feature_types-2_categories,pca	
dataset	uns/batch_categories	(3,)	
dataset	uns/feature_types-1_categories	(1,)	
dataset	uns/feature_types-2_categories	(1,)	
group	uns/pca	variance,variance_ratio	
dataset	uns/pca/variance	(50,)	
dataset	uns/pca/variance_ratio	(50,)	
dataset	var	(2843,)	
dataset	varm	(2843,)	
