kind	path	children_or_shape	encoding
group	X	data,indices,indptr	csr_matrix
dataset	X/data	(4042207,)	
dataset	X/indices	(4042207,)	
dataset	X/indptr	(769,)	
group	layers	read,umi	dict
group	layers/read	data,indices,indptr	csr_matrix
dataset	layers/read/data	(4363285,)	
dataset	layers/read/indices	(4363285,)	
dataset	layers/read/indptr	(769,)	
group	layers/umi	data,indices,indptr	csr_matrix
dataset	layers/umi/data	(4042207,)	
dataset	layers/umi/indices	(4042207,)	
dataset	layers/umi/indptr	(769,)	
group	obs	Description,Description_edit,PlateBarcode,PlateID,Strains,WellID,_index	dataframe
group	obs/Description	categories,codes	categorical
dataset	obs/Description/categories	(2,)	string-array
dataset	obs/Description/codes	(768,)	array
group	obs/Description_edit	categories,codes	categorical
dataset	obs/Description_edit/categories	(2,)	string-array
dataset	obs/Description_edit/codes	(768,)	array
dataset	obs/PlateBarcode	(768,)	array
group	obs/PlateID	categories,codes	categorical
dataset	obs/PlateID/categories	(2,)	string-array
dataset	obs/PlateID/codes	(768,)	array
group	obs/Strains	categories,codes	categorical
dataset	obs/Strains/categories	(1,)	string-array
dataset	obs/Strains/codes	(768,)	array
group	obs/WellID	categories,codes	categorical
dataset	obs/WellID/categories	(384,)	string-array
dataset	obs/WellID/codes	(768,)	array
dataset	obs/_index	(768,)	string-array
group	obsm		dict
group	obsp		dict
group	uns		dict
group	var	IDs,Symbols	dataframe
dataset	var/IDs	(49238,)	string-array
dataset	var/Symbols	(49238,)	string-array
group	varm		dict
group	varp		dict
