field	value
target_shape	20072x28692
source_shape	28694x737280
target_barcode_count	20072
source_barcode_count	737280
target_var_count	28692
source_var_count	28694
target_barcode_sha256	d1514541c934b0c2c7f964cf859ed5433179ced30417767ab44c7fed81d0a5dd
target_var_sha256	5af2b3078ff039211d174d9aee6b59e8f66cbb08ff5dc24d0065fa2543199955
source_barcode_sha256	e28353c088bf3b4d660220377a5f5fcc64839fb9e307cea47afe4e23fce2edc2
source_var_sha256	7e8b724e14d802e214aed0f749f4e25592c8bdb6dc88e1bdf19f00dbc7dedd35
target_barcodes_found_in_source	20072
target_barcodes_missing_from_source	0
target_vars_found_in_source	28692
target_vars_missing_from_source	0
target_barcodes_first_source_positions	136,138,257,272,312,315,357,377,449,490
target_vars_first_source_positions	0,1,2,3,4,5,6,7,8,9
missing_barcodes_first	
missing_vars_first	
