kind	path	children_or_shape	encoding
group	X	data,indices,indptr	csc_matrix
dataset	X/data	(28196697,)	
dataset	X/indices	(28196697,)	
dataset	X/indptr	(32286,)	
group	layers	data	dict
group	layers/data	data,indices,indptr	csc_matrix
dataset	layers/data/data	(28196697,)	
dataset	layers/data/indices	(28196697,)	
dataset	layers/data/indptr	(32286,)	
group	obs	Cell_ID,HypoMap_cluster,_index,mch_clusters,nCount_RNA,nFeature_RNA,orig.ident,percent_mt,sample,sex	dataframe
dataset	obs/Cell_ID	(7590,)	string-array
dataset	obs/HypoMap_cluster	(7590,)	string-array
dataset	obs/_index	(7590,)	string-array
dataset	obs/mch_clusters	(7590,)	array
dataset	obs/nCount_RNA	(7590,)	array
dataset	obs/nFeature_RNA	(7590,)	array
dataset	obs/orig.ident	(7590,)	string-array
dataset	obs/percent_mt	(7590,)	array
dataset	obs/sample	(7590,)	string-array
dataset	obs/sex	(7590,)	string-array
group	obsm		dict
group	obsp		dict
group	uns		dict
group	var	_index,vst.mean,vst.variable,vst.variance,vst.variance.expected,vst.variance.standardized	dataframe
dataset	var/_index	(32285,)	string-array
dataset	var/vst.mean	(32285,)	array
dataset	var/vst.variable	(32285,)	array
dataset	var/vst.variance	(32285,)	array
dataset	var/vst.variance.expected	(32285,)	array
dataset	var/vst.variance.standardized	(32285,)	array
group	varm		dict
group	varp		dict
