  1.15	2474	2474	U	0	unclassified
 98.85	213107	369	R	1	root
 98.31	211930	9144	R1	131567	  cellular organisms
 93.90	202429	0	D	2759	    Eukaryota
 93.90	202429	0	D1	33154	      Opisthokonta
 93.90	202429	0	K	33208	        Metazoa
 93.90	202429	0	K1	6072	          Eumetazoa
 93.90	202429	0	K2	33213	            Bilateria
 93.90	202429	0	K3	33511	              Deuterostomia
 93.90	202429	0	P	7711	                Chordata
 93.90	202429	0	P1	89593	                  Craniata
 93.90	202429	0	P2	7742	                    Vertebrata
 93.90	202429	0	P3	7776	                      Gnathostomata
 93.90	202429	0	P4	117570	                        Teleostomi
 93.90	202429	0	P5	117571	                          Euteleostomi
 93.90	202429	0	P6	8287	                            Sarcopterygii
 93.90	202429	0	C	1338369	                              Dipnotetrapodomorpha
 93.90	202429	0	C1	32523	                                Tetrapoda
 93.90	202429	0	C2	32524	                                  Amniota
 93.90	202429	0	C	40674	                                    Mammalia
 93.90	202429	0	C1	32525	                                      Theria
 93.90	202429	0	C2	9347	                                        Eutheria
 93.90	202429	0	C3	1437010	                                          Boreoeutheria
 93.90	202429	0	C4	314146	                                            Euarchontoglires
 93.90	202429	0	O	9443	                                              Primates
 93.90	202429	0	O1	376913	                                                Haplorrhini
 93.90	202429	0	O2	314293	                                                  Simiiformes
 93.90	202429	0	O3	9526	                                                    Catarrhini
 93.90	202429	0	O4	314295	                                                      Hominoidea
 93.90	202429	0	F	9604	                                                        Hominidae
 93.90	202429	0	F1	207598	                                                          Homininae
 93.90	202429	0	G	9605	                                                            Homo
 93.90	202429	202429	S	9606	                                                              Homo sapiens
  0.16	352	24	D	2	    Bacteria
  0.12	251	0	D1	1783272	      Terrabacteria group
  0.12	248	0	P	1239	        Firmicutes
  0.11	246	0	C	91061	          Bacilli
  0.11	246	0	O	1385	            Bacillales
  0.07	152	0	F	186817	              Bacillaceae
  0.06	125	0	G	1386	                Bacillus
  0.06	125	0	G1	86661	                  Bacillus cereus group
  0.06	124	124	S	1396	                    Bacillus cereus
  0.00	1	0	S	1428	                    Bacillus thuringiensis
  0.00	1	0	S1	180854	                      Bacillus thuringiensis serovar huazhongensis
  0.00	1	1	S2	527030	                        Bacillus thuringiensis serovar huazhongensis BGSC 4BD1
  0.01	27	0	G	2800373	                Priestia
  0.01	27	27	S	1404	                  Priestia megaterium
  0.04	94	0	F	90964	              Staphylococcaceae
  0.04	94	24	G	1279	                Staphylococcus
  0.02	51	51	S	29382	                  Staphylococcus cohnii
  0.01	15	15	S	1283	                  Staphylococcus haemolyticus
  0.00	4	4	S	1280	                  Staphylococcus aureus
  0.00	2	0	C	186801	          Clostridia
  0.00	2	0	O	186802	            Eubacteriales
  0.00	1	0	F	31979	              Clostridiaceae
  0.00	1	0	G	1485	                Clostridium
  0.00	1	1	S	36845	                  Clostridium intestinale
  0.00	1	0	F	216572	              Oscillospiraceae
  0.00	1	0	G	216851	                Faecalibacterium
  0.00	1	1	S	853	                  Faecalibacterium prausnitzii
  0.00	3	0	P	201174	        Actinobacteria
  0.00	3	0	C	1760	          Actinomycetia
  0.00	2	0	O	85007	            Corynebacteriales
  0.00	1	0	F	1762	              Mycobacteriaceae
  0.00	1	0	G	1763	                Mycobacterium
  0.00	1	0	G1	2642494	                  unclassified Mycobacterium
  0.00	1	1	S	2051552	                    Mycobacterium sp. PYR15
  0.00	1	0	F	85026	              Gordoniaceae
  0.00	1	0	G	2053	                Gordonia
  0.00	1	0	S	84595	                  Gordonia polyisoprenivorans
  0.00	1	1	S1	1112204	                    Gordonia polyisoprenivorans VH2
  0.00	1	0	O	85011	            Streptomycetales
  0.00	1	0	F	2062	              Streptomycetaceae
  0.00	1	0	G	1883	                Streptomyces
  0.00	1	0	G1	2593676	                  unclassified Streptomyces
  0.00	1	1	S	1561022	                    Streptomyces sp. CCM_MD2014
  0.03	74	27	P	1224	      Proteobacteria
  0.01	31	0	C	28216	        Betaproteobacteria
  0.01	31	0	O	80840	          Burkholderiales
  0.01	31	0	F	119060	            Burkholderiaceae
  0.01	30	0	G	48736	              Ralstonia
  0.01	29	28	S	305	                Ralstonia solanacearum
  0.00	1	1	S1	1457195	                  Ralstonia solanacearum Rs-10-244
  0.00	1	1	S	329	                Ralstonia pickettii
  0.00	1	0	G	47670	              Lautropia
  0.00	1	1	S	47671	                Lautropia mirabilis
