index	n_counts	means	dispersions	dispersions_norm	highly_variable
ABI3	3476.3066	1.0949525251967402	4.758129482283336	0.62680995	True
ADSL	1148.4852	1.8336932830233392	7.447444545198742	1.589945	True
AHSA1	1093.5421	1.1882063963977476	4.935914148624692	0.810882	True
AIF1	25295.443	0.660502774471751	2.609554917044039	-1.5977494	False
AKR1C3	241.40353	6.7598402641672175	13.069311269116515	-0.9528386	False
AL928768.3	2227.732	6.229252087811106	12.468877282401351	-0.3461857	False
ALKBH7	2958.7131	0.7996849279303424	3.6360580029209415	-0.5349438	False
ARF6	3206.47	2.1033488955595288	8.142775019425592	0.6502387	True
ARL6IP5	4693.6333	2.919939829449949	9.30222666281169	0.15952465	False
ARPC5L	1640.4025	3.612827169985692	9.993508355405055	0.6989716	False
ATP5O	6403.903	1.3197298940714959	6.625330542426558	0.4328414	False
ATP6V0E1	5912.5474	0.7992126132458401	4.470505153163607	0.32901374	False
ATXN7L3B	322.51904	2.432845056323791	7.900064589921547	0.26298872	False
BBX	985.233	1.940331945105624	7.112420527756977	1.1184076	True
C16orf13	2045.4418	1.2881826999900854	5.807942131993509	1.7137494	True
C16orf74	706.5075	2.407394361696868	7.845982515764512	0.17669955	False
C19orf24	1813.4817	1.0231020943355549	4.996006891418577	0.8730999	True
C1QA	3897.893	1.7485637875624804	6.722775565717597	0.56999266	True
C1QB	1635.0765	4.694826583555984	10.58694052259318	-0.021557797	False
C1orf162	6030.4453	0.8537854078927412	4.041505912705328	-0.11515716	False
C20orf27	2955.5454	1.660565566498104	7.053870027047656	1.0359993	True
C9orf142	2327.4595	3.4627261867030157	9.798602913375891	1.3621379	False
CARS	441.85022	8.291399093014844	14.825791359921407	-0.70710677	False
CAT	2304.106	1.529474838256036	6.012024698612714	-0.43037024	False
CCDC115	1552.9585	0.9855181219834064	4.233092034900189	0.08320445	False
CCL4	431.54385	6.187723897862874	12.178344377994108	-1.1298	False
CCL5	6950.6133	1.4114497347519912	5.067014530497464	-1.7604469	False
CCT6A	1808.3689	0.8704005729376051	4.002258955327523	-0.15579209	False
CD160	151.61888	12.693138011863944	19.243783028969606	1.0	False
CD2	2220.0552	1.3752627945917273	6.365384641868802	0.06697447	False
CD247	1821.243	2.713939711045629	8.68852223738383	1.5209907	True
CD37	13007.313	0.9458833843433818	4.772046892503613	0.64121956	True
CD47	2019.8915	1.0104541010709138	5.352005808141557	1.2416888	True
CD79A	5547.3296	2.4064216057196126	7.653789918614527	-0.12994808	False
CD79B	5010.167	1.3575946850259872	5.257367341053303	-1.4925303	False
CD82	659.2666	2.2969576001801055	6.609063467051184	-1.7968328	False
CLEC10A	3288.7625	1.8485895900714258	7.239634340155646	1.2974577	True
CLIC3	1442.4778	7.611022714495177	14.14441561586398	0.2682628	False
CNPY3	3740.6248	0.6768177798967232	2.9316894262544744	-1.2642225	False
COA6	622.00525	1.0391516379449914	4.045727779895868	-0.110785976	False
CORO1B	2960.1672	2.1199682484969986	7.809296590933371	0.11816633	False
CORO7	527.6861	2.2183369811061975	6.66701343351995	-1.7043723	False
CST3	53978.676	0.5947842649181628	2.2080146345641083	-2.0134902	False
CST7	2222.1055	6.65682211299459	13.17342283954457	-0.08844701	False
CTSS	13518.608	0.8614486673843371	3.475429769189021	-0.7012527	False
CTSW	2873.8108	3.4418880366357594	8.672708729141469	-1.3656623	False
CWC15	1611.8469	1.922221078855338	7.856673222687469	2.1659234	True
DENND2D	806.9616	1.7740439245349315	6.6897868056977385	0.5235619	True
DNAJC7	1379.9922	1.3341561295854678	6.021089614554311	-0.41761163	False
DYNLT1	966.5471	1.4859760383966258	5.874589219756397	-0.623807	False
EAF2	1155.3392	6.4859975248645325	12.943557084872573	0.93410254	False
EFHD2	1573.3677	0.9426486298474784	4.134270259401968	-0.019112179	False
EGFL7	88.32592	8.348612755303401	14.827661027887393	0.70710677	False
EIF1B	1369.3882	2.179928791445221	7.631965638859688	-0.16476922	False
EIF3D	4047.9941	0.627982670215562	2.9337470522678286	-1.2620921	False
EMB	689.5122	1.7821875877292637	7.061459811136484	1.0466818	True
ERH	3289.9807	0.9920656745601211	5.202036523006375	1.0864159	True
FCER1A	8126.176	1.2735800410266804	5.2987782391762615	1.1865789	True
FCER1G	20091.55	0.734089858759719	3.173098687988755	-1.0142758	False
FCGR3A	11019.047	0.8295377641901969	3.584785665364744	-0.5880294	False
FCN1	7750.0815	0.9658835179775196	4.445891645242566	0.30352977	False
FCRLA	405.00568	3.626177930307358	8.668939742766254	-1.4731474	False
FGFBP2	1053.169	4.9873365912278365	11.354034593472086	1.5557804	False
FPR1	468.84756	2.577949026271058	7.760754743101331	0.040716715	False
FYB	2145.7073	1.138208672116491	4.156318707158496	0.0037160167	False
G0S2	571.9829	4.335832892993426	10.023002754795058	-1.1811556	False
GABARAPL2	3715.277	0.7420096223147764	3.93055901561238	-0.2300277	False
GATA2	55.81075	3.2728474044485596	9.000980690977661	-0.5703297	False
GGNBP2	1275.6294	3.4576995649956626	9.867150729058878	1.5282146	False
GIMAP7	6923.144	1.1161136903288527	5.089870898341376	0.97028345	True
