index	n_cells	highly_variable	means	dispersions	dispersions_norm
ABI3	478	False	1.0669950161995811	5.809302915817515	0.49437
ADSL	285	False	2.3944361571338866	9.31825469540174	0.31800193
AHSA1	321	True	1.7846590832837297	8.342568269185964	0.50247896
AIF1	1008	False	0.6007730150323389	2.1260425912861396	-0.3024941
AKR1C3	106	False	2.591368607779215	7.307802935625039	-1.5675904
AL928768.3	19	False	4.572148076555485	9.933061929500694	0.2313636
ALKBH7	635	False	0.9464468967689887	5.807087241663821	0.49210715
ARF6	944	True	0.6418458896387561	3.5560672832961586	1.7504252
ARL6IP5	1222	True	0.6136803552805316	3.4239267515460226	1.5607265
ARPC5L	504	False	0.9222085099595407	5.314747059965925	-0.010716631
ATP5O	1191	True	0.5848696515906767	2.8536305563099447	0.74201894
ATP6V0E1	1515	True	0.5435079144253289	2.8178179767476976	0.69060695
ATXN7L3B	109	False	2.7709499419988792	9.429593043863422	0.46165854
BBX	386	True	1.277572641601253	7.077243443449081	0.7865915
C16orf13	484	False	1.379612664341144	6.9471997280897515	-0.08637811
C16orf74	128	True	2.696515590058609	9.512124274777124	0.5826221
C19orf24	505	False	0.950625271350201	5.734910784492972	0.41839382
C1QA	36	False	4.552089047884841	9.858249147849746	-1.2342649
C1QB	17	False	4.614069283195934	9.856434481376024	-0.934818
C1orf162	1034	True	0.6122058823235328	2.744237363790479	0.5849759
C20orf27	347	True	1.7754424657591688	8.644004263824815	0.7913894
C9orf142	654	True	0.7920552818908463	4.6607735404759945	0.83148885
CARS	168	False	3.0599841320348258	9.808744554627355	1.0
CAT	378	True	1.4207930124291348	7.722411003893285	0.8511566
CCDC115	434	False	1.256447177159376	6.700775596966621	0.4633039
CCL4	307	False	1.4303325686699373	5.544989915000016	-1.7822002
CCL5	862	False	0.6490153047886281	2.168596769386726	-0.24140406
CCT6A	443	True	1.076316875723829	6.375767247592179	1.0728964
CD160	79	False	3.456974169231985	9.503861315266276	1.0
CD2	856	False	0.6600906890722943	3.043865888092666	-0.8870005
CD247	721	False	0.7448652377274142	3.615169965605205	-0.27980444
CD37	2063	False	0.44790136068937464	1.6955228031455065	-0.92054105
CD47	669	True	0.8579829114168944	5.507503504972676	1.7314143
CD79A	426	False	0.9116010998383388	3.475199003452339	-1.8894349
CD79B	654	False	0.7444681726803619	2.701117562048851	-1.2512819
CD82	188	True	2.4947324829278834	9.714674600726912	0.65642375
CLEC10A	63	False	3.943104748966961	9.435343668390573	-0.4583075
CLIC3	166	False	1.810598880769486	6.051597420584907	-1.6932954
CNPY3	750	False	0.7165707974710797	3.8609932128619135	-0.018537434
COA6	234	True	1.9798189954444678	8.738301500452112	0.6506111
CORO1B	442	False	1.2600481897959368	6.300811967694994	0.11983956
CORO7	173	False	2.2648593370338816	9.02503795233317	0.038350347
CST3	1075	False	0.578664137294427	1.884811354447007	-0.6488016
CST7	535	False	0.8226248556752644	3.2913430312226004	-0.6239757
CTSS	1396	False	0.5257983380148348	1.809148045533628	-0.75742257
CTSW	808	False	0.6786634404194295	2.6101422571588175	-1.3479728
CWC15	453	False	1.3403038313890425	6.786513713836063	-0.28071058
DENND2D	433	False	1.1240507774147068	6.36600201324783	0.17582078
DNAJC7	424	True	1.422134042329653	7.971338127188021	1.1522073
DYNLT1	515	True	1.0093190579610223	5.965836606779397	0.65423685
EAF2	253	False	1.7227885607091193	7.772922786678845	-0.5522397
EFHD2	523	False	0.928480968703713	4.763250318596173	-0.5739566
EGFL7	10	False	4.436005823827987	9.997212157813868	1.488106
EIF1B	513	False	0.9175041639188264	5.420030772816099	0.09680893
EIF3D	1075	True	0.6201509561231751	3.631201455406156	1.8582866
EMB	278	False	2.0328930880774068	8.484006718216092	0.3908306
ERH	913	False	0.6583365077003197	3.4144836295414644	-0.49309883
FCER1A	55	False	4.2482288718852645	9.57890117758613	1.0
FCER1G	964	False	0.5775896405212961	1.9624683172777886	-0.5373186
FCGR3A	497	False	0.8255737406112997	2.9043481603871673	-1.0352834
FCN1	793	False	0.6507493458535051	2.2893913735967186	-0.06799335
FCRLA	117	False	2.786646651731827	9.429624381772616	0.46170446
FGFBP2	296	False	1.1924746088020135	4.307702726828894	-1.5917209
FPR1	289	True	2.010466141005346	8.636390985840466	0.5465022
FYB	990	False	0.6579310755108531	3.9542815224670287	0.08061168
