donor	PC1	PC2	PC3	PC4	PC5
1	-2.77304	1.85869	-0.0103258	-1.51138	2.50444
2	-0.0239977	0.440029	-1.58369	0.570972	0.559438
3	2.38515	2.89761	0.81952	-0.165069	1.8128
4	1.0003	-1.92508	-0.560173	-1.39818	0.306495
5	-1.56433	0.43917	0.213638	0.218502	0.0962445
6	-0.281038	-2.82294	0.518436	0.496924	1.26985
7	0.523893	-0.805613	-1.97858	0.614189	0.421558
8	-0.765728	0.251816	0.632059	0.254637	0.0688841
9	-0.116426	-0.357637	-2.16509	2.03971	0.976894
10	-0.689201	-2.11252	0.229078	-1.29895	-0.0754158
11	-2.72191	0.587953	0.19667	-1.28019	-0.1272
12	-2.10131	0.66357	-0.104712	-0.838328	-0.180062
13	1.74571	-0.134985	-0.481296	-0.594066	-0.0705094
14	2.51391	0.479184	1.58211	-1.73775	-0.0466453
15	0.066772	-2.11186	1.95434	1.10577	-0.171256
16	-0.380104	0.03673	-0.776949	-0.189016	-1.08418
17	-1.45776	0.33078	1.09396	0.9487	-0.263492
18	1.09802	0.63804	1.7248	1.63562	-0.0617877
19	-0.565774	-0.476664	1.08528	1.57688	-0.760625
20	1.85984	-1.90648	-1.66692	0.407476	0.780688
21	-1.29063	0.363322	-0.617713	-0.154972	-0.610738
22	-0.333404	-2.63148	-0.564389	-1.20671	0.269457
23	-0.431844	-1.32085	-0.963305	-0.450694	-0.732014
24	-1.54355	0.89907	-0.0492484	-0.194632	-1.51396
25	-0.459689	1.05328	-0.722309	-0.279346	-0.914482
26	0.888017	-0.374463	1.56525	-0.958737	-0.579031
27	-1.37106	1.13673	-0.625813	-0.643865	-0.689067
28	1.55611	0.836508	-1.60104	0.181361	-0.96113
29	-1.86741	0.904234	0.779326	1.1947	-1.05465
30	4.66975	2.31542	-1.64677	-0.321406	-0.651113
31	1.90149	-0.362915	0.000365059	0.887474	-0.0752959
32	-1.76565	1.3059	0.0871114	1.21915	1.33419
33	2.29491	-0.0945476	3.63638	-0.128779	0.22172
