rank	gene	variance	mean
1	ISG15	1.188	0.859292
2	AURKAIP1	0.0377634	0.616785
3	MRPL20	0.02212	0.67891
4	SSU72	0.00866234	0.370804
5	GNB1	0.00725743	0.220249
6	RER1	0.00896304	0.368698
7	KCNAB2	0.0076231	0.351358
8	RPL22	0.887815	6.48905
9	PARK7	0.125459	1.41563
10	ENO1	0.69189	2.19532
11	RBP7	0.00883978	0.185828
12	PGD	0.392087	0.909631
13	AGTRAP	0.164627	0.758973
14	TNFRSF1B	0.028914	0.412829
15	EFHD2	0.0144189	0.319344
16	SZRD1	0.00612107	0.317258
17	SDHB	0.01127	0.355117
18	UBR4	0.00742663	0.174868
19	CAPZB	0.0772468	1.19081
20	MICOS10	0.0135375	0.469879
21	CDA	0.0433017	0.296693
22	DDOST	0.0428001	0.62669
23	HP1BP3	0.00769939	0.533928
24	CDC42	0.164201	2.00675
25	C1QC	0.00619216	0.058621
26	C1QB	0.033467	0.152535
27	HNRNPR	0.0364862	0.716305
28	RPL11	14.0839	28.385
29	SRSF10	0.0189832	0.583634
30	SRRM1	0.0453124	1.21
31	SYF2	0.016841	0.705631
32	RSRP1	0.0230899	0.801868
33	TMEM50A	0.0467077	0.98591
34	LDLRAP1	0.00680472	0.169275
35	STMN1	0.535767	0.888572
36	SH3BGRL3	16.9864	12.6847
37	CD52	1.2889	6.10805
38	HMGN2	1.4299	2.78134
39	NUDC	0.00802804	0.348694
40	WASF2	0.00968981	0.572144
41	FGR	0.130741	0.776518
42	IFI6	3.15186	1.39103
43	THEMIS2	0.0287623	0.375969
44	RPA2	0.00758776	0.317982
45	DNAJC8	0.0157906	0.728485
46	ATP5IF1	0.062835	1.11796
47	SNHG3	0.0061789	0.267475
48	EPB41	0.00615979	0.368574
49	SRSF4	0.00898871	0.409817
50	LAPTM5	0.477815	3.45857
51	SNRNP40	0.00680925	0.287647
52	PTP4A2	0.0351092	0.531855
53	EIF3I	0.0348817	0.694835
54	LCK	0.11553	1.21177
55	HDAC1	0.0156521	0.513976
56	ZBTB8OS	0.00671372	0.324551
57	RBBP4	0.0314595	0.683744
58	PHC2	0.00813124	0.0924891
59	SFPQ	0.0106107	0.301887
60	PSMB2	0.0641656	0.712375
61	CLSPN	0.00686647	0.0772998
62	THRAP3	0.0194802	0.679246
63	LSM10	0.00621035	0.406259
64	MRPS15	0.0126423	0.373424
65	CSF3R	0.0306103	0.360909
66	NDUFS5	0.125463	1.40878
67	MACF1	0.0072934	0.358295
68	CAP1	0.145836	1.89697
69	PPT1	0.0238486	0.551082
70	SMAP2	0.0290082	0.417232
71	YBX1	0.0601446	0.757865
72	CDC20	0.00840972	0.0765328
73	ATP6V0B	0.324355	1.34573
74	RPS8	42.7206	32.5135
75	PRDX1	0.274479	1.38323
76	AKR1A1	0.0179988	0.475499
77	NASP	0.0392221	0.405208
78	UQCRH	0.266178	1.72146
79	NRDC	0.00903537	0.383945
80	SCP2	0.00773054	0.568474
81	MAGOH	0.0119409	0.516506
82	IFT25	0.0107357	0.283853
83	TMEM59	0.0666147	1.14582
84	MRPL37	0.00960092	0.272468
85	JUN	0.793694	1.47548
86	USP1	0.00611709	0.231458
87	JAK1	0.0208544	0.555054
88	PDE4B	0.00598221	0.212553
89	SERBP1	0.0941345	1.20876
90	SRSF11	0.00669483	0.420687
91	ZRANB2	0.00874683	0.507712
92	IFI44L	0.493147	0.418489
93	IFI44	0.0324855	0.197081
94	GNG5	0.393802	1.71124
95	SH3GLB1	0.0187746	0.459261
96	SELENOF	0.0146123	0.643696
97	GBP1	0.0360326	0.382122
98	GBP2	0.00980787	0.401916
99	GBP5	0.0180902	0.385105
100	RPL5	6.97413	13.2037
101	TMED5	0.00890773	0.409437
102	DNTTIP2	0.00790831	0.397267
103	DPYD	0.0104873	0.323163
104	S1PR1	0.0241948	0.313985
105	PRPF38B	0.0066105	0.428333
106	PSMA5	0.0416277	0.680287
107	GSTM1	0.0122801	0.0998104
108	LAMTOR5	0.0197414	0.569364
109	CD53	0.0971002	1.49452
110	DENND2D	0.0236046	0.408705
111	ATP5PB	0.0800256	1.19423
112	C1orf162	0.145896	1.15188
113	RAP1A	0.00955663	0.204667
114	CAPZA1	0.0436837	0.803202
115	CSDE1	0.0308212	1.11696
116	CD2	0.0771723	0.901122
117	TENT5C	0.0160493	0.215832
