group	donor	mean_expr
interferon	1	0.222772
interferon	2	0.271757
interferon	3	2.95859
interferon	4	0.744622
interferon	5	0.253852
interferon	6	0.402591
interferon	7	0.506773
interferon	8	0.788964
interferon	9	0.251499
interferon	10	0.385415
interferon	11	0.222011
interferon	12	0.268325
interferon	13	0.959895
interferon	14	3.13028
interferon	15	0.524133
interferon	16	0.314751
interferon	17	0.41543
interferon	18	2.13458
interferon	19	0.62288
interferon	20	0.774016
interferon	21	0.319995
interferon	22	0.590831
interferon	23	0.431294
interferon	24	0.287725
interferon	25	0.372425
interferon	26	1.50364
interferon	27	0.242573
interferon	28	0.535794
interferon	29	0.269528
interferon	30	1.97402
interferon	31	1.21643
interferon	32	0.270544
interferon	33	2.90811
monocyte	1	3.15022
monocyte	2	11.5603
monocyte	3	22.7533
monocyte	4	37.8369
monocyte	5	4.59684
monocyte	6	19.8617
monocyte	7	23.1597
monocyte	8	8.72672
monocyte	9	9.24899
monocyte	10	8.95951
monocyte	11	1.26041
monocyte	12	2.33208
monocyte	13	19.4217
monocyte	14	22.8169
monocyte	15	13.8088
monocyte	16	11.8225
monocyte	17	2.87236
monocyte	18	15.4376
monocyte	19	7.40257
monocyte	20	20.8284
monocyte	21	5.11587
monocyte	22	5.83109
monocyte	23	9.85078
monocyte	24	4.86673
monocyte	25	9.7348
monocyte	26	16.6765
monocyte	27	5.22837
monocyte	28	21.9012
monocyte	29	4.00238
monocyte	30	60.1358
monocyte	31	30.3146
monocyte	32	4.75471
monocyte	33	13.3989
t	1	1.60946
t	2	1.14346
t	3	1.29547
t	4	1.82031
t	5	1.87165
t	6	1.96313
t	7	1.68481
t	8	2.29067
t	9	1.66962
t	10	2.3752
t	11	2.17817
t	12	1.93329
t	13	1.37019
t	14	1.7963
t	15	1.76581
t	16	1.93604
t	17	2.27889
t	18	2.40327
t	19	2.62442
t	20	1.43155
t	21	1.98096
t	22	2.13932
t	23	2.88005
t	24	2.34093
t	25	1.69539
t	26	1.88422
t	27	1.8207
t	28	1.05276
t	29	2.4561
t	30	0.554098
t	31	1.73107
t	32	1.91448
t	33	2.28035
cd4	1	0.235707
cd4	2	0.221048
cd4	3	0.335305
cd4	4	0.244835
cd4	5	0.285534
cd4	6	0.231277
cd4	7	0.263722
cd4	8	0.308443
cd4	9	0.322828
cd4	10	0.227856
cd4	11	0.232245
cd4	12	0.230584
cd4	13	0.294128
cd4	14	0.26174
cd4	15	0.301349
cd4	16	0.318762
cd4	17	0.410387
cd4	18	0.41842
cd4	19	0.317028
cd4	20	0.32805
cd4	21	0.349228
cd4	22	0.271122
cd4	23	0.276293
cd4	24	0.339934
cd4	25	0.390544
cd4	26	0.280715
cd4	27	0.390483
cd4	28	0.429917
cd4	29	0.402234
cd4	30	0.362584
cd4	31	0.379593
cd4	32	0.285933
cd4	33	0.255476
cd8	1	0.886452
cd8	2	0.210429
cd8	3	0.291737
cd8	4	0.663797
cd8	5	0.542785
cd8	6	0.504427
cd8	7	0.528151
cd8	8	0.90568
cd8	9	0.234337
cd8	10	1.01096
cd8	11	1.27508
cd8	12	0.642521
cd8	13	0.471682
cd8	14	0.971138
cd8	15	0.161687
cd8	16	0.45334
cd8	17	0.686877
cd8	18	0.452825
cd8	19	0.732554
cd8	20	0.260992
cd8	21	0.623393
cd8	22	0.842225
cd8	23	2.69629
cd8	24	0.724451
cd8	25	0.544534
cd8	26	0.642765
cd8	27	0.843914
cd8	28	0.341968
cd8	29	0.420521
cd8	30	0.282932
cd8	31	0.484703
cd8	32	0.627994
cd8	33	0.465497
nk	1	2.26122
nk	2	1.55918
nk	3	2.01218
nk	4	3.56246
nk	5	2.53733
nk	6	1.62372
nk	7	2.02097
nk	8	2.4282
nk	9	1.1451
nk	10	4.28792
nk	11	4.31861
nk	12	3.44041
nk	13	1.95729
nk	14	2.57157
nk	15	0.984491
nk	16	3.66306
nk	17	2.05062
nk	18	1.60725
nk	19	2.01682
nk	20	1.44711
nk	21	2.97989
nk	22	3.22857
nk	23	5.37843
nk	24	3.71051
nk	25	2.64235
nk	26	2.28613
nk	27	2.6075
nk	28	1.6704
nk	29	2.78823
nk	30	1.27065
nk	31	1.37165
nk	32	1.68516
nk	33	2.71248
b	1	0.210067
b	2	0.16689
b	3	0.135535
b	4	0.547006
b	5	0.283708
b	6	0.425154
b	7	0.248221
b	8	0.207378
b	9	0.146663
b	10	0.546344
b	11	0.313262
b	12	0.240694
b	13	0.573697
b	14	0.415057
b	15	0.457811
b	16	0.307564
b	17	0.367331
b	18	0.211486
b	19	0.288661
b	20	0.359271
b	21	0.229704
b	22	0.469337
b	23	0.253697
b	24	0.195708
b	25	0.229092
b	26	0.409092
b	27	0.171593
b	28	0.247751
b	29	0.23987
b	30	0.136393
b	31	0.249393
b	32	0.209531
b	33	0.449312
plasma	1	0.827
plasma	2	2.1418
plasma	3	1.47123
plasma	4	6.31392
plasma	5	0.738321
plasma	6	6.32248
plasma	7	2.13753
plasma	8	3.4959
plasma	9	2.1327
plasma	10	5.73959
plasma	11	0.630876
plasma	12	0.678883
plasma	13	3.28643
plasma	14	1.51819
plasma	15	3.98515
plasma	16	2.83104
plasma	17	0.957918
plasma	18	1.01989
plasma	19	3.21086
plasma	20	6.1469
plasma	21	0.855086
plasma	22	4.5871
plasma	23	7.1883
plasma	24	0.901848
plasma	25	0.823212
plasma	26	2.14971
plasma	27	0.805117
plasma	28	1.72795
plasma	29	0.737925
plasma	30	2.15905
plasma	31	4.95494
plasma	32	0.752463
plasma	33	1.26413
platelet_erythroid	1	0.0310502
platelet_erythroid	2	0.298915
platelet_erythroid	3	0.173082
platelet_erythroid	4	0.974918
platelet_erythroid	5	0.302137
platelet_erythroid	6	0.219383
platelet_erythroid	7	0.622585
platelet_erythroid	8	0.235928
platelet_erythroid	9	4.60865
platelet_erythroid	10	2.12559
platelet_erythroid	11	2.73839
platelet_erythroid	12	1.17294
platelet_erythroid	13	1.02606
platelet_erythroid	14	0.982186
platelet_erythroid	15	0.945834
platelet_erythroid	16	0.413433
platelet_erythroid	17	0.355756
platelet_erythroid	18	0.861288
platelet_erythroid	19	0.153429
platelet_erythroid	20	2.9006
platelet_erythroid	21	2.31076
platelet_erythroid	22	3.28173
platelet_erythroid	23	2.27725
platelet_erythroid	24	0.0394098
platelet_erythroid	25	0.199754
platelet_erythroid	26	0.0616147
platelet_erythroid	27	0.175514
platelet_erythroid	28	0.131517
platelet_erythroid	29	0.0254072
platelet_erythroid	30	0.342912
platelet_erythroid	31	1.04696
platelet_erythroid	32	1.60308
platelet_erythroid	33	0.0424985
proliferation	1	0.017223
proliferation	2	0.089429
proliferation	3	0.0516465
proliferation	4	0.184896
proliferation	5	0.0126502
proliferation	6	0.114963
proliferation	7	0.118669
proliferation	8	0.0975532
proliferation	9	0.106673
proliferation	10	0.321431
proliferation	11	0.0138001
proliferation	12	0.0134421
proliferation	13	0.108322
proliferation	14	0.0911809
proliferation	15	0.101844
proliferation	16	0.184021
proliferation	17	0.0239972
proliferation	18	0.0494244
proliferation	19	0.102353
proliferation	20	0.10864
proliferation	21	0.0239498
proliferation	22	0.160324
proliferation	23	0.579747
proliferation	24	0.0284875
proliferation	25	0.0743927
proliferation	26	0.0955467
proliferation	27	0.0274988
proliferation	28	0.127091
proliferation	29	0.0304328
proliferation	30	0.0717454
proliferation	31	0.142198
proliferation	32	0.0238914
proliferation	33	0.0502035
hla	1	11.7236
hla	2	7.65207
hla	3	13.2545
hla	4	8.711
hla	5	8.34412
hla	6	8.49582
hla	7	7.70864
hla	8	9.33933
hla	9	4.95113
hla	10	9.60386
hla	11	6.64058
hla	12	6.6538
hla	13	10.0543
hla	14	10.7823
hla	15	8.67224
hla	16	7.58104
hla	17	9.40355
hla	18	9.57214
hla	19	6.36493
hla	20	9.05703
hla	21	10.4602
hla	22	8.62758
hla	23	7.67407
hla	24	9.53436
hla	25	11.3132
hla	26	7.52381
hla	27	13.4352
hla	28	9.04093
hla	29	7.95651
hla	30	12.913
hla	31	9.32821
hla	32	13.2776
hla	33	9.38102
cytokine_chemokine	1	0.0775036
cytokine_chemokine	2	0.0513568
cytokine_chemokine	3	0.125408
cytokine_chemokine	4	0.175309
cytokine_chemokine	5	0.11994
cytokine_chemokine	6	0.063166
cytokine_chemokine	7	0.0817285
cytokine_chemokine	8	0.123114
cytokine_chemokine	9	0.0462868
cytokine_chemokine	10	0.108716
cytokine_chemokine	11	0.0829056
cytokine_chemokine	12	0.152487
cytokine_chemokine	13	0.119701
cytokine_chemokine	14	0.120011
cytokine_chemokine	15	0.0880143
cytokine_chemokine	16	0.111718
cytokine_chemokine	17	0.0828744
cytokine_chemokine	18	0.113851
cytokine_chemokine	19	0.0965871
cytokine_chemokine	20	0.0749404
cytokine_chemokine	21	0.129862
cytokine_chemokine	22	0.104652
cytokine_chemokine	23	0.153549
cytokine_chemokine	24	0.117766
cytokine_chemokine	25	0.122162
cytokine_chemokine	26	0.110314
cytokine_chemokine	27	0.0886687
cytokine_chemokine	28	0.0629974
cytokine_chemokine	29	0.0854118
cytokine_chemokine	30	0.0551832
cytokine_chemokine	31	0.0726585
cytokine_chemokine	32	0.0791922
cytokine_chemokine	33	0.236286
entry	1	nan
entry	2	nan
entry	3	nan
entry	4	nan
entry	5	nan
entry	6	nan
entry	7	nan
entry	8	nan
entry	9	nan
entry	10	nan
entry	11	nan
entry	12	nan
entry	13	nan
entry	14	nan
entry	15	nan
entry	16	nan
entry	17	nan
entry	18	nan
entry	19	nan
entry	20	nan
entry	21	nan
entry	22	nan
entry	23	nan
entry	24	nan
entry	25	nan
entry	26	nan
entry	27	nan
entry	28	nan
entry	29	nan
entry	30	nan
entry	31	nan
entry	32	nan
entry	33	nan
