donor	ncells	mean_isg	frac_isg_high	monocyte	t	nk	b	plasma	platelet_erythroid	dendritic
1	11264	0.222772	0.0505149	0.183683	0.36266	0.321733	0.0493608	0.0137607	0.000976562	0.0677379
2	10595	0.271757	0.0730533	0.474847	0.316659	0.130722	0.0320906	0.0192544	0.00311468	0.0233129
3	11327	2.95859	0.674759	0.487861	0.315	0.122451	0.0212766	0.0117419	0.000706277	0.0408758
4	17134	0.744622	0.274017	0.404576	0.240808	0.210751	0.0917474	0.0398623	0.00361854	0.0086378
5	11067	0.253852	0.0583717	0.236107	0.460468	0.215054	0.0477998	0.0159935	0.00135538	0.0232222
6	6663	0.402591	0.107159	0.25499	0.477413	0.0972535	0.106559	0.0415729	0.00450248	0.0177097
7	8490	0.506773	0.198704	0.45265	0.318021	0.161602	0.0334511	0.0194346	0.00765607	0.00718492
8	7888	0.788964	0.256466	0.226673	0.480984	0.212855	0.0391734	0.0207911	0.00190162	0.0176217
9	7837	0.251499	0.0751563	0.445961	0.417379	0.0840883	0.014036	0.0144188	0.00816639	0.01595
10	14101	0.385415	0.115949	0.225658	0.36196	0.26835	0.0948869	0.0377278	0.00297851	0.0083682
11	5942	0.222011	0.0321441	0.108549	0.416695	0.387748	0.0552003	0.00589027	0.00302928	0.0228879
12	8704	0.268325	0.0643382	0.1821	0.405446	0.335823	0.0423943	0.010455	0.00252757	0.0212546
13	5756	0.959895	0.415566	0.507992	0.238881	0.148019	0.07123	0.0229326	0.00208478	0.00886032
14	15886	3.13028	0.671724	0.366801	0.277288	0.252927	0.0822737	0.0139746	0.00270679	0.0040287
15	5857	0.524133	0.182687	0.247396	0.548574	0.0447328	0.128906	0.0262933	0.00136589	0.00273177
16	6108	0.314751	0.0885724	0.369352	0.338245	0.226752	0.042076	0.0188278	0.00180092	0.00294695
17	8626	0.41543	0.126246	0.1885	0.553559	0.173661	0.0566891	0.0106654	0.00127521	0.0156504
18	7557	2.13458	0.525738	0.281726	0.567156	0.0956729	0.0374487	0.0101892	0.00304354	0.0047638
19	7523	0.62288	0.223581	0.21853	0.587	0.125349	0.0451947	0.0207364	0.00186096	0.00132926
20	5868	0.774016	0.313395	0.527267	0.274369	0.0899796	0.0610089	0.0351057	0.00698705	0.00528289
21	9332	0.319995	0.0814402	0.270574	0.39177	0.278183	0.037934	0.0084655	0.00375054	0.00932276
22	5492	0.590831	0.195011	0.237618	0.339767	0.294064	0.0837582	0.0345958	0.00728332	0.00273125
23	5762	0.431294	0.153419	0.286532	0.375217	0.272822	0.0178757	0.0433877	0.00329747	0.000867754
24	7828	0.287725	0.06349	0.239269	0.426801	0.291901	0.0231221	0.0131579	0.000255493	0.0054931
25	6916	0.372425	0.10266	0.394158	0.315645	0.229179	0.0410642	0.00853094	0.00101215	0.0104106
26	10801	1.50364	0.467734	0.284511	0.376632	0.222016	0.094806	0.0182391	0.00129618	0.00249977
27	8364	0.242573	0.0491392	0.303563	0.348398	0.289216	0.0246294	0.0156624	0.00035868	0.0181731
28	6157	0.535794	0.186454	0.62839	0.201559	0.106058	0.0469384	0.0126685	0.000974501	0.00341075
29	10745	0.269528	0.0487669	0.185295	0.568916	0.198046	0.029409	0.00809679	0.000372266	0.00986505
30	5185	1.97402	0.742141	0.836066	0.0574735	0.0725169	0.0181292	0.0121504	0.000578592	0.00308582
31	5851	1.21643	0.466245	0.465049	0.388481	0.0685353	0.036404	0.0343531	0.00170911	0.00546915
32	7848	0.270544	0.0680428	0.255479	0.5158	0.14475	0.0317278	0.00904689	0.00216616	0.0410296
33	5159	2.90811	0.864896	0.224074	0.518318	0.135685	0.0932351	0.0219035	0.000775344	0.00600892
