donor	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
1	-43.7773	6.96868	17.7244	-7.51906	-12.2719	6.64861	5.15272	0.497211	-3.9337	-0.579273
2	-25.7026	15.6622	23.1949	-14.886	-5.10202	-2.95731	-5.91985	2.22223	-3.85407	0.608843
3	5.10724	37.6924	25.3862	10.3659	-8.38844	20.8234	-2.16421	6.71934	0.750548	-7.59887
4	54.4075	-2.21035	1.79676	-2.61311	2.15014	-2.50328	17.8443	-6.24111	10.142	-8.04553
5	-37.6534	-0.160629	0.513239	-4.89568	-2.06542	2.49612	5.62694	-1.37514	2.32473	4.94746
6	14.8558	-16.0386	15.8946	-13.2661	17.8334	2.11521	13.2171	-1.75456	-4.97516	9.1116
7	7.62943	4.54658	10.1614	-7.70104	2.51489	0.183171	-2.89353	-7.89547	3.91099	4.49661
8	1.94275	-7.80619	14.7269	0.399141	8.81328	4.5232	-7.79007	-11.2126	12.9393	-6.47737
9	-12.0589	4.83034	1.47848	-11.5482	2.79961	-4.27435	-7.01063	-3.18257	-6.89664	-0.502188
10	33.5974	-29.9203	6.74039	-2.756	-8.42007	-4.99829	3.06141	-0.0103847	-12.7253	-5.75037
11	-39.7883	-10.2051	-3.80673	2.95907	-9.64153	-0.334628	1.29532	-7.72897	-4.13927	-2.81382
12	-39.9261	-4.19838	-1.64928	-1.73376	-6.09467	-1.42228	2.50555	-7.09198	1.19962	2.51044
13	6.63968	11.8092	5.78422	0.014103	-4.81163	-7.21059	1.58694	0.303324	3.93817	7.01863
14	12.3866	16.4669	-0.953884	23.2537	-5.48116	-1.84444	3.33879	-1.11954	1.51902	6.21162
15	-6.9113	-6.14746	8.23971	-2.33902	15.34	-8.39128	-4.32269	3.38202	-1.75343	0.730103
16	11.2402	-12.1547	-4.14347	-7.52823	1.63026	0.169838	-3.68569	-1.59938	-2.82792	-1.85237
17	-21.5542	-13.864	-11.4337	2.15522	3.28067	7.3696	4.38036	2.90742	-0.285619	-0.438519
18	2.33429	1.9083	-4.82181	20.845	12.1676	5.60487	-5.30706	4.74917	1.07448	0.245991
19	-7.45878	-15.0467	-0.0402104	3.77263	15.0508	-2.0644	-7.12126	-2.88268	-2.31951	-2.44389
20	8.7383	8.98831	-0.918467	-5.21998	-2.79671	-15.7766	3.41681	17.0607	3.05647	1.12655
21	-20.7498	-4.50194	-13.4976	-2.92982	-3.50622	4.32554	2.96342	2.40194	3.79864	1.70384
22	8.14499	-16.6211	-0.64351	5.83892	-10.4079	-13.0534	5.81833	-0.169548	2.98658	-5.77816
23	87.9792	-56.0356	1.48125	-0.0886184	-14.8924	9.98121	-11.3004	1.94152	1.60111	8.67395
24	-16.406	-10.7671	-20.7734	1.70332	-6.22174	3.18408	2.19882	-1.35138	-1.86867	-4.51783
25	-11.2981	5.09843	-13.5255	-4.03439	-2.46298	-5.62788	-12.4188	-0.524761	1.14253	-5.91646
26	-15.4338	2.54609	-1.34619	14.9831	1.31987	-12.9099	-1.79989	-4.86138	-3.02273	-2.24599
27	-23.8595	1.67022	-12.7583	-4.74506	-5.18137	1.69928	1.48137	4.79994	5.98588	2.90852
28	5.79223	25.7198	-7.42307	-11.2463	-2.40387	-7.20051	-9.34171	0.619975	6.00538	4.21555
29	-18.3778	-20.3389	-15.3222	-0.86658	9.06007	13.731	2.21939	4.07609	-4.04236	-3.79044
30	69.1616	66.3448	-22.6826	-8.49974	0.869213	6.10973	1.76923	-8.23488	-8.21847	2.20791
31	43.155	11.4252	4.90753	1.23089	7.71755	-4.24733	0.864245	9.94593	-1.4314	-8.36577
32	-23.2234	-1.54471	-8.34498	-8.81408	7.21809	8.56909	1.27858	7.03364	4.08692	3.08721
33	-8.93304	5.88437	6.05509	35.7099	2.38462	-2.71752	1.0562	-1.4241	-4.16809	7.312
