donor	ncells	total_expr	mean_total_expr	interferon:IFI27	interferon:IFI44L	interferon:IFIT1	interferon:IFIT2	interferon:IFIT3	interferon:IFITM3	interferon:ISG15	interferon:MX1	interferon:MX2	interferon:OAS1	interferon:OAS2	interferon:OAS3	interferon:OASL	interferon:RSAD2	interferon:IRF7	interferon:STAT1	interferon:XAF1	interferon:LY6E	interferon:IFI6	interferon:IFI44	interferon:USP18	interferon:SIGLEC1	interferon:HERC5	interferon:IFI35	interferon:GBP1	interferon:GBP4	monocyte:CD14	monocyte:LYZ	monocyte:S100A8	monocyte:S100A9	monocyte:S100A12	monocyte:FCN1	monocyte:VCAN	monocyte:CSF3R	monocyte:LST1	t:CD3D	t:CD3E	t:CD3G	t:CD2	t:CD7	t:IL7R	nk:NKG7	nk:GNLY	nk:KLRD1	nk:KLRB1	nk:NCAM1	nk:FCGR3A	b:CD19	b:MS4A1	b:CD79A	b:CD79B	b:BANK1	plasma:JCHAIN	plasma:XBP1	plasma:MZB1	platelet_erythroid:PPBP	platelet_erythroid:PF4	platelet_erythroid:HBA1	platelet_erythroid:HBB
1	11264	3.81631e+07	3388.06	0.120916	0.0374645	0.0218395	0.051669	0.0379084	1.86364	0.248047	0.156161	0.137518	0.132457	0.10032	0.0306286	0.0656072	0.0123402	0.346058	0.209695	0.1693	1.2476	0.260476	0.0426136	0.0098544	0.0057706	0.0634766	0.160511	0.14533	0.114879	0.320756	10.2203	9.71662	3.55957	0.661399	1.46875	0.667081	0.185281	1.5522	1.81507	3.00763	1.11053	0.801225	1.03613	1.88619	6.51625	5.31685	0.425781	0.631925	0.0144709	0.662021	0.0307173	0.290572	0.408292	0.222834	0.0979226	1.80558	0.204279	0.471147	0.0982777	0.0151811	0.00053267	0.0102095
2	10595	3.95423e+07	3732.17	0.198773	0.0924965	0.0207645	0.0372817	0.0507787	1.74875	0.388674	0.273431	0.151109	0.187069	0.11883	0.0605002	0.0730533	0.0120812	0.261822	0.269655	0.180179	1.80396	0.433978	0.10958	0.0168004	0.0197263	0.0841907	0.208778	0.155923	0.107504	0.984143	18.113	54.3101	19.1315	3.48589	3.31147	2.05116	0.42067	2.23492	1.1075	2.26881	0.580179	0.500708	1.10741	1.29618	3.08164	5.15111	0.39764	0.322794	0.0227466	0.379141	0.0336008	0.163851	0.349976	0.21529	0.0717319	4.8118	0.256253	1.35734	0.441246	0.0635205	0.0171779	0.673714
3	11327	5.03022e+07	4440.91	17.7311	1.36938	0.312174	0.267679	0.693211	31.2908	2.26874	1.56458	0.749095	1.18557	0.46579	0.291428	0.463229	0.233071	1.28684	0.969983	1.19687	7.05668	4.4567	0.483976	0.136665	0.239428	0.32992	0.812748	0.76428	0.303346	2.4906	20.8853	126.764	32.8223	7.51435	7.66823	2.72976	0.472676	3.43242	1.02278	2.2472	0.605897	0.562903	1.35729	1.97678	5.16297	5.09446	0.460757	0.376622	0.0279862	0.950296	0.0305465	0.128454	0.256379	0.218946	0.0433478	3.13225	0.284718	0.996733	0.150172	0.0407875	0.0150084	0.48636
4	17134	1.02464e+08	5980.15	1.28598	0.182328	0.0564375	0.117544	0.117894	7.6591	0.869207	0.470001	0.329754	0.593907	0.278686	0.106222	0.16867	0.0276643	0.466616	0.386016	0.409712	3.32818	1.02049	0.208825	0.0536944	0.0223532	0.10377	0.459437	0.384499	0.253181	3.13599	19.9985	205.44	77.348	21.241	4.5649	5.14702	0.327769	3.32853	1.44928	3.05445	0.968659	1.13931	1.55358	2.75657	7.60272	11.1909	0.966908	0.418466	0.0351932	1.16056	0.139489	0.760068	1.01512	0.595658	0.224699	14.3639	0.357126	4.22073	0.358293	0.0430139	0.0485001	3.44987
5	11067	3.96147e+07	3579.53	0.0207825	0.0472576	0.0383121	0.0667751	0.0542152	2.19879	0.282913	0.197163	0.166893	0.207102	0.124785	0.039306	0.045089	0.0124695	0.30993	0.33993	0.186771	1.33189	0.250565	0.0505105	0.0144574	0.00605403	0.0461733	0.196982	0.207825	0.157224	0.518478	13.181	14.997	6.61724	1.2615	1.4977	0.976959	0.263667	2.05801	1.38583	2.88488	0.882985	0.871329	1.63414	3.57071	4.95916	7.49562	0.710762	0.869341	0.0315352	1.15759	0.0516852	0.399566	0.538086	0.276407	0.152797	1.73218	0.115659	0.367127	0.11593	0.0162646	0.0103009	1.06605
6	6663	3.45354e+07	5183.16	0.361399	0.03632	0.0165091	0.0261144	0.0385712	4.72895	0.0936515	0.203212	0.226174	0.239832	0.136425	0.0445745	0.060033	0.00780429	0.275401	0.301216	0.213567	2.28636	0.353895	0.070989	0.0225124	0.0025514	0.0667867	0.282455	0.240582	0.131472	1.0054	8.70734	119.142	34.2834	9.47996	2.02101	1.9011	0.140777	2.07429	1.85562	3.52964	1.03332	0.70944	2.22452	2.42623	3.91415	4.16299	0.466757	0.502476	0.0211616	0.674771	0.106409	0.458502	0.858022	0.522137	0.180699	15.4632	0.283056	3.22122	0.587873	0.0651358	0.00120066	0.223323
7	8490	3.93708e+07	4637.31	0.604711	0.149706	0.0220259	0.0432273	0.0570082	4.69682	0.543345	0.479388	0.228151	0.287044	0.178563	0.0773852	0.120377	0.0167256	0.323793	0.407538	0.309541	2.702	0.783157	0.181979	0.0326266	0.0375736	0.0987044	0.322379	0.304594	0.167727	1.80942	17.4783	123.765	42.5115	12.889	4.57091	2.99482	0.372203	2.04617	1.51296	3.14853	1.03628	0.827091	1.20318	2.3808	5.50071	4.91708	0.549941	0.696702	0.0416961	0.41967	0.052768	0.325677	0.444641	0.310365	0.107656	4.91896	0.165253	1.32839	0.77609	0.110483	0.0213192	1.58245
8	7888	3.62172e+07	4591.43	3.23897	0.17216	0.0308063	0.276369	0.127916	7.39744	0.60966	0.521298	0.225786	0.248986	0.178753	0.0881085	0.162399	0.0231998	0.298808	0.750127	0.352561	3.44866	0.728195	0.150609	0.0437373	0.0220588	0.102688	0.346095	0.632099	0.335573	0.89427	8.3608	42.6772	16.5311	3.2164	3.30388	1.12183	0.163666	2.2713	2.01661	4.60624	1.40175	0.970715	1.57454	3.17419	6.80337	6.14845	0.674696	0.389579	0.029285	0.523834	0.0450051	0.235421	0.405426	0.260522	0.0905172	8.56364	0.153905	1.77016	0.124239	0.0190162	0.0139452	0.786511
9	7837	3.29998e+07	4210.77	0.0997831	0.0498915	0.0112288	0.0364936	0.0368764	1.46625	0.332015	0.23606	0.206712	0.277147	0.145847	0.0450427	0.0580579	0.00982519	0.164731	0.327166	0.228404	1.74544	0.311471	0.0903407	0.0195228	0.0015312	0.0858747	0.205181	0.194462	0.15363	0.881715	10.0797	42.4835	18.0722	2.72579	3.12786	2.71456	0.410234	2.74531	1.49343	2.83999	0.805665	0.680362	1.53949	2.6588	2.54638	2.19536	0.39237	0.533367	0.0310068	1.17213	0.0253924	0.159883	0.241036	0.237846	0.0691591	4.96427	0.17915	1.25469	0.551614	0.0829399	0.366594	17.4335
10	14101	7.4574e+07	5288.56	0.171052	0.0644635	0.0241118	0.0490745	0.0499255	2.96617	0.145096	0.34572	0.196298	0.294164	0.219417	0.0553861	0.130558	0.0151762	0.208638	0.464648	0.287285	2.75349	0.4555	0.0801362	0.0385079	0.00397135	0.0816963	0.32636	0.367279	0.226651	0.886746	6.64882	43.1766	20.7914	3.41706	2.24452	1.96951	0.265939	1.23502	2.59336	3.79916	1.37735	1.11751	2.16722	3.19658	9.10191	13.5107	1.32508	0.775406	0.0643926	0.950004	0.149209	0.701652	1.08957	0.52897	0.262322	13.6478	0.315935	3.25502	0.0848876	0.00907737	0.151904	8.25651
