Geneid	https://zenodo.org/records/14056162/files/SRR5085169.tabular_SRR5085169
LSR1	64
RME2	11
SCR1	108
YAL001C	27
YAL002W	13
YAL003W	284
YAL005C	155
YAL007C	20
YAL012W	134
YAL016W	117
YAL017W	11
YAL019W	21
YAL021C	16
YAL023C	63
YAL025C	18
YAL026C	43
YAL029C	53
YAL035W	145
YAL036C	38
YAL038W	2854
YAL041W	24
YAL042W	46
YAL043C	12
YAL044C	45
YAL053W	20
YAL056W	34
YAL058W	16
YAL059W	16
YAL060W	20
YAR002C-A	47
YAR003W	19
YAR007C	21
YAR014C	24
YAR015W	135
YAR042W	23
YBL001C	62
YBL002W	87
YBL003C	131
YBL004W	93
YBL007C	45
YBL009W	16
YBL010C	11
YBL011W	26
YBL015W	18
YBL016W	18
YBL017C	53
YBL020W	10
YBL022C	80
YBL023C	32
YBL024W	44
YBL027W	275
YBL028C	17
YBL030C	104
YBL032W	42
YBL033C	13
YBL035C	17
YBL036C	23
YBL037W	14
YBL039C	92
YBL040C	11
YBL041W	25
YBL042C	63
YBL045C	32
YBL047C	46
YBL050W	37
YBL051C	17
YBL052C	25
YBL054W	33
YBL055C	18
YBL056W	56
YBL058W	27
YBL061C	23
YBL064C	17
YBL067C	20
YBL072C	384
YBL076C	328
YBL079W	55
YBL082C	22
YBL085W	12
YBL087C	195
YBL091C	23
YBL092W	263
YBL098W	71
YBL099W	94
YBL102W	23
YBL105C	17
YBR001C	16
YBR003W	17
YBR009C	69
YBR010W	97
YBR011C	105
YBR015C	22
YBR017C	31
YBR023C	40
YBR025C	113
YBR026C	20
YBR028C	13
YBR029C	42
YBR031W	151
YBR034C	58
YBR035C	58
YBR036C	38
YBR038W	21
YBR039W	36
YBR041W	21
YBR042C	16
YBR043C	22
YBR048W	216
YBR049C	23
YBR052C	35
YBR053C	30
YBR054W	27
YBR055C	20
YBR056W	32
YBR058C	23
YBR059C	26
YBR061C	14
YBR067C	74
YBR068C	51
YBR069C	59
YBR073W	35
YBR074W	18
YBR078W	238
YBR079C	113
YBR080C	29
YBR081C	30
YBR082C	43
YBR083W	19
YBR084C-A	209
YBR084W	141
YBR086C	75
YBR087W	21
YBR088C	32
YBR092C	51
YBR093C	13
YBR101C	42
YBR102C	10
YBR103W	24
YBR104W	14
YBR106W	98
YBR109C	41
YBR110W	12
YBR111C	25
YBR115C	40
YBR118W	258
YBR121C	199
YBR122C	17
YBR126C	41
YBR127C	126
YBR129C	16
YBR130C	15
YBR133C	15
YBR139W	19
YBR140C	53
YBR142W	50
YBR143C	158
YBR146W	18
YBR149W	27
YBR151W	25
YBR154C	17
YBR155W	32
YBR158W	82
YBR159W	36
YBR160W	10
YBR162C	98
YBR164C	34
YBR166C	11
YBR170C	14
YBR172C	21
YBR175W	11
YBR177C	21
YBR181C	259
YBR187W	35
YBR189W	704
YBR191W	222
YBR195C	26
YBR196C	400
YBR198C	20
YBR199W	45
YBR200W	12
YBR202W	13
YBR205W	22
YBR207W	23
YBR208C	29
YBR218C	62
YBR221C	57
YBR222C	22
YBR227C	15
YBR229C	25
YBR234C	20
YBR235W	17
YBR236C	9
YBR237W	11
YBR242W	18
YBR244W	15
YBR245C	34
YBR246W	17
YBR247C	20
YBR248C	35
YBR249C	63
YBR255W	15
YBR256C	31
YBR260C	17
YBR263W	84
YBR265W	23
YBR267W	18
YBR271W	11
YBR272C	16
YBR273C	15
YBR275C	16
YBR276C	23
YBR279W	24
YBR281C	28
YBR283C	44
YBR286W	141
YBR288C	57
YCL009C	85
YCL011C	86
YCL014W	21
YCL017C	15
YCL024W	15
YCL025C	16
YCL028W	11
YCL030C	161
YCL031C	26
YCL034W	28
YCL040W	70
YCL043C	331
YCL045C	63
YCL050C	52
YCL052C	14
YCL054W	53
YCL055W	12
YCL057W	50
YCL059C	18
YCL064C	50
YCR002C	26
YCR004C	33
YCR008W	20
YCR009C	27
YCR011C	53
YCR012W	1830
YCR016W	20
YCR017C	42
YCR023C	10
YCR024C-A	31
YCR024C-B	92
YCR026C	12
YCR028C	13
YCR028C-A	21
YCR030C	20
YCR031C	124
YCR032W	13
YCR033W	14
YCR034W	28
YCR035C	39
YCR036W	24
YCR037C	16
YCR042C	41
YCR043C	23
YCR047C	21
YCR052W	20
YCR053W	135
YCR057C	45
YCR059C	11
YCR067C	22
YCR072C	22
YCR077C	22
YCR084C	40
YCR088W	32
YCR092C	8
YCR093W	51
YCR094W	10
YDL003W	15
YDL004W	18
YDL006W	14
YDL007W	78
YDL014W	100
YDL015C	44
YDL019C	20
YDL020C	33
YDL022W	24
YDL029W	78
YDL030W	12
YDL031W	44
YDL036C	15
YDL039C	11
YDL040C	94
YDL046W	21
YDL047W	25
YDL051W	70
YDL052C	12
YDL055C	835
YDL058W	55
YDL060W	48
YDL061C	42
YDL063C	40
YDL066W	56
YDL070W	79
YDL072C	33
YDL073W	16
YDL074C	43
YDL075W	282
YDL077C	10
YDL078C	21
YDL081C	424
YDL082W	121
YDL083C	136
YDL084W	220
YDL086W	12
YDL092W	19
YDL095W	60
YDL097C	65
YDL099W	21
YDL100C	66
YDL102W	21
YDL103C	24
YDL112W	39
YDL115C	39
YDL116W	35
YDL117W	13
YDL120W	22
YDL121C	56
YDL122W	24
YDL124W	46
YDL125C	11
YDL126C	164
YDL128W	20
YDL130W	257
YDL131W	38
YDL132W	28
YDL133C-A	165
YDL134C	34
YDL136W	102
YDL137W	80
YDL140C	76
YDL141W	11
YDL143W	134
YDL145C	108
YDL147W	109
YDL148C	77
YDL150W	13
YDL153C	74
YDL155W	18
YDL157C	14
YDL160C	20
YDL164C	30
YDL166C	23
YDL167C	30
YDL168W	34
YDL171C	95
YDL174C	16
YDL176W	14
YDL178W	28
YDL182W	66
YDL184C	168
YDL185W	231
YDL188C	20
YDL190C	28
YDL191W	195
YDL192W	231
YDL193W	24
YDL195W	31
YDL198C	22
YDL205C	21
YDL208W	23
YDL212W	35
YDL213C	11
YDL215C	39
YDL219W	12
YDL225W	29
YDL226C	23
