Geneid	https://zenodo.org/records/14056162/files/SRR5085170.tabular_SRR5085170
LSR1	47
RME2	2
SCR1	69
YAL001C	19
YAL002W	13
YAL003W	178
YAL005C	109
YAL007C	20
YAL012W	92
YAL016W	70
YAL017W	18
YAL019W	15
YAL021C	12
YAL023C	40
YAL025C	9
YAL026C	26
YAL029C	45
YAL035W	82
YAL036C	21
YAL038W	1688
YAL041W	9
YAL042W	31
YAL043C	11
YAL044C	25
YAL053W	5
YAL056W	14
YAL058W	8
YAL059W	15
YAL060W	15
YAR002C-A	53
YAR003W	10
YAR007C	13
YAR014C	18
YAR015W	85
YAR042W	13
YBL001C	44
YBL002W	37
YBL003C	70
YBL004W	29
YBL007C	30
YBL009W	2
YBL010C	5
YBL011W	17
YBL015W	12
YBL016W	9
YBL017C	44
YBL020W	5
YBL022C	49
YBL023C	27
YBL024W	17
YBL027W	174
YBL028C	14
YBL030C	58
YBL032W	30
YBL033C	7
YBL035C	10
YBL036C	18
YBL037W	5
YBL039C	41
YBL040C	6
YBL041W	14
YBL042C	16
YBL045C	24
YBL047C	34
YBL050W	16
YBL051C	17
YBL052C	20
YBL054W	15
YBL055C	9
YBL056W	42
YBL058W	16
YBL061C	26
YBL064C	15
YBL067C	8
YBL072C	218
YBL076C	188
YBL079W	36
YBL082C	7
YBL085W	10
YBL087C	133
YBL091C	22
YBL092W	166
YBL098W	76
YBL099W	56
YBL102W	12
YBL105C	10
YBR001C	11
YBR003W	10
YBR009C	42
YBR010W	58
YBR011C	69
YBR015C	19
YBR017C	27
YBR023C	24
YBR025C	71
YBR026C	8
YBR028C	9
YBR029C	11
YBR031W	92
YBR034C	36
YBR035C	27
YBR036C	25
YBR038W	5
YBR039W	17
YBR041W	15
YBR042C	11
YBR043C	13
YBR048W	120
YBR049C	16
YBR052C	18
YBR053C	14
YBR054W	12
YBR055C	6
YBR056W	24
YBR058C	23
YBR059C	17
YBR061C	8
YBR067C	39
YBR068C	31
YBR069C	38
YBR073W	22
YBR074W	19
YBR078W	131
YBR079C	68
YBR080C	14
YBR081C	15
YBR082C	28
YBR083W	9
YBR084C-A	122
YBR084W	74
YBR086C	55
YBR087W	13
YBR088C	21
YBR092C	32
YBR093C	8
YBR101C	24
YBR102C	11
YBR103W	14
YBR104W	16
YBR106W	57
YBR109C	31
YBR110W	7
YBR111C	10
YBR115C	23
YBR118W	169
YBR121C	130
YBR122C	14
YBR126C	22
YBR127C	86
YBR129C	12
YBR130C	13
YBR133C	5
YBR139W	13
YBR140C	25
YBR142W	32
YBR143C	98
YBR146W	12
YBR149W	20
YBR151W	11
YBR154C	11
YBR155W	13
YBR158W	54
YBR159W	25
YBR160W	15
YBR162C	59
YBR164C	18
YBR166C	12
YBR170C	12
YBR172C	15
YBR175W	9
YBR177C	15
YBR181C	174
YBR187W	18
YBR189W	445
YBR191W	140
YBR195C	10
YBR196C	279
YBR198C	7
YBR199W	29
YBR200W	8
YBR202W	7
YBR205W	12
YBR207W	14
YBR208C	18
YBR218C	45
YBR221C	34
YBR222C	22
YBR227C	11
YBR229C	22
YBR234C	12
YBR235W	10
YBR236C	15
YBR237W	8
YBR242W	7
YBR244W	10
YBR245C	21
YBR246W	8
YBR247C	11
YBR248C	29
YBR249C	24
YBR255W	11
YBR256C	17
YBR260C	7
YBR263W	36
YBR265W	7
YBR267W	12
YBR271W	11
YBR272C	19
YBR273C	15
YBR275C	16
YBR276C	15
YBR279W	14
YBR281C	14
YBR283C	27
YBR286W	88
YBR288C	29
YCL009C	50
YCL011C	58
YCL014W	11
YCL017C	4
YCL024W	5
YCL025C	3
YCL028W	7
YCL030C	103
YCL031C	14
YCL034W	23
YCL040W	70
YCL043C	181
YCL045C	40
YCL050C	41
YCL052C	15
YCL054W	31
YCL055W	10
YCL057W	28
YCL059C	20
YCL064C	32
YCR002C	21
YCR004C	16
YCR008W	13
YCR009C	26
YCR011C	36
YCR012W	1258
YCR016W	9
YCR017C	20
YCR023C	7
YCR024C-A	24
YCR024C-B	62
YCR026C	12
YCR028C	10
YCR028C-A	19
YCR030C	13
YCR031C	67
YCR032W	8
YCR033W	7
YCR034W	18
YCR035C	29
YCR036W	12
YCR037C	12
YCR042C	30
YCR043C	9
YCR047C	13
YCR052W	15
YCR053W	83
YCR057C	20
YCR059C	6
YCR067C	9
YCR072C	5
YCR077C	12
YCR084C	25
YCR088W	24
YCR092C	14
YCR093W	28
YCR094W	10
YDL003W	13
YDL004W	11
YDL006W	14
YDL007W	72
YDL014W	72
YDL015C	26
YDL019C	13
YDL020C	9
YDL022W	20
YDL029W	42
YDL030W	11
YDL031W	29
YDL036C	7
YDL039C	10
YDL040C	68
YDL046W	15
YDL047W	12
YDL051W	60
YDL052C	7
YDL055C	578
YDL058W	36
YDL060W	22
YDL061C	24
YDL063C	28
YDL066W	42
YDL070W	56
YDL072C	17
YDL073W	10
YDL074C	38
YDL075W	179
YDL077C	9
YDL078C	10
YDL081C	268
YDL082W	79
YDL083C	92
YDL084W	142
YDL086W	4
YDL092W	12
YDL095W	49
YDL097C	49
YDL099W	7
YDL100C	63
YDL102W	13
