Geneid	https://zenodo.org/records/14056162/files/SRR5085167.tabular_SRR5085167
LSR1	43
RME2	6
SCR1	65
YAL001C	17
YAL002W	3
YAL003W	186
YAL005C	69
YAL007C	12
YAL012W	69
YAL016W	54
YAL017W	8
YAL019W	3
YAL021C	4
YAL023C	38
YAL025C	13
YAL026C	18
YAL029C	27
YAL035W	82
YAL036C	9
YAL038W	1609
YAL041W	9
YAL042W	22
YAL043C	4
YAL044C	20
YAL053W	10
YAL056W	12
YAL058W	6
YAL059W	9
YAL060W	10
YAR002C-A	26
YAR003W	8
YAR007C	9
YAR014C	9
YAR015W	68
YAR042W	5
YBL001C	16
YBL002W	49
YBL003C	62
YBL004W	40
YBL007C	28
YBL009W	6
YBL010C	4
YBL011W	5
YBL015W	9
YBL016W	8
YBL017C	39
YBL020W	14
YBL022C	36
YBL023C	20
YBL024W	15
YBL027W	118
YBL028C	9
YBL030C	68
YBL032W	14
YBL033C	4
YBL035C	7
YBL036C	14
YBL037W	9
YBL039C	36
YBL040C	7
YBL041W	5
YBL042C	25
YBL045C	17
YBL047C	24
YBL050W	19
YBL051C	9
YBL052C	19
YBL054W	16
YBL055C	11
YBL056W	37
YBL058W	10
YBL061C	13
YBL064C	4
YBL067C	12
YBL072C	205
YBL076C	146
YBL079W	23
YBL082C	5
YBL085W	6
YBL087C	107
YBL091C	8
YBL092W	105
YBL098W	10
YBL099W	53
YBL102W	16
YBL105C	21
YBR001C	9
YBR003W	6
YBR009C	29
YBR010W	37
YBR011C	46
YBR015C	18
YBR017C	11
YBR023C	14
YBR025C	52
YBR026C	11
YBR028C	6
YBR029C	17
YBR031W	94
YBR034C	35
YBR035C	17
YBR036C	19
YBR038W	5
YBR039W	14
YBR041W	16
YBR042C	13
YBR043C	9
YBR048W	123
YBR049C	12
YBR052C	15
YBR053C	19
YBR054W	7
YBR055C	12
YBR056W	15
YBR058C	11
YBR059C	18
YBR061C	4
YBR067C	15
YBR068C	25
YBR069C	31
YBR073W	20
YBR074W	16
YBR078W	101
YBR079C	49
YBR080C	20
YBR081C	14
YBR082C	26
YBR083W	5
YBR084C-A	89
YBR084W	53
YBR086C	35
YBR087W	9
YBR088C	27
YBR092C	37
YBR093C	28
YBR101C	29
YBR102C	9
YBR103W	9
YBR104W	7
YBR106W	34
YBR109C	23
YBR110W	11
YBR111C	14
YBR115C	15
YBR118W	115
YBR121C	87
YBR122C	9
YBR126C	23
YBR127C	70
YBR129C	6
YBR130C	10
YBR133C	3
YBR139W	7
YBR140C	25
YBR142W	20
YBR143C	82
YBR146W	17
YBR149W	18
YBR151W	12
YBR154C	11
YBR155W	11
YBR158W	46
YBR159W	22
YBR160W	10
YBR162C	56
YBR164C	8
YBR166C	8
YBR170C	6
YBR172C	11
YBR175W	10
YBR177C	15
YBR181C	150
YBR187W	16
YBR189W	417
YBR191W	106
YBR195C	6
YBR196C	255
YBR198C	8
YBR199W	22
YBR200W	6
YBR202W	14
YBR205W	10
YBR207W	14
YBR208C	34
YBR218C	59
YBR221C	23
YBR222C	7
YBR227C	7
YBR229C	20
YBR234C	9
YBR235W	12
YBR236C	8
YBR237W	10
YBR242W	10
YBR244W	14
YBR245C	15
YBR246W	7
YBR247C	5
YBR248C	18
YBR249C	33
YBR255W	9
YBR256C	10
YBR260C	7
YBR263W	37
YBR265W	8
YBR267W	6
YBR271W	6
YBR272C	8
YBR273C	11
YBR275C	8
YBR276C	8
YBR279W	14
YBR281C	17
YBR283C	36
YBR286W	83
YBR288C	26
YCL009C	39
YCL011C	63
YCL014W	7
YCL017C	5
YCL024W	6
YCL025C	11
YCL028W	6
YCL030C	46
YCL031C	16
YCL034W	18
YCL040W	36
YCL043C	177
YCL045C	26
YCL050C	25
YCL052C	8
YCL054W	25
YCL055W	5
YCL057W	33
YCL059C	14
YCL064C	29
YCR002C	12
YCR004C	17
YCR008W	10
YCR009C	12
YCR011C	24
YCR012W	911
YCR016W	7
YCR017C	22
YCR023C	11
YCR024C-A	10
YCR024C-B	57
YCR026C	9
YCR028C	5
YCR028C-A	10
YCR030C	9
YCR031C	44
YCR032W	11
YCR033W	10
YCR034W	12
YCR035C	20
YCR036W	13
YCR037C	6
YCR042C	13
YCR043C	10
YCR047C	7
YCR052W	8
YCR053W	81
YCR057C	16
YCR059C	7
YCR067C	9
YCR072C	11
YCR077C	12
YCR084C	16
YCR088W	15
YCR092C	10
YCR093W	14
YCR094W	3
YDL003W	6
YDL004W	7
YDL006W	2
YDL007W	56
YDL014W	67
YDL015C	23
YDL019C	19
YDL020C	11
YDL022W	11
YDL029W	32
YDL030W	3
YDL031W	20
YDL036C	10
YDL039C	7
YDL040C	40
YDL046W	14
YDL047W	5
YDL051W	43
YDL052C	8
YDL055C	485
YDL058W	30
YDL060W	20
YDL061C	21
YDL063C	22
YDL066W	36
YDL070W	33
YDL072C	20
YDL073W	15
YDL074C	34
YDL075W	148
YDL077C	8
YDL078C	11
YDL081C	265
YDL082W	68
YDL083C	90
YDL084W	134
YDL086W	10
YDL092W	6
YDL095W	41
YDL097C	37
YDL099W	4
YDL100C	46
YDL102W	12
YDL103C	12
YDL112W	20
YDL115C	16
YDL116W	20
YDL117W	6
YDL120W	10
YDL121C	24
YDL122W	16
YDL124W	31
YDL125C	6
YDL126C	106
YDL128W	12
YDL130W	116
YDL131W	21
YDL132W	19
YDL133C-A	87
YDL134C	13
YDL136W	73
YDL137W	44
YDL140C	42
YDL141W	6
YDL143W	66
YDL145C	51
YDL147W	54
YDL148C	30
YDL150W	5
YDL153C	18
YDL155W	6
YDL157C	4
YDL160C	9
YDL164C	16
YDL166C	6
YDL167C	21
YDL168W	21
YDL171C	49
YDL174C	5
YDL176W	3
YDL178W	15
YDL182W	37
YDL184C	107
YDL185W	138
YDL188C	10
YDL190C	12
YDL191W	95
YDL192W	145
YDL193W	15
YDL195W	18
YDL198C	7
YDL205C	11
YDL208W	12
YDL212W	29
YDL213C	16
YDL215C	11
YDL219W	8
YDL225W	7
YDL226C	11
YDL227C	9
YDL229W	235
YDL231C	12
YDL236W	17
YDL237W	20
YDL240W	11
YDR001C	14
YDR002W	52
YDR006C	2
YDR007W	6
YDR011W	28
YDR012W	17
YDR017C	16
YDR019C	7
YDR021W	4
YDR023W	61
YDR025W	59
YDR027C	8
YDR028C	21
YDR032C	17
YDR033W	80
YDR034C	6
YDR035W	31
YDR037W	131
YDR044W	9
YDR046C	19
YDR047W	12
YDR049W	11
YDR050C	727
YDR052C	9
YDR055W	8
YDR056C	10
YDR060W	53
YDR062W	32
YDR064W	207
YDR068W	4
YDR071C	20
YDR074W	11
YDR077W	44
YDR080W	3
YDR083W	4
YDR086C	26
YDR087C	9
YDR089W	9
YDR091C	38
YDR093W	12
YDR097C	13
YDR098C	45
YDR099W	46
YDR101C	48
YDR105C	15
YDR110W	9
YDR111C	11
YDR117C	11
YDR119W	27
YDR120C	13
YDR127W	46
YDR128W	11
YDR129C	69
YDR133C	22
YDR135C	44
YDR137W	9
YDR138W	8
YDR141C	18
YDR144C	10
YDR145W	5
YDR146C	7
YDR147W	12
YDR148C	11
YDR150W	20
YDR151C	2
YDR152W	2
YDR154C	8
YDR155C	83
YDR158W	85
YDR159W	8
YDR161W	15
YDR164C	10
YDR165W	18
YDR167W	10
YDR168W	16
YDR170C	46
YDR172W	32
YDR174W	32
YDR176W	9
YDR177W	11
YDR180W	6
YDR186C	5
YDR188W	71
YDR189W	11
YDR190C	20
YDR194C	25
YDR206W	21
YDR207C	4
YDR211W	59
YDR212W	60
YDR214W	12
YDR217C	8
YDR221W	14
YDR224C	49
YDR225W	27
YDR226W	24
YDR228C	9
YDR229W	7
YDR232W	13
YDR233C	44
YDR234W	11
YDR238C	54
YDR240C	14
YDR245W	17
YDR251W	10
YDR258C	4
YDR261C	6
YDR264C	29
YDR266C	16
YDR267C	7
YDR272W	9
YDR275W	11
YDR276C	9
YDR280W	10
YDR283C	8
YDR284C	33
YDR291W	12
YDR292C	14
YDR293C	20
YDR294C	10
YDR297W	32
YDR298C	27
YDR299W	29
YDR300C	15
YDR301W	9
YDR303C	18
YDR304C	22
YDR305C	3
YDR309C	7
YDR312W	10
YDR321W	16
YDR324C	28
YDR325W	6
YDR326C	16
YDR328C	19
YDR329C	4
YDR331W	8
YDR333C	14
YDR334W	24
YDR335W	50
YDR337W	8
YDR339C	9
YDR341C	74
YDR345C	41
YDR346C	59
YDR347W	5
YDR351W	6
YDR353W	36
YDR354W	13
YDR356W	8
YDR361C	12
YDR363W-A	11
YDR364C	7
YDR365C	20
YDR367W	12
YDR368W	19
YDR369C	6
YDR370C	18
YDR371W	0
YDR372C	11
YDR376W	17
YDR378C	11
YDR379W	8
YDR380W	10
YDR381W	36
YDR382W	172
YDR385W	30
YDR388W	19
YDR390C	14
YDR394W	27
YDR395W	21
YDR397C	8
YDR398W	22
YDR399W	55
YDR407C	12
YDR408C	17
YDR412W	11
YDR415C	4
YDR416W	5
YDR418W	91
YDR422C	7
YDR427W	20
YDR429C	47
YDR430C	9
YDR432W	16
YDR434W	7
YDR443C	7
YDR447C	119
YDR449C	12
YDR450W	159
YDR452W	37
YDR454C	80
YDR456W	10
YDR457W	35
YDR458C	7
YDR460W	1
YDR465C	15
YDR468C	7
YDR471W	46
YDR477W	6
YDR481C	41
YDR483W	69
YDR487C	33
YDR492W	10
YDR496C	42
YDR497C	68
YDR500C	45
YDR502C	36
YDR505C	8
YDR507C	11
YDR508C	31
YDR510W	31
YDR516C	12
YDR517W	24
YDR518W	12
YDR519W	10
YDR524C-B	40
YDR527W	16
YDR529C	5
YDR531W	9
YDR533C	5
YEL001C	14
YEL002C	37
YEL006W	16
YEL007W	10
YEL009C	109
YEL013W	13
YEL015W	14
YEL017C-A	12
YEL020W-A	10
YEL022W	21
YEL025C	11
YEL026W	50
YEL027W	103
YEL031W	81
YEL032W	24
YEL033W	10
YEL034W	213
YEL036C	21
YEL037C	20
YEL038W	13
YEL040W	198
YEL042W	13
YEL043W	10
YEL046C	32
YEL047C	26
YEL050C	13
YEL051W	22
YEL053C	9
YEL054C	68
YEL055C	21
YEL058W	29
YEL060C	10
YEL061C	8
YEL065W	13
YEL071W	39
YER001W	22
YER003C	32
YER004W	7
YER005W	18
YER006W	31
YER007C-A	14
YER008C	18
YER009W	70
YER012W	8
YER013W	12
YER016W	4
YER017C	5
YER019C-A	5
YER021W	54
