Geneid	https://zenodo.org/records/14056162/files/SRR5085169.tabular_SRR5085169	https://zenodo.org/records/14056162/files/SRR5085170.tabular_SRR5085170	https://zenodo.org/records/14056162/files/SRR5085167.tabular_SRR5085167	https://zenodo.org/records/14056162/files/SRR5085168.tabular_SRR5085168
LSR1	64	47	43	30
RME2	11	2	6	14
SCR1	108	69	65	38
YAL001C	27	19	17	12
YAL002W	13	13	3	10
YAL003W	284	178	186	233
YAL005C	155	109	69	82
YAL007C	20	20	12	13
YAL012W	134	92	69	135
YAL016W	117	70	54	95
YAL017W	11	18	8	10
YAL019W	21	15	3	9
YAL021C	16	12	4	17
YAL023C	63	40	38	52
YAL025C	18	9	13	8
YAL026C	43	26	18	25
YAL029C	53	45	27	20
YAL035W	145	82	82	138
YAL036C	38	21	9	25
YAL038W	2854	1688	1609	2118
YAL041W	24	9	9	14
YAL042W	46	31	22	43
YAL043C	12	11	4	6
YAL044C	45	25	20	17
YAL053W	20	5	10	22
YAL056W	34	14	12	28
YAL058W	16	8	6	13
YAL059W	16	15	9	12
YAL060W	20	15	10	11
YAR002C-A	47	53	26	45
YAR003W	19	10	8	15
YAR007C	21	13	9	16
YAR014C	24	18	9	21
YAR015W	135	85	68	104
YAR042W	23	13	5	9
YBL001C	62	44	16	28
YBL002W	87	37	49	43
YBL003C	131	70	62	86
YBL004W	93	29	40	53
YBL007C	45	30	28	29
YBL009W	16	2	6	14
YBL010C	11	5	4	10
YBL011W	26	17	5	19
YBL015W	18	12	9	17
YBL016W	18	9	8	11
YBL017C	53	44	39	48
YBL020W	10	5	14	21
YBL022C	80	49	36	42
YBL023C	32	27	20	21
YBL024W	44	17	15	31
YBL027W	275	174	118	195
YBL028C	17	14	9	16
YBL030C	104	58	68	74
YBL032W	42	30	14	23
YBL033C	13	7	4	12
YBL035C	17	10	7	6
YBL036C	23	18	14	9
YBL037W	14	5	9	10
YBL039C	92	41	36	45
YBL040C	11	6	7	11
YBL041W	25	14	5	11
YBL042C	63	16	25	34
YBL045C	32	24	17	24
YBL047C	46	34	24	47
YBL050W	37	16	19	28
YBL051C	17	17	9	15
YBL052C	25	20	19	16
YBL054W	33	15	16	23
YBL055C	18	9	11	11
YBL056W	56	42	37	43
YBL058W	27	16	10	17
YBL061C	23	26	13	17
YBL064C	17	15	4	12
YBL067C	20	8	12	15
YBL072C	384	218	205	222
YBL076C	328	188	146	196
YBL079W	55	36	23	27
YBL082C	22	7	5	24
YBL085W	12	10	6	9
YBL087C	195	133	107	162
YBL091C	23	22	8	21
YBL092W	263	166	105	154
YBL098W	71	76	10	18
YBL099W	94	56	53	60
YBL102W	23	12	16	12
YBL105C	17	10	21	14
YBR001C	16	11	9	7
YBR003W	17	10	6	5
YBR009C	69	42	29	37
YBR010W	97	58	37	52
YBR011C	105	69	46	81
YBR015C	22	19	18	23
YBR017C	31	27	11	26
YBR023C	40	24	14	41
YBR025C	113	71	52	70
YBR026C	20	8	11	8
YBR028C	13	9	6	10
YBR029C	42	11	17	26
YBR031W	151	92	94	133
YBR034C	58	36	35	49
YBR035C	58	27	17	23
YBR036C	38	25	19	30
YBR038W	21	5	5	12
YBR039W	36	17	14	32
YBR041W	21	15	16	23
YBR042C	16	11	13	13
YBR043C	22	13	9	11
YBR048W	216	120	123	162
YBR049C	23	16	12	10
YBR052C	35	18	15	14
YBR053C	30	14	19	22
YBR054W	27	12	7	8
YBR055C	20	6	12	10
YBR056W	32	24	15	21
YBR058C	23	23	11	13
YBR059C	26	17	18	24
YBR061C	14	8	4	10
YBR067C	74	39	15	27
YBR068C	51	31	25	42
YBR069C	59	38	31	43
YBR073W	35	22	20	26
YBR074W	18	19	16	6
YBR078W	238	131	101	129
YBR079C	113	68	49	82
YBR080C	29	14	20	27
YBR081C	30	15	14	14
YBR082C	43	28	26	20
YBR083W	19	9	5	14
YBR084C-A	209	122	89	95
YBR084W	141	74	53	96
YBR086C	75	55	35	45
YBR087W	21	13	9	6
YBR088C	32	21	27	28
YBR092C	51	32	37	21
YBR093C	13	8	28	37
YBR101C	42	24	29	15
YBR102C	10	11	9	11
YBR103W	24	14	9	12
YBR104W	14	16	7	8
YBR106W	98	57	34	49
YBR109C	41	31	23	28
YBR110W	12	7	11	7
YBR111C	25	10	14	11
YBR115C	40	23	15	25
YBR118W	258	169	115	152
YBR121C	199	130	87	90
YBR122C	17	14	9	6
YBR126C	41	22	23	24
YBR127C	126	86	70	83
YBR129C	16	12	6	8
YBR130C	15	13	10	10
YBR133C	15	5	3	12
YBR139W	19	13	7	9
YBR140C	53	25	25	22
YBR142W	50	32	20	25
YBR143C	158	98	82	83
YBR146W	18	12	17	13
YBR149W	27	20	18	23
YBR151W	25	11	12	14
YBR154C	17	11	11	12
YBR155W	32	13	11	14
