query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents
query_1	TRUE	0.00333486477079538	1157	54	18	0.333333333333333	0.0155574762316335	GO:0009888	GO:BP	tissue development	11878	3587	GO:0048856
query_1	TRUE	0.0045673048002074	28	54	4	0.0740740740740741	0.142857142857143	GO:0032924	GO:BP	activin receptor signaling pathway	11878	7403	GO:0141091
query_1	TRUE	0.0045673048002074	100	54	6	0.111111111111111	0.06	GO:0042445	GO:BP	hormone metabolic process	11878	9532	GO:0008152,GO:0010817
query_1	TRUE	0.00902657780209299	12	54	3	0.0555555555555556	0.25	GO:0008210	GO:BP	estrogen metabolic process	11878	2997	GO:0008202,GO:0042445
query_1	TRUE	0.0131792008029408	3	54	2	0.037037037037037	0.666666666666667	GO:0019373	GO:BP	epoxygenase P450 pathway	11878	5393	GO:0019369
query_1	TRUE	0.0131792008029408	17	54	3	0.0555555555555556	0.176470588235294	GO:0032925	GO:BP	regulation of activin receptor signaling pathway	11878	7404	GO:0032924,GO:0090092
query_1	TRUE	0.0131792008029408	99	54	5	0.0925925925925926	0.0505050505050505	GO:0002700	GO:BP	regulation of production of molecular mediator of immune response	11878	1172	GO:0002440,GO:0002697,GO:0010468
query_1	TRUE	0.0131792008029408	51	54	4	0.0740740740740741	0.0784313725490196	GO:0006805	GO:BP	xenobiotic metabolic process	11878	2359	GO:0008152,GO:0071466
query_1	TRUE	0.0131792008029408	50	54	4	0.0740740740740741	0.08	GO:0046209	GO:BP	nitric oxide metabolic process	11878	11186	GO:2001057
query_1	TRUE	0.0131792008029408	19	54	3	0.0555555555555556	0.157894736842105	GO:0042572	GO:BP	retinol metabolic process	11878	9594	GO:0001523,GO:0034308,GO:0042445,GO:0120254
query_1	TRUE	0.0131792008029408	51	54	4	0.0740740740740741	0.0784313725490196	GO:2001057	GO:BP	reactive nitrogen species metabolic process	11878	24360	GO:0008152
query_1	TRUE	0.0131792008029408	89	54	5	0.0925925925925926	0.0561797752808989	GO:0071466	GO:BP	cellular response to xenobiotic stimulus	11878	15561	GO:0009410,GO:0070887
query_1	TRUE	0.015163101430995	1704	54	19	0.351851851851852	0.011150234741784	GO:0048513	GO:BP	animal organ development	11878	11949	GO:0048856
query_1	TRUE	0.0171502224091035	22	54	3	0.0555555555555556	0.136363636363636	GO:0085029	GO:BP	extracellular matrix assembly	11878	16689	GO:0022607,GO:0030198
query_1	TRUE	0.0171502224091035	59	54	4	0.0740740740740741	0.0677966101694915	GO:0002367	GO:BP	cytokine production involved in immune response	11878	860	GO:0001816,GO:0002440,GO:0006955
query_1	TRUE	0.0171502224091035	59	54	4	0.0740740740740741	0.0677966101694915	GO:0002718	GO:BP	regulation of cytokine production involved in immune response	11878	1190	GO:0001817,GO:0002367,GO:0002700
query_1	TRUE	0.0182139096870705	116	54	5	0.0925925925925926	0.0431034482758621	GO:0051216	GO:BP	cartilage development	11878	12677	GO:0001501,GO:0048513,GO:0061448
query_1	TRUE	0.0182139096870705	5	54	2	0.037037037037037	0.4	GO:0016102	GO:BP	diterpenoid biosynthetic process	11878	4876	GO:0016101,GO:0016114
query_1	TRUE	0.0182139096870705	263	54	7	0.12962962962963	0.026615969581749	GO:0010817	GO:BP	regulation of hormone levels	11878	4223	GO:0065008
query_1	TRUE	0.0182139096870705	5	54	2	0.037037037037037	0.4	GO:0097267	GO:BP	omega-hydroxylase P450 pathway	11878	17342	GO:0019369
query_1	TRUE	0.0182139096870705	5	54	2	0.037037037037037	0.4	GO:0002138	GO:BP	retinoic acid biosynthetic process	11878	691	GO:0016102,GO:0042573,GO:0072330
query_1	TRUE	0.0185413234721448	26	54	3	0.0555555555555556	0.115384615384615	GO:0030279	GO:BP	negative regulation of ossification	11878	6316	GO:0001503,GO:0030278,GO:0051241
query_1	TRUE	0.0206218263891695	125	54	5	0.0925925925925926	0.04	GO:0002440	GO:BP	production of molecular mediator of immune response	11878	921	GO:0002376,GO:0010467
query_1	TRUE	0.0234446751206439	71	54	4	0.0740740740740741	0.0563380281690141	GO:0048706	GO:BP	embryonic skeletal system development	11878	12113	GO:0001501,GO:0043009
query_1	TRUE	0.0305321407779811	32	54	3	0.0555555555555556	0.09375	GO:0001523	GO:BP	retinoid metabolic process	11878	317	GO:0016101
query_1	TRUE	0.0307136870708193	7	54	2	0.037037037037037	0.285714285714286	GO:0009404	GO:BP	toxin metabolic process	11878	3315	GO:0019748
query_1	TRUE	0.031504569748461	220	54	6	0.111111111111111	0.0272727272727273	GO:0001654	GO:BP	eye development	11878	355	GO:0007423,GO:0150063
query_1	TRUE	0.031504569748461	220	54	6	0.111111111111111	0.0272727272727273	GO:0150063	GO:BP	visual system development	11878	18869	GO:0048880
query_1	TRUE	0.0319135617503283	222	54	6	0.111111111111111	0.027027027027027	GO:0048880	GO:BP	sensory system development	11878	12267	GO:0048731
query_1	TRUE	0.0331761822886484	8	54	2	0.037037037037037	0.25	GO:0042574	GO:BP	retinal metabolic process	11878	9596	GO:0001523,GO:0006081,GO:0120254
query_1	TRUE	0.0331761822886484	8	54	2	0.037037037037037	0.25	GO:0032332	GO:BP	positive regulation of chondrocyte differentiation	11878	7005	GO:0002062,GO:0032330,GO:0045597,GO:0061036
query_1	TRUE	0.0331761822886484	35	54	3	0.0555555555555556	0.0857142857142857	GO:0016101	GO:BP	diterpenoid metabolic process	11878	4875	GO:0006721
query_1	TRUE	0.0385897120746929	38	54	3	0.0555555555555556	0.0789473684210526	GO:0060390	GO:BP	regulation of SMAD protein signal transduction	11878	13601	GO:0060395,GO:1902531
query_1	TRUE	0.0476022452802047	10	54	2	0.037037037037037	0.2	GO:0042573	GO:BP	retinoic acid metabolic process	11878	9595	GO:0001523,GO:0032787,GO:0042445
query_1	TRUE	0.0476022452802047	43	54	3	0.0555555555555556	0.0697674418604651	GO:0034308	GO:BP	primary alcohol metabolic process	11878	7989	GO:0006066
query_1	TRUE	0.0476022452802047	11	54	2	0.037037037037037	0.181818181818182	GO:0032926	GO:BP	negative regulation of activin receptor signaling pathway	11878	7405	GO:0032924,GO:0032925,GO:0090101
query_1	TRUE	0.0476022452802047	568	54	9	0.166666666666667	0.0158450704225352	GO:0030334	GO:BP	regulation of cell migration	11878	6339	GO:0016477,GO:2000145
query_1	TRUE	0.0476022452802047	45	54	3	0.0555555555555556	0.0666666666666667	GO:0002720	GO:BP	positive regulation of cytokine production involved in immune response	11878	1192	GO:0001819,GO:0002367,GO:0002702,GO:0002718
query_1	TRUE	0.0476022452802047	45	54	3	0.0555555555555556	0.0666666666666667	GO:0006809	GO:BP	nitric oxide biosynthetic process	11878	2361	GO:0009058,GO:0046209
query_1	TRUE	0.0476022452802047	45	54	3	0.0555555555555556	0.0666666666666667	GO:0006721	GO:BP	terpenoid metabolic process	11878	2303	GO:0006720
query_1	TRUE	0.0476022452802047	167	54	5	0.0925925925925926	0.029940119760479	GO:0048562	GO:BP	embryonic organ morphogenesis	11878	11986	GO:0009887,GO:0048568,GO:0048598
query_1	TRUE	0.0476022452802047	11	54	2	0.037037037037037	0.181818181818182	GO:0071280	GO:BP	cellular response to copper ion	11878	15401	GO:0046688,GO:0071248
query_1	TRUE	0.0476022452802047	165	54	5	0.0925925925925926	0.0303030303030303	GO:0061448	GO:BP	connective tissue development	11878	14398	GO:0009888
query_1	TRUE	0.0476022452802047	1707	54	17	0.314814814814815	0.00995899238429994	GO:0065008	GO:BP	regulation of biological quality	11878	14785	GO:0065007
