>Log2FC2, padj<0.05	log2FoldChange	pvalue	padj
Mfge8	3.60960098831507	5.62730861368138e-163	7.4018803850058e-159
Tmem176b	3.37260760550374	1.08743023304087e-107	9.5356757135354e-104
Hmgcs2	3.89092995972927	5.25756484578602e-103	2.76621516796186e-99
Insrr	6.12249548726817	3.60061070396208e-102	1.57868776315217e-98
Tmem176a	3.71024980864342	2.78611831039745e-100	1.04706306273751e-96
Cxcl16	3.32932867882449	3.5085440610827e-99	1.15374085768628e-95
Bst1	8.15487686529965	1.2221100525631e-91	3.57222768364195e-88
Ccl19-ps1	9.5987028906308	2.0310794155209e-89	5.34316061841083e-86
Tnfsf13b	2.90711836875937	1.75304386160353e-84	4.19248407883674e-81
Lhpp	2.5841158163267	1.60070479001715e-82	3.50914507591509e-79
Ifitm1	4.88190494585867	7.80167187620646e-80	1.46598987176688e-76
C1rb	4.8199465845502	1.82556692114134e-76	3.20167926629769e-73
Lepr	6.69228321591125	7.60622318754189e-74	1.11164951885925e-70
Csf2rb2	7.52488416162974	8.60330718349599e-71	1.19119580040121e-67
Apol11b	10.1361248330908	8.75504045515714e-68	1.09675642501819e-64
Crym	4.99073262180239	1.36275391771068e-66	1.6295439687825e-63
Cldn1	6.25934942681537	7.7615133173947e-66	8.87748394959576e-63
Clu	6.13079064522018	2.09708125863806e-63	2.12184294888429e-60
Csmd1	5.75474039577039	2.08224431331462e-61	2.02880004260621e-58
Ugcg	3.62967020556434	2.66897487863993e-61	2.50759721901359e-58
Kcnj8	4.4574100640735	2.77225431572294e-55	2.14499100834481e-52
H2-M3	2.00496881703574	3.55102679867679e-54	2.66905319979401e-51
Spib	5.31663170292568	1.38514450068643e-52	9.1097490948895e-50
Serpina10	9.54231132867766	5.92314833359236e-52	3.71000626694796e-49
Stc1	7.00231839808965	6.00444496927449e-51	3.51019852903787e-48
Ifi47	2.95766941895493	7.47461212438988e-51	4.27466567731141e-48
Tgtp2	4.02737569242874	3.35204540588528e-50	1.7996379284209e-47
Cxadr	5.25327377002609	4.87020641801532e-50	2.56241040477458e-47
C2	2.30978038426112	1.99428100485717e-49	1.0089144306688e-46
Ano1	4.75773047193634	8.57957402425578e-49	4.17968247881661e-46
Smap2	2.98816313769231	4.1812128251291e-48	1.89646837570123e-45
Serpinb6b	3.76760789008898	1.05029078885208e-46	4.31718746598932e-44
