>Log2FC2, padj<0.05	log2FoldChange	pvalue	padj
Cpa1	21.0015875121527	1.23925081689215e-83	3.26009712399819e-79
Try4	21.3964858572489	2.51272316054504e-80	3.30511040922292e-76
Amy2a4	16.5174722814808	3.29076940107472e-78	2.88567568780242e-74
Hand2os1	5.77291766984593	1.64719434898397e-75	1.08331854346803e-71
Hand2	5.32277662657533	7.15912068089815e-74	3.76669975504775e-70
Cela1	10.8304298889397	5.99070991194392e-73	2.62662676089181e-69
Amy2a1	24.907726335653	3.8649691101955e-72	1.4525106054559e-68
Sycn	20.2117378799381	2.38472391643946e-70	7.84186650872161e-67
Cela2a	17.8699329573563	1.22942993762846e-64	3.23426133691918e-61
Prss2	17.9108461132335	1.58949044464727e-62	3.48456042727798e-59
Try5	20.8811226574508	4.71867653449671e-60	9.54878643023115e-57
2210010C04Rik	12.1476650829012	7.79129834873297e-58	1.46404061185799e-54
Ctrb1	17.5067162247015	1.80138992798451e-56	3.15927765569923e-53
Clps	16.0999637252472	8.9917729531742e-53	1.39145041811267e-49
Pnlip	15.3111694416772	1.92134328690835e-50	2.80804321381656e-47
Gp2	23.079027857011	2.09451212234903e-50	2.90001738961242e-47
Ackr4	3.15460196682586	1.18543764469251e-49	1.4850146723298e-46
Rnase1	15.6829511668886	7.20756153224983e-49	8.24388353169114e-46
Reg1	13.5031809752117	6.98844211122951e-49	8.24388353169114e-46
Ctrl	11.8217877547707	3.76608194047457e-48	4.12809656700269e-45
Cpb1	12.8321034535128	1.73755585477163e-47	1.82839527485909e-44
Amy2b	21.1944683384337	9.14458642298775e-47	9.25256288575149e-44
Gm15725	19.1786283831893	4.97929528538945e-46	4.67822575259787e-43
Barx1	6.44052962627537	1.00932372765375e-43	8.85075976779577e-41
Rcsd1	2.66469630106829	1.69287818799144e-43	1.43659827391906e-40
Cela3b	13.880144041249	5.81303183367063e-43	4.77885713901167e-40
Cel	14.6008585639896	3.74903137559339e-40	2.98865964841622e-37
Klk1	11.3851354723891	7.38725559883731e-40	5.71578038348862e-37
Cpa2	12.1876313932883	8.12423711833616e-39	6.10640873920198e-36
Pnliprp1	15.3876737317803	1.52254899244156e-38	1.11260267622667e-35
Kcnn3	4.06299214078956	5.51846527224816e-37	3.7224170747957e-34
Lfng	2.97641020637994	2.48401303912517e-35	1.59382758586014e-32
Mest	2.8062223741026	7.99076473228533e-35	4.88867553051698e-32
Pcsk6	2.32513158741575	1.96060536835624e-34	1.17221921421244e-31
Zg16	11.1859261690766	1.202137603978e-33	6.728645520819e-31
Krt18	6.12781151567277	3.49958932278357e-33	1.91799367321807e-30
Fbn2	2.75865736400914	7.54365347442753e-33	3.89119395983853e-30
