>Log2FC2, padj<0.05	log2FoldChange	pvalue	padj
Ugt1a7c	3.22457503933828	1.24983883940591e-32	2.73777197771865e-28
Wt1	4.15266898673124	1.78674534940539e-29	1.95693284393625e-25
Prlr	3.45615477579808	9.31637698773161e-28	6.80250793054203e-24
Wt1os	3.05170580699924	2.02438731822814e-24	1.10860510514468e-20
Coch	6.55241887228935	4.90450029063571e-24	2.1486615773275e-20
Mapk13	3.41328998590351	4.40084597141008e-23	1.60667551672896e-19
Hand2	3.64943272997023	3.09632929357133e-20	7.53612146396445e-17
Col4a6	3.7787204511967	1.01215158863583e-19	2.21711805490679e-16
Ccl19-ps1	4.81242914802676	4.60367090243872e-18	8.40361759316001e-15
Nkain4	2.463775322488	2.50515506330485e-17	4.22118628166867e-14
Gm11816	2.08743513204692	3.41626140669724e-17	5.34522900812164e-14
Vegfd	2.09015136898692	4.66807673373072e-17	6.81694805682476e-14
Hand2os1	3.86781051190242	3.62964791842997e-15	4.41707986962269e-12
Rspo1	2.0087499810074	4.58829807435738e-15	5.28982470098939e-12
Bst1	3.75058492354041	4.98864587102126e-15	5.46381439023604e-12
Barx1	5.16091330542495	7.13808451157088e-15	7.44570196314096e-12
Ackr4	2.61432067080336	1.55854593272054e-14	1.55181584801106e-11
Col6a5	2.87844537366767	1.79691846401888e-14	1.71136951975364e-11
Star	2.4578184803158	5.01261922129359e-14	4.5750593351015e-11
Rspo3	2.93259987983061	2.82052275395237e-13	2.27155923342986e-10
Ugt1a6b	4.61378025821057	1.07248943721013e-12	7.59657292603522e-10
Fam151a	4.28222070543911	3.63737299112304e-12	2.27647586773001e-09
Adgrf4	4.52887036402516	4.48330652843295e-12	2.65423863527902e-09
4932438H23Rik	3.11971408682253	7.09207452523042e-12	3.98338185833775e-09
Sema3a	2.07208308310523	1.75562513765258e-10	7.69139372805597e-08
Dlk1	4.73693509725684	3.30037234949812e-10	1.36405011916521e-07
C1qtnf3	2.10019754759272	3.71381590929729e-10	1.50650254616958e-07
Gpr39	2.24737781825272	1.24541897810839e-09	4.13347010840367e-07
Cobl	3.36543117470783	2.55179452052904e-09	8.10102303944763e-07
