Gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	Unnamed: 7
Bmp5	4.55827321815358e-273	1.70455106411929	0.897	0.082	9.61203073512046e-269	Bmp4+	adj p value <= 0.05
Tmem158	5.21528073851224e-262	2.02202023072652	0.914	0.203	1.09974624933008e-257	Bmp4+	
Adamdec1	2.44846502874408e-257	2.40229185131688	0.885	0.051	5.16307820611265e-253	Bmp4+	
Nbl1	3.1844315218916e-255	1.76617447392798	0.974	0.543	6.71501075021281e-251	Bmp4+	
Bmp4	2.74016083907873e-252	1.80205603713777	0.939	0.262	5.77817716136533e-248	Bmp4+	
Ednrb	5.73277486815801e-248	2.26914015513349	0.779	0.021	1.20887023644848e-243	Bmp4+	
Tmem119	3.16078362912601e-246	1.75005099354521	0.902	0.258	6.66514443873802e-242	Bmp4+	
Aldh1a1	4.32445782796756e-235	1.72733658797731	0.941	0.398	9.11898422183519e-231	Bmp4+	
Nkx2-3	1.32593650848316e-233	1.62847975484792	0.826	0.069	2.79600231543844e-229	Bmp4+	
Tspan13	4.15558846503112e-232	1.51987513339171	0.751	0.018	8.76288939621112e-228	Bmp4+	
Emid1	7.48729912249105e-221	1.60345409430166	0.714	0.018	1.57884676595969e-216	Bmp4+	
Cald1	3.96579779922475e-214	1.27740426026965	0.978	0.776	8.36267781922523e-210	Bmp4+	
Rgs10	8.64478149417646e-214	1.50046927830102	0.826	0.196	1.82292507367699e-209	Bmp4+	
Fhl1	1.4048635101083e-206	1.47638122864331	0.947	0.479	2.96243568376537e-202	Bmp4+	
Tgm2	4.00515967954046e-200	1.39342688913261	0.872	0.271	8.44568021624698e-196	Bmp4+	
Fhl2	9.8361712021768e-199	1.49233616464229	0.803	0.114	2.07415342140302e-194	Bmp4+	
Sept4	2.79720453689172e-195	1.23570469010899	0.931	0.323	5.89846520694358e-191	Bmp4+	
Tpm2	4.12974539384619e-193	1.40520513586088	0.882	0.293	8.70839411200347e-189	Bmp4+	
Bmp7	2.56429511549219e-192	1.25158719976065	0.703	0.053	5.40732911003837e-188	Bmp4+	
Myl9	4.22775840364731e-184	1.58889102122509	0.86	0.296	8.91507414577109e-180	Bmp4+	
Gnai1	5.09379924859198e-181	1.23271554274835	0.769	0.129	1.07412944755059e-176	Bmp4+	
Foxf1	1.96114332410345e-180	1.10599535972476	0.695	0.073	4.13546292753695e-176	Bmp4+	
Sox6	1.18426588740058e-173	1.19483116280081	0.6	0.014	2.4972614767616e-169	Bmp4+	
Thbd	6.11263442423796e-171	1.43831757826219	0.881	0.397	1.28897122103906e-166	Bmp4+	
Tsc22d1	1.80340152529596e-169	1.46186977315629	0.936	0.531	3.80283279639158e-165	Bmp4+	
Col12a1	3.25977992991685e-168	1.33745834391939	0.725	0.108	6.87389793821566e-164	Bmp4+	
Rerg	1.08682104411142e-162	1.0868446435769	0.62	0.03	2.29177953571774e-158	Bmp4+	
Ednra	1.53040283659267e-162	1.20268904363511	0.68	0.086	3.22716046152296e-158	Bmp4+	
Gadd45a	1.57624003174742e-161	1.45670652112153	0.777	0.23	3.32381735494578e-157	Bmp4+	
Pdlim1	2.33317760517111e-159	1.2748363771157	0.853	0.359	4.91997161602433e-155	Bmp4+	
Pbxip1	7.17476420418214e-158	1.14230737662357	0.844	0.368	1.51294252773589e-153	Bmp4+	
Dkk3	2.56771070004662e-154	1.07084170845915	0.799	0.185	5.41453155318831e-150	Bmp4+	
F2r	2.82730251931791e-154	1.06231531105741	0.811	0.239	5.96193282248569e-150	Bmp4+	
Plac8	6.55662870441782e-153	1.02112100791148	0.956	0.431	1.38259629490059e-148	Bmp4+	
Tnc	1.02211093892679e-151	1.09080176626276	0.743	0.116	2.15532533691492e-147	Bmp4+	
Pdlim3	2.21147768613887e-151	1.20720306078492	0.667	0.096	4.66334299676104e-147	Bmp4+	
Pdgfra	1.65772394549989e-150	1.05893325187811	0.937	0.612	3.49564248387562e-146	Bmp4+	
P2ry14	1.23107221639895e-145	1.01161567949642	0.694	0.108	2.59596198272047e-141	Bmp4+	
Efemp1	5.78607923606192e-145	1.18327835729036	0.923	0.527	1.22011052850838e-140	Bmp4+	
Trp53i11	7.23473212396427e-143	1.35180053511264	0.542	0.03	1.52558796298035e-138	Bmp4+	
AW112010	2.20017884989999e-141	1.15671095872262	0.919	0.501	4.6395171407841e-137	Bmp4+	
Rdh10	9.63220291594917e-141	1.05565458095966	0.696	0.142	2.0311426288862e-136	Bmp4+	
Higd1a	1.03743748497087e-140	1.1382558775329	0.82	0.41	2.18764442455807e-136	Bmp4+	
Wfdc1	3.92079640104134e-140	1.00423789684469	0.694	0.121	8.26778337087587e-136	Bmp4+	
Sox4	1.13085168962246e-139	1.13718255071287	0.786	0.265	2.38462695790688e-135	Bmp4+	
Mgarp	2.57006322741607e-135	1.26349667705947	0.539	0.045	5.41949232765227e-131	Bmp4+	
Capzb	8.48326730195653e-135	0.851133816570722	0.905	0.604	1.78886657596357e-130	Bmp4+	
Kcnj8	9.82709891095286e-135	1.32756614639435	0.661	0.149	2.07224034735263e-130	Bmp4+	
Minos1	3.25434289718587e-134	0.857099381059333	0.934	0.705	6.86243286729585e-130	Bmp4+	
Tagln	1.74164462734704e-132	1.62118233340043	0.729	0.197	3.6726060256867e-128	Bmp4+	
