Steady state	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	CD45- Object	Unnamed: 9	Unnamed: 10	Fibroblast Object	Unnamed: 12
Tissue	Study (PMID)	Study (First, Last Author)	Mouse Sex (M/F)	Mouse background (transgenic notes)	10X Chemistry	Perturbation details		Cell Number	Frequency of total		Cell Number	Frequency of total
Artery	31359001	Wirka, Quertermous	M	C57BL/6	v2			6539	3.614264710759333		2508	2.0798951759369064
Bone	31130381	Baryawno, Scadden	M	C57BL/6	v2			12580	6.9532726810448695		8193	6.79449010225322
Intestine	32084389 / 30270042	McCarthy, Shivdasani / Kinchen / Simmons	M / M	C57BL/6 (PdgfraH2BeGFP (Mccarthy))	v2 / v2			13200	7.295961795690961		9235	7.658625179337054
Heart	32142665	Soilman, Rossi	M & F	C57BL/6 (PdgfraH2BeGFP and Hic1-citrine)	v2			26259	14.513989454018859		25492	21.140625129578797
Liver	31722201 / 31398325	Dobie, Marioni / Xiong,  Lin	M / ?	C57BL/6 (Pdgfrb-GFP (Dobie))	v2 / ?			15424	8.525220813389195		1603	1.329374787490774
Lung	30824323 / 29590628 / 30848683 / 33116313 / 32317643	Dahlgren, Molofsky / Xie, Jiang / Peyser, Morton / Boyd, Thomas / Tsukui, Sheppard	? / M & F / M / ? / F	C57BL/6 (aSMA-GFP;Tbx4-Cre;Rosa26tdTomato (Xie), Col-GFP (Tsukui))	v1 / v2 / v2 / v2 / v2			26776	14.79974795768342		11839	9.818133567750015
Lymph node	32917792 / Kapoor et al., in prep	Shibayama, Ludewig / Kapoor, Turley	? / M	C57BL/6 (Ccl19-YFP (Shibayama))	v2 / v2			18117	10.013707564585845		15898	13.184279707753166
Mesentery	29728440	Koga, Moro	?	C57BL/6	v2			1665	0.9202860901382917		922	0.7646185614887671
Muscle	30890574 / 31809738	DellOrso, Sartorelli / Scott, Underhill	? / M & F	C57BL/6 (Hic1CreERT2; Rosa26LSL-tdTomato (Scott))	v2 / v2			5146	2.844319651562552		3804	3.1546735443636336
Omentum	32294409	Jackson-Jones, Benezech	F	C57BL/6	v2			4121	2.2777771636395796		1440	1.1941981871408074
Pancreas	31699795	Dominguez/Muller, Turley	F	C57BL/6 (albnie B6)	v2			2620	1.4481378715689635		2167	1.7971024107875901
Skin	32433953, Krishnamurthy et al., in prep	Davidson, Teichman  Krishnamurthy et al., in prep	F / F	C57BL/6	v2 / v3			14019	7.748643061650877		8968	7.43720093213803
Spleen	30988302	Cheng, Ludewig	?	C57BL/6 (Ccl19-iEYFP)	v2			8717	4.818098407048342		6315	5.2370566331904165
Subcutaneous Adipose	29937373 / 29925944	Burl, Granneman / Schwalie, Deplancke	M / M&F	C57BL/6 (Dlk-RFP (Schwaile))	v2 / v2			17959	9.926377112788936		16695	13.845235232163738
Tendon		Swanson, Mendias	M	C57BL/6	v3			1098	0.6068913675506572		588	0.4876309264158297
Visceral Adipose	30265241 / 29937373	Hepler, Strand / Burl, Granneman	M /M	C57BL/6 (MuralChaser mice (Hepler))	v2 / v2			6682	3.6933042968793184		4916	4.0768599222112565
							Total:	180922	100.00000000000001		120583	100
												
Perturbation						Perturbation details		CD45- Object			Fibroblast Object	
Tissue	Study (PMID)	Study (First, Last Author)						Cell Number	Frequency of total		Cell Number	Frequency of total
Arthritis	31142839	Croft, Buckley	?	C57BL/6	v2	Serum transfer-induced arthritis (STIA) mice (Day 9)		4623	2.5316386377451274		3274	3.2872806136792643
Artery	31359001	Wirka, Quertermous	M	C57BL/6	v2	8wk HFD		6448	3.5310417339780624		2737	2.7481023334270454
						16wk HFD		3612	1.9779967033388277		1816	1.8233664002570384
Bone	31130381	Baryawno, Scadden	M	C57BL/6	v2	Transfer of MLL-AF9 into irradiated mice		25752	14.102262210515363		10513	10.55564480501225
Heart	32142665	Soilman, Rossi	M & F	C57BL/6 (PdgfraH2BeGFP and Hic1-citrine)	v2	LAD ligation - mouse MI model (7d)		4251	2.3279246915540854		3145	3.1577573396521954
Intestine	30270042	Kinchen, Simmons	M	C57BL/6	v2	1.75% DSS for 7d		3776	2.0678060774660616		3278	3.2912968392304913
