>Log2FC2, padj<0.05	log2FoldChange	pvalue	padj
Emp1	4.22900450560235	6.16317019526484e-98	2.31620740466903e-94
Ptges	4.45852537908855	1.28963352031785e-96	4.2407986273752e-93
Tlr2	3.44955271984564	1.63577604045969e-75	3.31018156125946e-72
Tubb6	2.93886259127482	5.00863209399524e-72	9.41157746405234e-69
Olfml3	2.57781881058268	4.56010112340919e-67	7.05662236785445e-64
Spon1	2.48441247200812	7.99440365013118e-63	1.05154388412e-59
Pcdh20	9.45619732198558	1.05841254368248e-62	1.32588851365024e-59
Srxn1	2.79340349358539	1.10620916984592e-61	1.26526281004942e-58
Tfpi2	3.77664992093677	1.87864286609485e-61	2.05922741159822e-58
Ifi211	2.75155048521601	2.12103470736945e-61	2.23192240187073e-58
Kctd11	3.01248699150446	9.94719303871071e-58	9.34574311676295e-55
Glipr2	2.17128514924125	9.4449092974827e-54	7.76460090277742e-51
Tsku	3.23639489218721	2.83727558477847e-52	2.1325773945362e-49
Tgfbi	2.68722842100886	3.01454697523893e-50	2.20288020215585e-47
Tnfaip2	4.28861870153344	1.59395395072255e-48	1.04830366454145e-45
Gfpt2	2.99476395988761	3.73617109817649e-45	2.2857547227844e-42
Sfrp4	4.21860932298921	5.63484498801651e-45	3.36899697953978e-42
Nfatc1	4.35692295153671	2.20305346068074e-44	1.2599071171767e-41
Cd44	2.15541174661471	2.83272855530193e-44	1.55251229384016e-41
Mamdc2	2.68360066062292	8.2423317996283e-44	4.42512291128207e-41
Plaur	2.47492051131289	1.81915714349994e-43	9.57131339481061e-41
Maob	2.44909070722617	3.37861951748592e-43	1.74277144404906e-40
Uap1	2.05342929614976	3.82122595906907e-43	1.93317290971596e-40
Plekhf1	2.03341492800824	1.25010749486227e-42	6.0901070124707e-40
Flnc	3.36281317022186	1.38735683369474e-42	6.63585385891045e-40
Il34	2.36382766110312	4.44243251458455e-41	1.85503289144724e-38
Ifi204	2.55908533077766	4.78125766641165e-41	1.9653210223483e-38
Mmp19	2.35539133507479	1.7258514008762e-39	6.39464405673945e-37
Noct	3.32104330298737	8.04824135143545e-39	2.78585638463437e-36
Cxcl2	6.69591518851356	6.92386094720702e-38	2.33520525561763e-35
Abcc9	3.39076948747792	1.0024532466399e-37	3.29644219491949e-35
F3	2.18016982902591	2.69180937206826e-37	8.23411966872089e-35
Hmga1	3.05433601114252	3.09212179509948e-37	9.34993655904391e-35
Has2	6.09106209202002	4.15469868731288e-37	1.22806357715888e-34
Ccl2	4.48824307763829	4.54535121456078e-37	1.32860616001612e-34
Spon2	2.51603206701462	4.8289409374654e-37	1.39598845320772e-34
Ifi207	4.39854064470251	1.34418716832399e-36	3.7618650890531e-34
Rdh10	2.50939419096533	1.92476154687239e-36	5.27444812641373e-34
Col15a1	3.48183181851913	1.61186965536353e-35	4.11684029355811e-33
Tnfrsf12a	2.60300999838895	4.52155930296268e-35	1.11166972507513e-32
Il15ra	2.18713023249116	1.74868228651127e-34	4.25949860289369e-32
Plat	2.26788364028816	1.76707578455008e-34	4.26481308845495e-32
Ifi205	4.0923274671328	2.6030454643227e-34	6.22530154817611e-32
Tll2	11.9591554599605	1.1323094192288e-32	2.54595417877368e-30
Cxcl1	4.51136428859678	1.19498219306499e-32	2.66410140279327e-30
Aqp3	5.69910575467991	2.07504739152926e-32	4.58724972512272e-30
Barx1	6.01857073010511	2.90198850884544e-32	6.30930675224769e-30
Itpkc	2.76136334066415	6.06784636227503e-32	1.28731317945459e-29
Errfi1	2.6146453925127	8.20522418713695e-32	1.72683866152809e-29
Itga5	2.63671622600433	1.75562257361585e-31	3.58024519721801e-29
Ccl7	4.40800563751271	7.16131407262652e-31	1.42721734324686e-28
Rnd1	3.57722343173769	1.79595828441086e-30	3.4997240435553e-28
Bcl3	2.48631389280821	8.61594989049467e-30	1.59619573076932e-27
Fgd5	2.59811297808649	6.12077853155387e-29	1.07346213886392e-26
Gm22816	3.10270406154366	1.31416984361225e-28	2.21614526127611e-26
Stx11	3.22444531736702	2.32738447999998e-28	3.77941379724441e-26
Fosl1	4.36809541633852	2.94431747248752e-28	4.72293657004447e-26
Nfkbie	2.16534381309679	7.23195098182018e-28	1.13922715256733e-25
Gpnmb	2.31929482721083	8.65003789851669e-28	1.35450325593023e-25
Creb5	3.16787903933894	2.81450081116837e-27	4.20687913860264e-25
Dnm1	2.71391418420646	1.08440005994129e-26	1.55868663059841e-24
Adora2b	3.12007394331383	1.29448895146078e-26	1.83086671215477e-24
Ccdc3	4.20457231065195	1.46816201839364e-26	2.06539776566211e-24
Enpp2	2.68271657089741	4.77219956348403e-26	6.47125020188528e-24
Srpx	2.19019411785505	5.37456736151892e-26	7.25070479894761e-24
Stk40	2.03859793310176	1.01062607264541e-25	1.3427545501557e-23
Oaf	2.68820890868488	1.70563222961069e-25	2.23234164499346e-23
Islr	3.06497369943445	2.27036898244459e-25	2.9567622188698e-23
Myc	2.74544828879594	2.41706640702418e-25	3.13230374234409e-23
Vit	2.12486527879764	5.70568543350018e-25	7.25118196613958e-23
Opcml	2.44090087954204	7.90432568509503e-25	9.99707191335553e-23
Enpp3	2.16936158038152	2.5231157032565e-24	3.03084953450085e-22
Rad52	2.18431374581068	3.68331963085328e-24	4.34516096541961e-22
Rcan1	3.57037578070592	5.4937035764421e-24	6.31104192076254e-22
Fbxo30	2.04509869557357	6.77832007099857e-24	7.71936216916707e-22
Arl13b	2.09752522870379	7.45920275255244e-24	8.45815719014642e-22
Tmem132e	13.3952416849609	1.05453584858687e-23	1.18554164823824e-21
Nfatc2	4.17315861290868	2.48486383109882e-23	2.73511769057392e-21
Il6	4.17219953055535	5.81392648582798e-23	6.19218477986545e-21
Gap43	4.90330428720331	7.9843882227265e-23	8.40181203901064e-21
Sele	7.20858316836072	2.12199273813676e-22	2.16369236287456e-20
Trib1	2.2301795301403	2.36638560809319e-22	2.38515349395048e-20
4932438H23Rik	2.62608958493529	4.436156376588e-22	4.35455096264554e-20
Tmem255a	2.58042862662976	5.90463673367947e-22	5.75308439084837e-20
Rel	2.5658514312236	6.02122730245966e-22	5.84503419357219e-20
Serpinb2	7.33502798497094	1.39213934697154e-21	1.31737445326547e-19
Dgkb	2.99044028839878	1.72291043006455e-21	1.618735881561e-19
