Gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	Unnamed: 7
Hp	8.77162193990908e-198	3.41995080334884	0.689	0.061	1.84967191846863e-193	Cxcl12+	adj p value <= 0.05
Esm1	5.78756048122534e-186	2.43959802731897	0.624	0.006	1.22042287867599e-181	Cxcl12+	
Cxcl12	2.05104976424665e-175	2.42706466497929	0.867	0.642	4.32504863786691e-171	Cxcl12+	
Adipoq	6.56522915882181e-145	2.24430465071915	0.539	0.004	1.38440987272075e-140	Cxcl12+	
Spp1	1.61112464255816e-144	2.4064681457051	0.557	0.026	3.39737853376239e-140	Cxcl12+	
Gdpd2	4.69232131947878e-138	1.4926946392877	0.576	0.043	9.8946979663849e-134	Cxcl12+	
Cxcl14	1.5324688023505e-131	2.20197464258986	0.709	0.263	3.23151696351651e-127	Cxcl12+	
Igfbp4	4.70938990894458e-131	1.72723174405446	0.884	0.829	9.93069050099144e-127	Cxcl12+	
Gas6	4.91801687801864e-119	1.5358008121407	0.819	0.614	1.03706221906779e-114	Cxcl12+	
Runx1	5.04194848255592e-119	1.67568340894509	0.58	0.118	1.06319567651657e-114	Cxcl12+	
Ibsp	7.62469204764354e-114	2.05197162322068	0.421	0.007	1.60781881208659e-109	Cxcl12+	
Kitl	9.47177268561255e-111	1.54145439231892	0.579	0.179	1.99731270621512e-106	Cxcl12+	
Rgcc	7.33276320773905e-110	1.6456798709309	0.533	0.093	1.54625977761593e-105	Cxcl12+	
Pappa	2.185451092093e-106	1.61050105349008	0.476	0.059	4.60846071789651e-102	Cxcl12+	
Serpine2	2.09245961976457e-104	1.94008135887175	0.722	0.491	4.41236960019755e-100	Cxcl12+	
Kng2	6.72124173871413e-104	1.29120109623265	0.405	0.008	1.41730824544265e-99	Cxcl12+	
Cebpa	8.65535649381394e-99	1.39739762300683	0.48	0.112	1.82515502385055e-94	Cxcl12+	
Slc6a6	1.08355570738341e-98	1.77725752533381	0.589	0.202	2.2848939201594e-94	Cxcl12+	
1500009L16Rik	1.76326457013004e-98	1.50482833910896	0.54	0.132	3.71819599903323e-94	Cxcl12+	
Ebf3	5.07756063828301e-98	1.42375481311932	0.495	0.114	1.07070521179474e-93	Cxcl12+	
Serpina12	1.65078793246241e-93	1.52291952360136	0.35	0.002	3.48101651318348e-89	Cxcl12+	
Kng1	5.27818127317911e-91	1.11302498554626	0.341	0.002	1.11301008507528e-86	Cxcl12+	
Foxc1	3.33075724783764e-86	1.27574362622745	0.421	0.07	7.02356780851523e-82	Cxcl12+	
Arrdc4	3.99739960420502e-84	1.40467356738194	0.482	0.146	8.42931654538713e-80	Cxcl12+	
Tnc	1.3258305029487e-82	1.50551259711346	0.455	0.099	2.79577878156792e-78	Cxcl12+	
Cyp1b1	1.80789404462711e-81	1.33673888319651	0.569	0.233	3.81230617190518e-77	Cxcl12+	
Pdzrn4	5.55609514992729e-81	1.2337900775251	0.312	0.006	1.17161378426517e-76	Cxcl12+	
Cdh11	1.96253058621913e-80	1.18696999534409	0.544	0.231	4.13838824716027e-76	Cxcl12+	
Grem1	7.44042345242592e-79	1.58678480482337	0.42	0.071	1.56896209341305e-74	Cxcl12+	
Lepr	6.12500763734056e-71	1.24174334667827	0.505	0.17	1.291580360486e-66	Cxcl12+	
H2-Q10	1.04408946760175e-69	1.03525619952282	0.332	0.033	2.20167146033181e-65	Cxcl12+	
Tmem176b	6.02874628640611e-69	0.79833416914768	0.838	0.517	1.27128172941446e-64	Cxcl12+	
Chrdl1	2.11728316885232e-67	1.19874041661229	0.519	0.189	4.46471501815889e-63	Cxcl12+	
Serpina3g	3.07211527330835e-67	1.15988013838513	0.421	0.115	6.47816947682532e-63	Cxcl12+	
Rbm39	1.05702713490481e-65	0.834251489322357	0.78	0.786	2.22895311937377e-61	Cxcl12+	
Il34	6.0904716636281e-65	1.14184363717421	0.441	0.115	1.28429775970926e-60	Cxcl12+	
Marc1	8.63037142389376e-65	0.829964470466755	0.259	0.005	1.81988642215648e-60	Cxcl12+	
Slc26a7	1.29991186744337e-64	0.877092885418745	0.252	0.001	2.74112415487784e-60	Cxcl12+	
H2-K1	3.33189645145273e-64	0.740391215301619	0.883	0.856	7.02597004717837e-60	Cxcl12+	
S100a8	3.67871550022091e-64	0.950734825398334	0.279	0.014	7.75730737531584e-60	Cxcl12+	
Fst	6.58949427501245e-61	1.14583589915295	0.561	0.269	1.38952665777188e-56	Cxcl12+	
S100a9	1.04849102354213e-60	0.850922379009165	0.252	0.012	2.21095302134329e-56	Cxcl12+	
Il1rn	2.33932950718854e-58	1.10450295761841	0.238	0.002	4.93294413180846e-54	Cxcl12+	
Trf	5.2661932143111e-57	1.50337844116221	0.575	0.335	1.11048216310178e-52	Cxcl12+	
Fgfr2	4.68520178796164e-55	0.844576469676932	0.307	0.061	9.87968501027471e-51	Cxcl12+	
H2-D1	2.36101750870742e-54	0.577485730390805	0.923	0.956	4.97867762061134e-50	Cxcl12+	
Tns3	8.8460334355803e-54	1.06708650213466	0.505	0.218	1.86536307056082e-49	Cxcl12+	
Agt	1.79948083047995e-52	0.965396949650215	0.337	0.048	3.79456522723306e-48	Cxcl12+	
Hbb-bs	4.3144309013561e-51	4.28037021615447	0.246	0.028	9.0978404416896e-47	Cxcl12+	
Sfrp4	2.72369398320427e-50	1.04377062820903	0.476	0.181	5.74345350238285e-46	Cxcl12+	
H2-Q7	3.84602481866591e-50	0.854809682550174	0.49	0.209	8.1101125351208e-46	Cxcl12+	
Id4	1.18215450205773e-49	1.06946306613088	0.347	0.085	2.49280919848914e-45	Cxcl12+	
Fhl2	1.61448927860268e-48	0.93413605816268	0.343	0.106	3.40447354178948e-44	Cxcl12+	
Csmd1	1.82065173918045e-48	0.767760627128545	0.253	0.036	3.83920832240982e-44	Cxcl12+	
Gpx3	2.03719858720203e-48	0.784985367850547	0.9	0.9	4.29584066083292e-44	Cxcl12+	
Tmem176a	4.1581583026467e-48	0.603051244027133	0.789	0.452	8.7683084127911e-44	Cxcl12+	
Gsr	1.36792300512866e-47	0.986368144147669	0.382	0.134	2.88453924091481e-43	Cxcl12+	
Tmsb4x	3.59858990596893e-47	0.621604020988095	0.957	0.99	7.58834653471669e-43	Cxcl12+	
Runx2	2.07191956644254e-46	0.762233417578265	0.243	0.043	4.36905678975739e-42	Cxcl12+	
Wdr86	2.70532028040781e-46	0.751608639139489	0.268	0.043	5.70470887529595e-42	Cxcl12+	
Ebf1	3.33609368272137e-45	0.726503653905611	0.748	0.692	7.03482074875454e-41	Cxcl12+	
Adgrf5	1.03954834239977e-44	0.736847906587326	0.226	0.013	2.19209558961839e-40	Cxcl12+	
St3gal6	1.10889207515797e-44	0.902316891590032	0.307	0.07	2.33832071888561e-40	Cxcl12+	
Pdgfrb	1.43322999955527e-44	0.953378400848939	0.533	0.387	3.0222521000622e-40	Cxcl12+	
B2m	1.56074653783926e-44	0.408041896062985	0.945	0.982	3.29114622434164e-40	Cxcl12+	
Igfbp5	3.86451627106716e-44	1.14074649010763	0.642	0.408	8.14910546079931e-40	Cxcl12+	
Tpm1	5.50124687562738e-42	1.01545620323649	0.632	0.55	1.16004792866355e-37	Cxcl12+	
Lmo7	1.47973231246269e-41	0.60678433286058	0.176	0.01	3.12031152729007e-37	Cxcl12+	
Ghr	7.04610923044294e-41	1.0599380878403	0.537	0.382	1.4858130534235e-36	Cxcl12+	
Rgs3	7.63002377591791e-41	1.28419274463189	0.407	0.186	1.60894311362781e-36	Cxcl12+	
Tnfrsf19	1.36619933056633e-40	0.666194050930772	0.206	0.032	2.88090452836521e-36	Cxcl12+	
Cst3	5.75800246257195e-40	0.481217826095732	0.924	0.977	1.21418997928255e-35	Cxcl12+	
Igsf3	8.46486422455173e-40	1.00277314373054	0.42	0.199	1.78498591903122e-35	Cxcl12+	
Vegfc	1.226810203634e-39	0.83367039136402	0.364	0.158	2.58697467640302e-35	Cxcl12+	
Epas1	1.27688624091659e-39	0.86707363807746	0.432	0.243	2.69257001622081e-35	Cxcl12+	
Cbln1	2.38715058310448e-39	0.641260084850706	0.154	0.0	5.03378443459243e-35	Cxcl12+	
Mycbp2	2.96770167750141e-39	0.927933108987538	0.552	0.45	6.25799252734723e-35	Cxcl12+	
Ltbp2	1.21058290800689e-37	0.854162907274001	0.293	0.097	2.55275617811413e-33	Cxcl12+	
Gja1	1.22045696900238e-37	0.914033295836436	0.523	0.33	2.57357761053532e-33	Cxcl12+	
Zeb2	2.65276573683121e-37	0.946596953720856	0.654	0.567	5.59388710925598e-33	Cxcl12+	
Marcksl1	2.67523943270802e-37	1.0702878393389	0.394	0.205	5.6412773917514e-33	Cxcl12+	
Notch3	2.25858225842032e-36	0.715093567023441	0.247	0.066	4.76267240833092e-32	Cxcl12+	
Jund	2.33151026992521e-36	0.934975075080259	0.832	0.88	4.9164557061913e-32	Cxcl12+	
Fos	9.90113331650019e-36	0.700369940092942	0.852	0.916	2.0878519824504e-31	Cxcl12+	
Lpl	2.40589369917879e-35	0.718257348978779	0.741	0.696	5.07330804345831e-31	Cxcl12+	
Ftl1	2.43440829913806e-35	0.578913350265359	0.975	0.995	5.13343678039243e-31	Cxcl12+	
Gm4951	5.34611142291859e-35	0.866020544428975	0.327	0.119	1.12733451575084e-30	Cxcl12+	
Shroom3	5.94587331481552e-35	0.586623616003195	0.231	0.059	1.25380630589515e-30	Cxcl12+	
Smagp	2.28910431267176e-34	0.513398334286157	0.162	0.01	4.82703426413094e-30	Cxcl12+	
Sorbs2	2.7060952114092e-34	0.638632821154839	0.215	0.035	5.70634297229857e-30	Cxcl12+	
Cdh2	8.04322853942252e-34	0.718286642175008	0.244	0.067	1.69607560210803e-29	Cxcl12+	
Cd1d1	1.39575480502844e-33	0.725733408313697	0.257	0.051	2.94322815736347e-29	Cxcl12+	
Rasgrp2	3.33046254806591e-33	0.633106230147698	0.307	0.127	7.02294637510659e-29	Cxcl12+	
Vcam1	1.4172656910815e-32	0.690627172817161	0.659	0.511	2.98858816278356e-28	Cxcl12+	
Podnl1	3.36006651475314e-32	0.493601212641879	0.136	0.005	7.08537225965994e-28	Cxcl12+	
Hba-a1	2.27720277819094e-31	3.62927030211268	0.133	0.014	4.80193749837124e-27	Cxcl12+	
Zfp36	4.36034494884434e-31	0.811535849613488	0.735	0.749	9.19465939362805e-27	Cxcl12+	
Serpina3f	5.79205229927408e-31	0.790202222740585	0.185	0.027	1.22137006834792e-26	Cxcl12+	
Lfng	1.11449977702127e-30	0.581640952982828	0.178	0.033	2.35014567980476e-26	Cxcl12+	
Eva1a	2.55152355867365e-30	0.465947550173695	0.139	0.011	5.38039772817513e-26	Cxcl12+	
S1pr1	5.02915184657252e-30	0.453744860132203	0.123	0.013	1.06049724988675e-25	Cxcl12+	
Slc5a3	1.36245158023924e-29	0.870595959946222	0.295	0.108	2.87300164725048e-25	Cxcl12+	
Timp4	1.74401466337632e-29	0.520301753984344	0.134	0.008	3.67760372066164e-25	Cxcl12+	
Mrap	1.80637887187758e-29	0.775724642958994	0.189	0.031	3.80911112712826e-25	Cxcl12+	
Plxna2	3.80014161096555e-29	0.715907324531324	0.221	0.071	8.01335861504306e-25	Cxcl12+	
Ptprd	6.06162596672978e-29	0.82806821055277	0.357	0.161	1.27821506760431e-24	Cxcl12+	
Apbb2	1.73007177641731e-28	0.761060799703959	0.346	0.187	3.64820235493119e-24	Cxcl12+	
Six1	3.20387766619527e-28	0.752300643875036	0.228	0.047	6.75601683470597e-24	Cxcl12+	
Hmgcll1	4.80465690667103e-28	0.360320144439787	0.102	0.003	1.01315800190972e-23	Cxcl12+	
Nudt4	5.09462711096151e-28	0.817742356273794	0.47	0.337	1.07430401888845e-23	Cxcl12+	
Ackr4	1.15488623346666e-27	0.665563717380369	0.248	0.079	2.43530860051114e-23	Cxcl12+	
