Gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	Unnamed: 7
Col15a1	1.46652761964619e-146	1.18233234023665	0.735	0.217	3.09246679154792e-142	Col15a1+	adj p value <= 0.05
Gsn	4.401315895131e-143	1.02870521240441	1.0	0.91	9.28105482806274e-139	Col15a1+	
Abca8a	2.4802063646736e-115	0.97092477793124	0.757	0.371	5.23001116118723e-111	Col15a1+	
Smoc2	1.55623575742706e-114	1.11104674407344	0.786	0.35	3.28163434168644e-110	Col15a1+	
Fbln2	3.31409926078552e-106	0.924869538111436	0.794	0.393	6.98844111121842e-102	Col15a1+	
Dcn	4.37553250625474e-104	0.676305698196639	0.999	0.841	9.22668539593938e-100	Col15a1+	
Lum	4.17529433564432e-102	0.836550153635335	0.938	0.566	8.80444316557317e-98	Col15a1+	
Entpd2	1.21314825544837e-94	0.796875709894437	0.818	0.432	2.55816572626399e-90	Col15a1+	
Sparcl1	9.19880595619759e-89	0.688479076238099	0.824	0.407	1.93975221198339e-84	Col15a1+	
Htra3	2.28668727961592e-86	0.832901179377651	0.895	0.558	4.8219374665261e-82	Col15a1+	
Cygb	1.46816334692276e-77	0.69793205457068	0.888	0.614	3.09591604965603e-73	Col15a1+	
Ccdc80	1.60882387114707e-73	0.675829621202323	0.877	0.599	3.39252689708783e-69	Col15a1+	
Penk	5.08546841397942e-73	0.987129726989525	0.5	0.153	1.07237272445584e-68	Col15a1+	
Crispld2	3.83231299088077e-70	0.845600826536085	0.679	0.332	8.08119840387029e-66	Col15a1+	
Dpep1	3.89633620547853e-64	0.767532491309875	0.865	0.553	8.21620415649257e-60	Col15a1+	
Anxa5	7.57098875878664e-63	0.442293820878183	0.941	0.826	1.59649439956534e-58	Col15a1+	
Col4a1	9.25622126183193e-62	0.769913369470337	0.821	0.593	1.9518593774825e-57	Col15a1+	
Lama2	1.7499246934127e-60	0.614235440018421	0.679	0.374	3.69006620099936e-56	Col15a1+	
Tcf4	5.60306756014982e-60	0.649678651348253	0.762	0.556	1.18151885640879e-55	Col15a1+	
Hspg2	1.55961391479478e-59	0.652929847478444	0.721	0.444	3.28875786212776e-55	Col15a1+	
Cfh	1.4868668002024e-57	0.983564324189293	0.691	0.47	3.13535602158679e-53	Col15a1+	
Ltbp4	1.92765022319672e-55	0.605876909519255	0.792	0.582	4.06483602565493e-51	Col15a1+	
Rhoj	1.83238147490704e-54	0.612815138290507	0.767	0.488	3.86394281613648e-50	Col15a1+	
Gas1	3.33573916628279e-53	0.732036454890326	0.732	0.431	7.03407317994051e-49	Col15a1+	
Col5a3	1.75622778907622e-52	0.754858614023002	0.548	0.254	3.70335753882502e-48	Col15a1+	
Scn7a	2.91322227974491e-52	0.518780138989765	0.631	0.353	6.14311182129808e-48	Col15a1+	
Abca8b	6.70438928574271e-51	0.566442816251803	0.353	0.094	1.41375456868457e-46	Col15a1+	
Nav1	9.85535355519142e-51	0.553959230857333	0.642	0.368	2.07819840418321e-46	Col15a1+	
Vwa1	1.8562674731136e-50	0.548376139604088	0.478	0.191	3.91431122055465e-46	Col15a1+	
Rnase4	7.22670082625526e-50	0.429524233783598	0.943	0.731	1.52389440323245e-45	Col15a1+	
Col4a4	1.67241249832911e-47	0.523785052824447	0.328	0.078	3.52661623522659e-43	Col15a1+	
Lamc1	4.58498277680082e-47	0.617652845051436	0.772	0.532	9.66835318143989e-43	Col15a1+	
Lrp1	8.24714801996273e-47	0.43939021850467	0.872	0.697	1.73907610296954e-42	Col15a1+	
Fbln1	6.02470538664344e-46	0.628351546002359	0.774	0.483	1.2704296248815e-41	Col15a1+	
S100a6	7.5462550073501e-46	0.43170897452185	0.995	0.894	1.59127879339992e-41	Col15a1+	
Medag	8.77833344460702e-45	0.513772125234198	0.619	0.337	1.85108717346428e-40	Col15a1+	
Bicc1	3.4528799275517e-43	0.486631667779621	0.714	0.477	7.28108790322827e-39	Col15a1+	
Rbp1	4.34844312910101e-43	0.471633252490542	0.772	0.514	9.1695620263353e-39	Col15a1+	
Fam198b	2.23242420329797e-42	0.386035806609104	0.456	0.207	4.70751291749444e-38	Col15a1+	
Nid1	4.67171327749029e-42	0.411831094474586	0.845	0.568	9.85124178824378e-38	Col15a1+	
Cd34	5.84046401036529e-41	0.400466528293876	0.868	0.494	1.23157864586573e-36	Col15a1+	
Serpinf1	8.50999217066924e-41	0.505207603759545	0.932	0.621	1.79450204902902e-36	Col15a1+	
Col4a2	1.76733451809653e-40	0.538715224135498	0.674	0.462	3.72677829831014e-36	Col15a1+	
Nfia	1.22923247706025e-39	0.411010413355264	0.771	0.576	2.59208252437694e-35	Col15a1+	
Zbtb20	4.86463101847585e-39	0.401325120678791	0.932	0.804	1.025804742866e-34	Col15a1+	
6030408B16Rik	6.50295278746566e-39	0.498742391122675	0.31	0.076	1.37127765429288e-34	Col15a1+	
Ifi205	1.55945635212311e-38	0.50342340206687	0.616	0.286	3.288425609722e-34	Col15a1+	
Cyb5a	2.52805188092602e-37	0.389065648525052	0.932	0.816	5.33090300130869e-33	Col15a1+	
Adamts5	2.90224943504448e-37	0.498308826155284	0.729	0.467	6.1199733836783e-33	Col15a1+	
Lsamp	3.91688692971935e-37	0.391235405295383	0.238	0.042	8.25953946869918e-33	Col15a1+	
Itm2b	4.63033996279919e-37	0.280314245867708	0.996	0.984	9.76399787955466e-33	Col15a1+	
Ndufa4l2	9.02835488624403e-37	0.360720789857492	0.344	0.114	1.90380919486228e-32	Col15a1+	
Cystm1	1.53521899812383e-36	0.312644830338986	0.238	0.057	3.23731630134372e-32	Col15a1+	
Tbx20	2.76347030998319e-36	0.412176487689789	0.25	0.063	5.82732984266155e-32	Col15a1+	
Col8a1	1.80997280850135e-35	0.456022958903629	0.366	0.124	3.81668966128679e-31	Col15a1+	
Ace	2.80771560867101e-35	0.400854028515249	0.583	0.303	5.92062990400456e-31	Col15a1+	
Celf2	4.44858537149989e-35	0.390421303795839	0.773	0.534	9.38073197288181e-31	Col15a1+	
Tpt1	1.38427452629594e-34	0.419253359444819	0.993	0.965	2.91901969360025e-30	Col15a1+	
Col3a1	6.34996143735e-34	0.459435345840129	0.986	0.844	1.33901636829399e-29	Col15a1+	
Lpl	1.08116267676065e-33	0.631186872982852	0.813	0.633	2.27984773648518e-29	Col15a1+	
Oaf	1.78616844088159e-33	0.430444665851805	0.645	0.427	3.76649339128701e-29	Col15a1+	
Vim	5.07358414395669e-33	0.321820641298584	0.98	0.936	1.06986668843615e-28	Col15a1+	
Ecm2	1.12101736718425e-32	0.433102978247391	0.547	0.288	2.36388932218144e-28	Col15a1+	
Lamb1	1.99554152930007e-32	0.470233568087671	0.613	0.422	4.20799842283505e-28	Col15a1+	
Naalad2	3.20905728969434e-32	0.391281964323628	0.372	0.168	6.76693910677845e-28	Col15a1+	
Mmp2	3.5747192289068e-32	0.350642171884368	0.857	0.614	7.53801043799577e-28	Col15a1+	
Myadm	4.79662207668117e-32	0.36581509016247	0.616	0.432	1.01146369730976e-27	Col15a1+	
Gm20594	6.02282996916448e-32	0.30551905428209	0.212	0.05	1.27003415559771e-27	Col15a1+	
Col6a2	1.97202124549563e-31	0.39596814775344	0.856	0.667	4.15840120037664e-27	Col15a1+	
Atp1a2	2.20794697451745e-31	0.321734053270709	0.478	0.247	4.65589778516495e-27	Col15a1+	
Sptbn1	4.14170712517789e-31	0.443620468139758	0.837	0.669	8.73361781486261e-27	Col15a1+	
Il17d	4.84411685618772e-31	0.36967310280202	0.314	0.096	1.02147892146431e-26	Col15a1+	
Tnxb	4.14936017351205e-30	0.306453318269187	0.793	0.512	8.74975579788486e-26	Col15a1+	
Abca9	8.51754130126869e-30	0.325717988258197	0.295	0.129	1.79609393419853e-25	Col15a1+	
Abca6	8.77147545037739e-30	0.368994470824104	0.293	0.111	1.84964102822108e-25	Col15a1+	
Jade1	9.93396886082565e-30	0.401809180069631	0.359	0.143	2.09477601368231e-25	Col15a1+	
Matn2	1.75332569604046e-29	0.420619601993866	0.49	0.266	3.69723789524051e-25	Col15a1+	
G0s2	1.78394496540758e-29	0.36799288947802	0.62	0.398	3.76180474855496e-25	Col15a1+	
Col6a1	1.94434525679577e-29	0.356018907241666	0.919	0.771	4.10004084300524e-25	Col15a1+	
Crip1	2.18430185971642e-29	0.362223051989726	0.961	0.836	4.60603733158401e-25	Col15a1+	
Pcsk6	2.74316388945522e-29	0.599806446553154	0.466	0.248	5.78450969369421e-25	Col15a1+	
Nmb	4.16348209932833e-29	0.509153566924915	0.22	0.054	8.77953470285365e-25	Col15a1+	
Nfib	4.57348036424447e-29	0.328537647992149	0.82	0.653	9.64409804408231e-25	Col15a1+	
Ogn	6.89089548350698e-29	0.402150279914414	0.898	0.602	1.45308313060712e-24	Col15a1+	
Fibin	8.21904582088052e-29	0.416093271012727	0.372	0.18	1.73315019224908e-24	Col15a1+	
Eps15	1.36347702235684e-28	0.331757666124006	0.378	0.197	2.87516399704386e-24	Col15a1+	
Igf1	9.14062232226765e-28	0.614927891329553	0.649	0.438	1.92748302909658e-23	Col15a1+	
Drap1	1.10517636117057e-27	0.332269572617906	0.7	0.55	2.33048539280039e-23	Col15a1+	
Cyth3	1.22656255533813e-27	0.370425590712429	0.466	0.251	2.58645246044151e-23	Col15a1+	
Spry1	1.32249443407801e-27	0.33800071503347	0.48	0.258	2.78874401314031e-23	Col15a1+	
Meg3	3.57403732040785e-27	0.315502017973124	0.747	0.454	7.53657249754403e-23	Col15a1+	
Tm4sf1	6.48098526535006e-27	0.403682615229411	0.512	0.284	1.36664536290437e-22	Col15a1+	
Mxra7	1.08788584714855e-25	0.349001200722722	0.601	0.412	2.29402488588215e-21	Col15a1+	
Podn	1.8621284087114e-25	0.380768058643373	0.395	0.197	3.92667017544972e-21	Col15a1+	
Fxyd5	6.63140069627381e-25	0.307546884020049	0.449	0.238	1.39836346482326e-20	Col15a1+	
Cyp27a1	2.42677497783341e-24	0.28513208606155	0.338	0.15	5.11734039575731e-20	Col15a1+	
Sdc2	2.8787567633584e-24	0.276633777893738	0.764	0.63	6.07043438689386e-20	Col15a1+	
Gpm6b	3.3273043826797e-24	0.433181352315738	0.641	0.475	7.01628675175667e-20	Col15a1+	
Rpl30	1.124109390763e-23	0.484064943069853	0.894	0.844	2.37040947230195e-19	Col15a1+	
Itgbl1	1.27072212364591e-23	0.458193756672126	0.364	0.153	2.67957174213214e-19	Col15a1+	
Sox9	1.98508009081243e-23	0.390043154409841	0.304	0.117	4.18593838749617e-19	Col15a1+	
Slc43a3	2.17858485525244e-23	0.311863075572244	0.778	0.62	4.59398188427083e-19	Col15a1+	
S100a10	2.38138440590652e-23	0.253768690471588	0.95	0.782	5.02162529673508e-19	Col15a1+	
Gsta3	3.30810425902554e-23	0.250960929829708	0.352	0.163	6.97579945100716e-19	Col15a1+	
Rpl27a	1.16320060940604e-22	0.345851309755037	0.91	0.896	2.45284112505453e-18	Col15a1+	
Igf2r	1.36121956327145e-22	0.322985961586186	0.391	0.219	2.87040369307051e-18	Col15a1+	
Cd9	1.51224614839984e-22	0.383405673703234	0.765	0.628	3.18887345313074e-18	Col15a1+	
Kcnt2	1.77918929115387e-22	0.263204775369756	0.196	0.051	3.75177645825617e-18	Col15a1+	
Zeb1	1.82591516712691e-22	0.383621692147369	0.475	0.28	3.85030731292052e-18	Col15a1+	
Vcan	1.98862551198765e-22	0.321843287639561	0.476	0.295	4.19341461712836e-18	Col15a1+	
Thsd7a	2.6355294665705e-22	0.34595669451569	0.348	0.17	5.55754098615722e-18	Col15a1+	
Heyl	2.6730369018802e-22	0.329594357304932	0.238	0.071	5.63663291499477e-18	Col15a1+	
Cped1	3.45217777762252e-22	0.303109348077723	0.462	0.286	7.27960727967261e-18	Col15a1+	
Pdgfrl	3.54428938921394e-22	0.310193514501058	0.33	0.153	7.47384303503545e-18	Col15a1+	
Rpl39	3.65492615495141e-22	0.291657662105438	0.923	0.912	7.70714278294604e-18	Col15a1+	
Col4a5	6.14801769113022e-22	0.261986823436443	0.283	0.135	1.29643249052863e-17	Col15a1+	
Klf9	1.38120424378292e-21	0.334178368740013	0.785	0.628	2.91254538886505e-17	Col15a1+	
Tmem64	1.62412687232907e-21	0.335921281645694	0.276	0.115	3.42479633568032e-17	Col15a1+	
Akap12	2.52137639930766e-21	0.328538048554805	0.555	0.365	5.31682641322007e-17	Col15a1+	
Pdlim2	3.17618785795013e-21	0.305209069417757	0.625	0.463	6.69762733605945e-17	Col15a1+	
Emp1	3.32268596120457e-21	0.286680736215511	0.722	0.49	7.00654788639207e-17	Col15a1+	
Akap13	4.09128805298807e-21	0.324071431637746	0.551	0.358	8.62729911733594e-17	Col15a1+	
Nfic	4.40356568432678e-21	0.280180364335514	0.632	0.505	9.28579895853987e-17	Col15a1+	
Nfix	5.08371988858191e-21	0.300252398860331	0.729	0.534	1.07200401290527e-16	Col15a1+	
Itpripl2	9.19948937043212e-21	0.266331560803297	0.398	0.253	1.93989632354302e-16	Col15a1+	
C7	1.10810906225404e-20	0.348940298295267	0.231	0.077	2.33666957957509e-16	Col15a1+	
Gfra1	1.89891000260824e-20	0.327298546927073	0.172	0.029	4.00423152249999e-16	Col15a1+	
Sept2	5.19444273568061e-20	0.324639385916889	0.462	0.241	1.09535213967297e-15	Col15a1+	
Kdelr3	5.86822757396137e-20	0.293104473472777	0.529	0.35	1.23743314852123e-15	Col15a1+	
Ybx3	1.08148308367301e-19	0.314093353753395	0.595	0.404	2.28052337854127e-15	Col15a1+	
Rps28	3.06189605705829e-19	0.305870854399989	0.908	0.875	6.45662021551883e-15	Col15a1+	
Sfxn1	6.42425707862826e-19	0.264961055333877	0.473	0.319	1.35468309017034e-14	Col15a1+	
Rps21	1.0615377004225e-18	0.384494533790903	0.927	0.911	2.23846454888092e-14	Col15a1+	
Ugp2	1.79627564383437e-18	0.288165153193687	0.583	0.436	3.78780645015354e-14	Col15a1+	
Mtch1	4.70482783470997e-18	0.349957285049982	0.711	0.56	9.9210704550529e-14	Col15a1+	
Itm2a	6.72244743810575e-18	0.435400806334317	0.583	0.347	1.41756249127336e-13	Col15a1+	
Arhgef40	9.61332394440505e-18	0.292481136613308	0.331	0.166	2.02716162015669e-13	Col15a1+	
Islr	1.73616822155106e-17	0.370203079763539	0.693	0.538	3.66105792878471e-13	Col15a1+	
Cp	3.26277655060939e-17	0.403766404723132	0.641	0.488	6.88021691227003e-13	Col15a1+	
Khdrbs3	4.01140345094459e-17	0.268465166415477	0.268	0.121	8.45884645700686e-13	Col15a1+	
Bmper	8.41068440484558e-17	0.357594292856025	0.255	0.095	1.77356102044979e-12	Col15a1+	
Meox1	8.66288183464069e-17	0.294200415913253	0.22	0.094	1.82674189247068e-12	Col15a1+	
Col6a6	9.74218741138295e-17	0.29825963776789	0.222	0.083	2.05433505943832e-12	Col15a1+	
Egr1	1.0424046458505e-16	0.275827193827394	0.923	0.846	2.19811867670496e-12	Col15a1+	
Tsc22d3	1.27893973522605e-16	0.346995542185003	0.575	0.403	2.69690021967117e-12	Col15a1+	
Fmo1	1.63904902951587e-16	0.257240432013707	0.285	0.139	3.45626268854011e-12	Col15a1+	
Sash1	2.03790607143949e-16	0.256893522126427	0.479	0.32	4.29733253284445e-12	Col15a1+	
Angptl1	2.12530233949147e-16	0.368376422127627	0.226	0.098	4.48162504328567e-12	Col15a1+	
Sat1	3.97247873806186e-16	0.363203479337751	0.829	0.705	8.37676591495104e-12	Col15a1+	
Vit	5.47231455626786e-16	0.313773405564617	0.264	0.122	1.1539469704802e-11	Col15a1+	
Rpl24	6.53004171405044e-16	0.281139645878688	0.87	0.839	1.37698989624182e-11	Col15a1+	
Txnip	1.19435719941467e-15	0.368504700554177	0.683	0.538	2.51854102640572e-11	Col15a1+	
Fkbp7	1.54569445241611e-15	0.250898834784392	0.703	0.561	3.25940589180985e-11	Col15a1+	
Rps10	2.94443318453979e-15	0.258450195469294	0.913	0.893	6.20892625623905e-11	Col15a1+	
F3	4.75150683633192e-15	0.358266353323997	0.412	0.225	1.00195024657731e-10	Col15a1+	
Ctgf	4.8305627703061e-15	0.451224617780102	0.332	0.184	1.01862077137445e-10	Col15a1+	
Pmepa1	5.68373027032507e-15	0.447478018508846	0.565	0.444	1.19852820210345e-10	Col15a1+	
Hspa1b	6.04292880498589e-15	0.659953702107755	0.435	0.299	1.27427239710737e-10	Col15a1+	
Col6a3	6.78079000563938e-15	0.377281352354778	0.733	0.554	1.42986518848918e-10	Col15a1+	
Rora	2.75361341734114e-14	0.265945960004967	0.544	0.383	5.80654461314727e-10	Col15a1+	
Jup	4.53954439282755e-14	0.251894909109898	0.346	0.199	9.57253726115545e-10	Col15a1+	
Lama4	5.46010703965562e-14	0.25978720121177	0.53	0.376	1.15137277145218e-09	Col15a1+	
Nsa2	5.6260875837221e-14	0.302288162245194	0.557	0.427	1.18637308877948e-09	Col15a1+	
Sec61g	6.0352993615654e-14	0.356195395679294	0.74	0.594	1.2726635763733e-09	Col15a1+	
Pcolce	1.42828701547428e-13	0.290516660633965	0.938	0.855	3.0118288295306e-09	Col15a1+	
Gdf10	1.71584098065144e-13	0.432760940043169	0.237	0.135	3.6181938758997e-09	Col15a1+	
Rps20	2.76061916374156e-13	0.269528457523782	0.92	0.913	5.82131763058182e-09	Col15a1+	
Mt1	3.97098274609409e-13	0.377393588091314	0.88	0.723	8.3736113166886e-09	Col15a1+	
Nrip1	7.48989937763117e-13	0.26336466713699	0.413	0.262	1.57939508176108e-08	Col15a1+	
Apbb1ip	1.10114898683783e-12	0.267424521429187	0.369	0.216	2.32199286854494e-08	Col15a1+	
Sept8	2.1626956527503e-12	0.267355563993444	0.419	0.264	4.56047632295456e-08	Col15a1+	
Hic1	2.65182847494107e-12	0.337581400016358	0.376	0.236	5.59191070510824e-08	Col15a1+	
Ssh2	4.44599503199702e-12	0.273553829908615	0.353	0.197	9.37526972397211e-08	Col15a1+	
Fabp4	1.19584479265676e-11	0.691807552461411	0.225	0.131	2.52167791427532e-07	Col15a1+	
Nrep	3.13837518874271e-11	0.292479547013832	0.237	0.125	6.61789176050176e-07	Col15a1+	
Myoc	5.38725725797605e-11	0.436698077750351	0.203	0.086	1.13601093798941e-06	Col15a1+	
Atf5	2.26472561574822e-10	0.266574429362593	0.564	0.429	4.77562690592826e-06	Col15a1+	
Srpx	6.67699008380552e-10	0.270509267709914	0.521	0.423	1.40797689897207e-05	Col15a1+	
Kcnq1ot1	1.42701671543961e-09	0.255969751454278	0.523	0.375	3.0091501478475e-05	Col15a1+	
Ifi203	1.78766664468162e-09	0.264665547367483	0.435	0.316	3.76965265364014e-05	Col15a1+	
Ctsh	1.00738981942582e-08	0.351683222914068	0.517	0.381	0.000212428291222323	Col15a1+	
Nop58	2.49058914789234e-08	0.318444720654557	0.447	0.314	0.000525190533616058	Col15a1+	
Sult1e1	3.92260453659393e-08	0.711677438296827	0.107	0.048	0.000827159618631562	Col15a1+	
Imp3	1.27933314687838e-07	0.488208019778639	0.463	0.397	0.00269772980682244	Col15a1+	
