>Log2FC2, padj<0.05	log2FoldChange	pvalue	padj
Nrep	2.656896003	1.26e-56	7.46e-53
Mmp27	3.259894707	1.17e-33	1.06e-30
Esr1	2.303891887	1.4e-32	1.15e-29
Il1r2	6.932023941	2.88e-28	1.39e-25
Srd5a1	2.180516153	6.08e-28	2.77e-25
Il18	2.622041264	1.63e-27	7e-25
Hoxc10	7.287898767	7.38e-25	2.73e-22
Spaar	2.678638159	7.02e-24	2.28e-21
Cldn15	2.599271112	1.8e-23	5.75e-21
Procr	2.113770508	2.95e-22	8.32e-20
Rorb	3.247278537	5.8e-22	1.62e-19
Il18r1	4.006832855	3.89e-21	9.7e-19
Cldn10	2.5478635	8.09e-21	1.95e-18
Adh7	3.787436907	2.38e-20	5.41e-18
Osr2	3.232626124	2.77e-20	6.25e-18
Wnt2	2.946482923	4.47e-18	7.92e-16
Tmem26	3.339985766	7.03e-18	1.22e-15
Igfbp5	2.111593821	3.87e-17	6.28e-15
Mmp3	2.876354141	1.32e-16	2.02e-14
Col5a3	2.129601988	1.8e-16	2.72e-14
Kcnk5	2.356913807	1.49e-15	1.96e-13
Pcdh20	4.54190429	1.71e-15	2.23e-13
Creb3l3	2.96285579	1.86e-15	2.4e-13
Apod	3.17223762	2.81e-13	2.82e-11
H2-Q10	2.728651597	1.61e-12	1.44e-10
Krt36	4.726206553	3.12e-12	2.66e-10
Adam23	2.317446644	6.02e-12	4.96e-10
Stmn4	2.131173651	1.19e-11	9.41e-10
Crispld1	3.066473669	1.72e-11	1.33e-09
Sfrp2	2.181071958	1.76e-11	1.35e-09
Bco2	3.28631706	2.16e-11	1.61e-09
Tbx15	4.92964656	3.25e-11	2.36e-09
Arsi	2.245305211	3.76e-11	2.7e-09
Prss12	2.086547989	3.78e-11	2.71e-09
Sbsn	2.31673477	9.66e-11	6.51e-09
Akr1c18	5.658918178	1.3e-10	8.67e-09
Exph5	3.415720164	1.43e-10	9.43e-09
Plin4	4.853012157	1.96e-10	1.26e-08
Akr1c14	3.051372063	2.04e-10	1.3e-08
Cd36	3.73597551	2.04e-10	1.3e-08
Gm45187	2.381117315	2.2e-10	1.39e-08
Amy1	2.932233873	2.26e-10	1.43e-08
Gpr1	3.294953115	2.28e-10	1.44e-08
