target	rank	gene	aggregate_count	neighbors
Cell_11249_MCI	1	Malat1	32958	100
Cell_11249_MCI	2	Mgp	13439	100
Cell_11249_MCI	3	Gsn	12331	100
Cell_11249_MCI	4	Fth1	7663	100
Cell_11249_MCI	5	Inmt	5637	100
Cell_11249_MCI	6	Cst3	4272	100
Cell_11249_MCI	7	Tmsb4x	3098	100
Cell_11249_MCI	8	Gpx3	3048	100
Cell_11249_MCI	9	Apoe	3041	100
Cell_11249_MCI	10	Ftl1	2986	100
Cell_11249_MCI	11	Igfbp7	2633	100
Cell_11249_MCI	12	Tmsb10	2544	100
Cell_11249_MCI	13	Mfap4	2400	100
Cell_11249_MCI	14	Fos	2386	100
Cell_11249_MCI	15	Junb	2177	100
Cell_11249_MCI	16	Bgn	1962	100
Cell_11249_MCI	17	Rpl13	1962	100
Cell_11249_MCI	18	Rpl41	1716	100
Cell_11249_MCI	19	Rps29	1687	100
Cell_11249_MCI	20	Itm2b	1662	100
Cell_11249_MCI	21	Rps19	1652	100
Cell_11249_MCI	22	Rpl18a	1636	100
Cell_11249_MCI	23	Sparc	1600	100
Cell_11249_MCI	24	Rpl10	1586	100
Cell_11249_MCI	25	Rpl13a	1586	100
Cell_11249_MCI	26	Rps23	1577	100
Cell_11249_MCI	27	Actb	1550	100
Cell_11249_MCI	28	Rps14	1547	100
Cell_11249_MCI	29	Cyr61	1528	100
Cell_11249_MCI	30	Rps4x	1507	100
Cell_11249_MCI	31	Ubb	1492	100
Cell_11249_MCI	32	Rpl37a	1443	100
Cell_11249_MCI	33	Rplp1	1413	100
Cell_11249_MCI	34	Jun	1384	100
Cell_11249_MCI	35	Ifitm3	1340	100
Cell_11249_MCI	36	Eef1a1	1335	100
Cell_11249_MCI	37	Rps16	1325	100
Cell_11249_MCI	38	Serping1	1304	100
Cell_11249_MCI	39	Rps8	1296	100
Cell_11249_MCI	40	B2m	1282	100
Cell_11249_MCI	41	Cd81	1239	100
Cell_11249_MCI	42	Dusp1	1220	100
Cell_11249_MCI	43	Eif1	1212	100
Cell_11249_MCI	44	Rpl37	1205	100
Cell_11249_MCI	45	Rpl35a	1204	100
Cell_11249_MCI	46	Rpl21	1185	100
Cell_11249_MCI	47	Rps5	1184	100
Cell_11249_MCI	48	Rpl14	1150	100
Cell_11249_MCI	49	Pcolce2	1149	100
Cell_11249_MCI	50	Rps27	1088	100
Cell_11249_MCI	51	Rps18	1085	100
Cell_11249_MCI	52	Rpl9	1081	100
Cell_11249_MCI	53	Rpl23a	1075	100
Cell_11249_MCI	54	Sod3	1069	100
Cell_11249_MCI	55	Lgals1	1065	100
Cell_11249_MCI	56	Id3	1059	100
Cell_11249_MCI	57	Rpl32	1052	100
Cell_11249_MCI	58	Fhl1	1044	100
Cell_11249_MCI	59	Rpl39	1038	100
Cell_11249_MCI	60	Ubc	1028	100
Cell_11249_MCI	61	Sparcl1	1025	100
Cell_11249_MCI	62	Btg2	1015	100
Cell_11249_MCI	63	Tpt1	1013	100
Cell_11249_MCI	64	Csrp1	1006	100
Cell_11249_MCI	65	H3f3b	993	100
Cell_11249_MCI	66	Rps9	976	100
Cell_11249_MCI	67	Rpl8	959	100
Cell_11249_MCI	68	Rpl17	957	100
Cell_11249_MCI	69	Rps24	948	100
Cell_11249_MCI	70	Rps27a	944	100
Cell_11249_MCI	71	Eln	938	100
Cell_11249_MCI	72	Rpl35	933	100
Cell_11249_MCI	73	Rps3	931	100
Cell_11249_MCI	74	Rps15	930	100
Cell_11249_MCI	75	Ifitm2	922	100
Cell_11249_MCI	76	Rpl27a	916	100
Cell_11249_MCI	77	Rps6	916	100
Cell_11249_MCI	78	Rplp0	901	100
Cell_11249_MCI	79	Rps28	900	100
Cell_11249_MCI	80	S100a6	897	100
Cell_11249_MCI	81	Rpl19	887	100
Cell_11249_MCI	82	Rpl23	887	100
Cell_11249_MCI	83	Cxcl14	869	100
Cell_11249_MCI	84	Timp3	869	100
Cell_11249_MCI	85	Fau	868	100
Cell_11249_MCI	86	G0s2	859	100
Cell_11249_MCI	87	Rpl36	855	100
Cell_11249_MCI	88	Limch1	854	100
Cell_11249_MCI	89	Gstm1	851	100
Cell_11249_MCI	90	Rpl24	843	100
Cell_11249_MCI	91	Rps2	842	100
Cell_11249_MCI	92	Rpl11	836	100
Cell_11249_MCI	93	Rpl3	836	100
Cell_11249_MCI	94	Tmem176b	831	100
Cell_11249_MCI	95	Rps15a	830	100
Cell_11249_MCI	96	Nbl1	824	100
Cell_11249_MCI	97	Rpl6	824	100
Cell_11249_MCI	98	Rplp2	821	100
Cell_11249_MCI	99	Ier2	818	100
Cell_11249_MCI	100	Rps11	800	100
Cell_10369_WXV	1	Malat1	20485	100
Cell_10369_WXV	2	Cxcl12	13662	100
Cell_10369_WXV	3	Fos	5520	100
Cell_10369_WXV	4	Ftl1	4737	100
Cell_10369_WXV	5	Igfbp4	4467	100
Cell_10369_WXV	6	Tmsb4x	4352	100
Cell_10369_WXV	7	Hp	3828	100
Cell_10369_WXV	8	Jun	3767	100
Cell_10369_WXV	9	Mt1	3501	100
Cell_10369_WXV	10	Jund	3361	100
Cell_10369_WXV	11	Fth1	3305	100
Cell_10369_WXV	12	Junb	3287	100
Cell_10369_WXV	13	Cxcl14	2757	100
Cell_10369_WXV	14	Mt2	2637	100
Cell_10369_WXV	15	Cst3	2451	100
Cell_10369_WXV	16	B2m	2176	100
Cell_10369_WXV	17	Igfbp7	2166	100
Cell_10369_WXV	18	Gpx3	2141	100
Cell_10369_WXV	19	H2-D1	1948	100
Cell_10369_WXV	20	Apoe	1926	100
Cell_10369_WXV	21	Serpine2	1926	100
Cell_10369_WXV	22	Klf2	1921	100
Cell_10369_WXV	23	Id3	1906	100
Cell_10369_WXV	24	Mgp	1831	100
Cell_10369_WXV	25	Socs3	1774	100
Cell_10369_WXV	26	Fosb	1728	100
Cell_10369_WXV	27	Zfp36	1714	100
Cell_10369_WXV	28	Gas6	1581	100
Cell_10369_WXV	29	Klf6	1571	100
Cell_10369_WXV	30	H3f3b	1440	100
Cell_10369_WXV	31	Ubb	1406	100
Cell_10369_WXV	32	Hspa8	1375	100
Cell_10369_WXV	33	Cyr61	1369	100
Cell_10369_WXV	34	Egr1	1287	100
Cell_10369_WXV	35	Actb	1265	100
Cell_10369_WXV	36	Ptma	1260	100
Cell_10369_WXV	37	Cebpb	1178	100
Cell_10369_WXV	38	Tmem176b	1154	100
Cell_10369_WXV	39	Bgn	1125	100
Cell_10369_WXV	40	Eif1	1123	100
Cell_10369_WXV	41	H2-K1	1103	100
Cell_10369_WXV	42	Igfbp5	1085	100
Cell_10369_WXV	43	Spp1	1063	100
Cell_10369_WXV	44	Tpt1	1058	100
Cell_10369_WXV	45	Ubc	1056	100
Cell_10369_WXV	46	Itm2b	1000	100
Cell_10369_WXV	47	Eef1a1	997	100
Cell_10369_WXV	48	Rpl41	992	100
Cell_10369_WXV	49	Trf	986	100
Cell_10369_WXV	50	Btg2	985	100
Cell_10369_WXV	51	Lpl	958	100
Cell_10369_WXV	52	Rpl13	953	100
Cell_10369_WXV	53	Dusp1	902	100
Cell_10369_WXV	54	Ifitm3	866	100
Cell_10369_WXV	55	Rpl37a	856	100
Cell_10369_WXV	56	Oaz1	849	100
Cell_10369_WXV	57	Rpl13a	814	100
Cell_10369_WXV	58	Rps23	782	100
Cell_10369_WXV	59	Neat1	781	100
Cell_10369_WXV	60	Sparc	776	100
Cell_10369_WXV	61	Zfp36l1	770	100
Cell_10369_WXV	62	Rpl39	760	100
Cell_10369_WXV	63	Nfkbia	735	100
Cell_10369_WXV	64	Esm1	733	100
Cell_10369_WXV	65	Tmem176a	722	100
Cell_10369_WXV	66	Rps14	717	100
Cell_10369_WXV	67	Dnajb1	711	100
Cell_10369_WXV	68	Serping1	710	100
Cell_10369_WXV	69	Serpinh1	693	100
Cell_10369_WXV	70	Vim	681	100
Cell_10369_WXV	71	Ier2	680	100
Cell_10369_WXV	72	Rps11	680	100
Cell_10369_WXV	73	Rplp1	677	100
Cell_10369_WXV	74	Tmsb10	670	100
Cell_10369_WXV	75	Rps8	664	100
Cell_10369_WXV	76	Actg1	629	100
Cell_10369_WXV	77	Rpl19	622	100
Cell_10369_WXV	78	Ppia	618	100
Cell_10369_WXV	79	Rps24	617	100
Cell_10369_WXV	80	Rps16	616	100
Cell_10369_WXV	81	Rps19	612	100
Cell_10369_WXV	82	Rpl35a	602	100
Cell_10369_WXV	83	Rps3a1	597	100
Cell_10369_WXV	84	Rps4x	595	100
Cell_10369_WXV	85	Rpl18a	588	100
Cell_10369_WXV	86	Btg1	580	100
Cell_10369_WXV	87	Rgcc	577	100
Cell_10369_WXV	88	Rpl27a	572	100
Cell_10369_WXV	89	Rpl32	564	100
Cell_10369_WXV	90	Rps27a	563	100
Cell_10369_WXV	91	Rbm39	562	100
Cell_10369_WXV	92	Rplp0	562	100
Cell_10369_WXV	93	Col1a2	541	100
Cell_10369_WXV	94	Ebf1	540	100
Cell_10369_WXV	95	Ier5	539	100
Cell_10369_WXV	96	Rpl26	538	100
Cell_10369_WXV	97	Rps18	538	100
Cell_10369_WXV	98	Rpl8	535	100
Cell_10369_WXV	99	S100a11	520	100
