Gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	Unnamed: 7
Ncam1	6.80264881943512e-227	1.6343077694668	0.775	0.073	1.43447455655428e-222	Fbln+	adj p value <= 0.05
Sfrp1	4.52810309299431e-214	2.09267322562078	0.912	0.371	9.5484109921971e-210	Fbln+	
Tgm2	2.31418889688172e-209	1.39555607004387	0.882	0.254	4.87993012685448e-205	Fbln+	
Bmp4	1.53243307212422e-205	1.35750221673119	0.892	0.245	3.23144161918834e-201	Fbln+	
Nkx2-3	1.28516167718249e-197	1.27361951466692	0.719	0.052	2.71002042867472e-193	Fbln+	
Spon2	6.33127259051937e-175	1.26364570048125	0.925	0.387	1.33507545116282e-170	Fbln+	
Fbln1	6.63924613328217e-171	1.35108747675564	0.945	0.574	1.40001783212521e-166	Fbln+	
Plac8	1.61896057122838e-167	1.02532573955624	0.956	0.416	3.41390215654928e-163	Fbln+	
Rps12	1.22643201670866e-146	0.902222442621393	0.984	0.573	2.58617719363354e-142	Fbln+	
Mfap4	5.09886757834655e-143	0.970087782995459	0.848	0.281	1.07519820624594e-138	Fbln+	
Tmem176a	5.19284742807597e-142	1.09589999383321	0.975	0.455	1.09501573715838e-137	Fbln+	
Hes1	1.12985059706099e-140	1.38399589509665	0.87	0.466	2.3825159540225e-136	Fbln+	
Pltp	1.06882584968087e-139	0.942232100416637	0.833	0.315	2.25383306922204e-135	Fbln+	
Ltbp4	2.4146368766465e-138	0.834250274465989	0.979	0.645	5.09174478178448e-134	Fbln+	
Fam198b	1.01808890490431e-133	0.939013269985084	0.779	0.277	2.14684407377173e-129	Fbln+	
Tmem176b	2.25853161723242e-131	1.02929092398836	0.987	0.521	4.762565621258e-127	Fbln+	
Fhl1	1.43069843311857e-129	0.720583633155193	0.916	0.467	3.01691378591713e-125	Fbln+	
Ifitm1	7.33403401880694e-129	0.765272938045266	0.891	0.303	1.54652775354582e-124	Fbln+	
Aldh1a3	5.96950696571265e-128	1.17260053408087	0.622	0.131	1.25878993385983e-123	Fbln+	
Matn2	2.06333954135428e-126	0.916629897950073	0.822	0.327	4.35096409085376e-122	Fbln+	
Lgmn	5.18477625802549e-126	0.887242480455805	0.82	0.352	1.09331376952983e-121	Fbln+	
Rpl10	3.35859509817775e-123	0.79605827824985	0.992	0.711	7.08226948352741e-119	Fbln+	
Gadd45b	4.80477977311129e-117	1.38773765443956	0.853	0.476	1.01318391075598e-112	Fbln+	
Fmo2	7.06358540149348e-117	1.06064035699385	0.823	0.326	1.48949825361293e-112	Fbln+	
Rgs5	5.33682170561796e-115	1.48734657111987	0.621	0.129	1.12537559306366e-110	Fbln+	
C1qtnf3	1.74544227617472e-114	1.0017480243848	0.475	0.044	3.68061412776963e-110	Fbln+	
Scube1	1.01613363715807e-111	0.816432100434906	0.459	0.016	2.14272100067523e-107	Fbln+	
Tcf21	3.2268933000674e-111	0.932282687082189	0.863	0.375	6.80454990185212e-107	Fbln+	
Dkk3	1.39258122170924e-110	0.699201280860425	0.688	0.173	2.93653602221828e-106	Fbln+	
Rpl17	5.26622652598559e-109	0.546195411009454	0.995	0.874	1.11048918753458e-104	Fbln+	
Ereg	9.74051499955741e-108	1.42563046537383	0.439	0.023	2.05398239795667e-103	Fbln+	
Foxf1	4.69193321987948e-106	0.621566826507755	0.486	0.065	9.89387958075986e-102	Fbln+	
Wfdc1	1.73975380962195e-105	0.67984972259541	0.565	0.111	3.66861885834981e-101	Fbln+	
Fau	8.10656092784775e-105	0.687289470118004	0.988	0.625	1.70943050285525e-100	Fbln+	
Lrat	3.13275873354021e-104	1.1586912821065	0.513	0.063	6.60604834141624e-100	Fbln+	
P2ry14	1.28106918072704e-103	0.830390388100838	0.583	0.096	2.70139058139911e-99	Fbln+	
Kcnk2	6.56628584607424e-103	1.02535568132802	0.554	0.12	1.38463269636167e-98	Fbln+	
Col18a1	7.33375204272113e-102	0.933799818820098	0.62	0.184	1.5464682932486e-97	Fbln+	
Icam1	1.5078878142089e-101	1.11467376009083	0.765	0.37	3.17968303382231e-97	Fbln+	
Rpl7	2.95478434439268e-101	0.478394928177758	0.994	0.906	6.23075374702084e-97	Fbln+	
Tnc	1.60213709858408e-100	0.904713859320017	0.57	0.106	3.37842649978424e-96	Fbln+	
Pid1	3.63091250026009e-99	0.841943249397001	0.767	0.33	7.65650518929844e-95	Fbln+	
Pcsk5	1.82473165958793e-98	0.857265071378053	0.635	0.189	3.84781165057307e-94	Fbln+	
Svep1	5.07439625174454e-96	0.870508086277614	0.806	0.392	1.07003793760537e-91	Fbln+	
Col6a5	9.6093873299424e-96	1.01828609598093	0.444	0.039	2.02633150626495e-91	Fbln+	
Fgfr2	2.40355583487152e-95	0.756698955812889	0.478	0.062	5.06837818899358e-91	Fbln+	
Col6a2	5.91868828465783e-95	0.624118363353042	0.963	0.727	1.2480737985858e-90	Fbln+	
Fzd1	2.43558432750653e-93	0.817349916210056	0.718	0.255	5.13591667141301e-89	Fbln+	
Rpl9	1.00693582278487e-92	0.645567955286127	0.989	0.74	2.12332556950645e-88	Fbln+	
Rps7	4.7650940769347e-92	0.508484277169798	0.991	0.846	1.00481538800322e-87	Fbln+	
Ptch1	8.45021472931182e-91	0.775531712846339	0.493	0.086	1.78189677996998e-86	Fbln+	
Cygb	4.4057515149368e-88	0.584544725893035	0.961	0.704	9.29040821954724e-84	Fbln+	
Lpar1	3.43246297213047e-86	0.713926034221311	0.864	0.549	7.23803466933152e-82	Fbln+	
