target	tissue	top50_mean_log1p	top50_weighted_log1p	top50_detected	top50_in_matrix	top100_mean_log1p	top100_weighted_log1p	top100_detected	top100_in_matrix	top250_mean_log1p	top250_weighted_log1p	top250_detected	top250_in_matrix
Cell_10369_WXV	Bone	0.23201302793295	0.227047510987249	5	46	0.150657639905415	0.167647643612374	7	94	0.198175178660937	0.195563521861952	21	241
Cell_10369_WXV	Adipose (inguinal)	0.109038089568541	0.107580514278688	3	48	0.164568804042433	0.145235069416286	7	91	0.179271650816066	0.15727477252276	9	103
Cell_10369_WXV	Lymph node	0.193366373105758	0.169635052262889	3	44	0.129003648202652	0.126867066605149	5	93	0.221660972915053	0.207521947981936	22	237
Cell_10369_WXV	Adipose (brown)	0.0811446247951934	0.0870825808528174	2	43	0.115029193390988	0.111262596567937	6	91	0.103640164342376	0.103634008134467	6	101
Cell_10369_WXV	Adipose (epididymal)	0.107615020468224	0.116592333642315	2	44	0.0830726965858783	0.0949517290255845	3	78	0.0830726965858783	0.0949517290255845	3	78
Cell_10369_WXV	Lung	0	0	0	45	0.0897587180665867	0.0733078307245342	4	94	0.120483269415142	0.104227455891095	12	234
Cell_10369_WXV	Omentum	0.0586586637858464	0.049897883420581	1	40	0.0613425059648167	0.0583795282214219	2	87	0.0624882008196548	0.0590594639593444	7	225
Cell_10369_WXV	Spleen	0.0545661988705548	0.0527527945358164	1	43	0.0269695005911937	0.0340554677135589	1	87	0.0266630289935665	0.0338387456424081	1	88
Cell_10369_WXV	Pancreas	0	0	0	44	0.0298833570638777	0.0222737839547382	1	91	0.0512691399725202	0.0331548470172485	3	175
Cell_10369_WXV	Liver	0.038769098513259	0.0297660938567947	1	45	0.0189631460119202	0.0184006989110784	1	92	0.0784914720743777	0.0542269617931298	8	235
Cell_10369_WXV	Mesentery	0	0	0	44	0.0276922132237565	0.0154165368848515	1	63	0.0276922132237565	0.0154165368848515	1	63
Cell_11249_MCI	Lung	0.3523670545466	0.320411027535287	6	45	0.390004088212693	0.365086153406639	12	94	0.353329261598225	0.347519084242677	29	234
Cell_11249_MCI	Adipose (epididymal)	0.168524097867093	0.168772254651541	3	44	0.124020345555273	0.134344175413206	4	78	0.124020345555273	0.134344175413206	4	78
Cell_11249_MCI	Omentum	0.128913341474821	0.106191061964903	2	40	0.0925809272508789	0.0871443259593054	3	87	0.0659116471657963	0.0698404673128858	6	225
Cell_11249_MCI	Mesentery	0.117193946795292	0.0878983021564012	2	44	0.0818497406189341	0.0735054263579436	2	63	0.0818497406189341	0.0735054263579436	2	63
Cell_11249_MCI	Lymph node	0	0	0	44	0.0485704655303062	0.0369741652231997	2	93	0.101976347572723	0.0879178769096141	9	237
Cell_11249_MCI	Spleen	0	0	0	43	0.0259600764041292	0.0204633032211849	1	87	0.0256650755359004	0.0203330789208175	1	88
Cell_11249_MCI	Adipose (inguinal)	0	0	0	48	0.024818974144607	0.0167600463440945	1	91	0.0219274431763033	0.0154286217128988	1	103
Cell_11249_MCI	Bone	0	0	0	46	0.0240268792250983	0.0157881288773111	1	94	0.0656003590461189	0.0458631355187012	7	241
Cell_11249_MCI	Adipose (brown)	0	0	0	43	0	0	0	91	0	0	0	101
Cell_11249_MCI	Liver	0	0	0	45	0	0	0	92	0.0551425976287805	0.0326312380154591	5	235
Cell_11249_MCI	Pancreas	0	0	0	44	0	0	0	91	0.0258117331103913	0.0107532279445949	2	175
