target	tissue	marker_genes_in_matrix	marker_genes_detected	mean_log1p_normalized	sum_normalized
Cell_10369_WXV	Bone	16	9	1.70670024995831	439.300897496457
Cell_10369_WXV	Muscle	13	5	1.07198912098085	132.262635805385
Cell_10369_WXV	Omentum	12	4	0.965792668443101	122.815304676429
Cell_10369_WXV	Adipose	14	5	0.952437246743848	127.538970240907
Cell_10369_WXV	Pancreas	12	4	0.767882094080293	47.2366556447803
Cell_10369_WXV	Artery	18	4	0.700356520353438	99.1969768540387
Cell_10369_WXV	Tendon	12	2	0.632139198432634	94.4733112895607
Cell_10369_WXV	Heart	14	3	0.533569692561918	42.5129900803023
Cell_10369_WXV	Liver	14	3	0.533569692561918	42.5129900803023
Cell_10369_WXV	Spleen	11	2	0.520487842070018	37.7893245158243
Cell_10369_WXV	Intestine	13	3	0.448889647509782	18.8946622579121
Cell_10369_WXV	Lung	14	2	0.376635660076863	37.7893245158243
Cell_10369_WXV	Skin	14	2	0.292211141752179	14.1709966934341
Cell_10369_WXV	Lymph node	11	0	0	0
Cell_10369_WXV	Mesentery	12	0	0	0
Cell_11249_MCI	Artery	18	9	1.93231004451698	685.518423307626
Cell_11249_MCI	Lung	14	7	1.56662744204572	342.759211653813
Cell_11249_MCI	Heart	14	8	1.50702789784693	257.06940874036
Cell_11249_MCI	Muscle	13	5	0.868664095061245	42.8449014567266
Cell_11249_MCI	Omentum	12	4	0.806132246109277	42.8449014567266
Cell_11249_MCI	Bone	16	5	0.705789577237261	42.8449014567266
Cell_11249_MCI	Adipose	14	4	0.690970496665094	42.8449014567266
Cell_11249_MCI	Skin	14	4	0.645293327759782	34.2759211653813
Cell_11249_MCI	Liver	14	4	0.645293327759782	34.2759211653813
Cell_11249_MCI	Lymph node	11	3	0.61596181286161	25.706940874036
Cell_11249_MCI	Spleen	11	3	0.61596181286161	25.706940874036
Cell_11249_MCI	Pancreas	12	3	0.564631661789809	25.706940874036
Cell_11249_MCI	Intestine	13	2	0.396656435307142	25.706940874036
Cell_11249_MCI	Tendon	12	2	0.376421107859873	17.1379605826907
Cell_11249_MCI	Mesentery	12	0	0	0
