target	state	top50_mean_log1p	top50_weighted_log1p	top50_detected	top50_in_matrix	top100_mean_log1p	top100_weighted_log1p	top100_detected	top100_in_matrix
Cell_10369_WXV	Cxcl12+	1.81109802971471	1.82541048900887	32	50	1.75351800330285	1.78198007664677	64	100
Cell_10369_WXV	Col15a1+	0.552398524343883	0.565822203790634	14	50	0.471872413542854	0.49997877111825	23	100
Cell_10369_WXV	Fbln+	0.52990576053231	0.561099098968414	12	50	0.509859175423514	0.543134483922825	23	100
Cell_10369_WXV	Comp+	0.603375724178722	0.516711170779867	12	50	0.697047244994268	0.610340176436472	29	100
Cell_10369_WXV	Coch+	0.525081839039826	0.472344593700925	10	50	0.50403799719293	0.467337643113696	18	100
Cell_10369_WXV	Hhip+	0.534049961242845	0.456911685922768	9	50	0.651495158840504	0.572855798851664	22	100
Cell_10369_WXV	Pi16+	0.480626201260015	0.429625305368464	11	50	0.404292756106867	0.390564072291261	18	100
Cell_10369_WXV	Ccl19+	0.508840483386043	0.428511803161182	8	50	0.434798715561117	0.407511409216101	15	100
Cell_10369_WXV	Bmp4+	0.245457359071831	0.244331358034678	6	50	0.230565340032845	0.232947637849087	11	100
Cell_10369_WXV	Npnt+	0.203638578627116	0.181149211892494	5	50	0.386493477406469	0.319525346507579	16	100
Cell_11249_MCI	Npnt+	1.50065081421076	1.74117836985046	25	50	1.0931714700964	1.35940900934816	38	100
Cell_11249_MCI	Col15a1+	0.621239590216684	0.682550540349236	11	50	0.62800727654749	0.671208170926019	23	100
Cell_11249_MCI	Fbln+	0.651288350579772	0.620229773597262	12	50	0.610650731079337	0.599482303588275	22	100
Cell_11249_MCI	Coch+	0.487261585383549	0.462275940956044	9	50	0.465370589324018	0.444985906063101	17	100
Cell_11249_MCI	Ccl19+	0.458725291397377	0.456789482480486	8	50	0.319703711585058	0.366974599170289	12	100
Cell_11249_MCI	Bmp4+	0.452641947921495	0.431566306018566	9	50	0.304340741798453	0.326792157008759	12	100
Cell_11249_MCI	Cxcl12+	0.271023197659108	0.294909900707181	6	50	0.458916118533135	0.412163342404568	19	100
Cell_11249_MCI	Hhip+	0.321433309976747	0.279259162446604	5	50	0.467583035657385	0.394892723571371	17	100
Cell_11249_MCI	Pi16+	0.259170208855268	0.262851404320729	5	50	0.210130511135899	0.229039566796486	8	100
Cell_11249_MCI	Comp+	0.107433634064663	0.0682469933486955	1	50	0.254308801337333	0.173632566199952	8	100
