Gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	Unnamed: 7
Inmt	8.55659793265661e-301	3.0413140693286	0.974	0.365	1.8043298060593e-296	Npnt+	adj p value <= 0.05
Limch1	4.38829909834743e-272	2.30482753055312	0.907	0.167	9.25360630868522e-268	Npnt+	
Npnt	7.54764760419114e-265	2.24234694936125	0.826	0.04	1.59157245029579e-260	Npnt+	
Macf1	5.11297466020781e-248	2.09246241865996	0.916	0.413	1.07817296659802e-243	Npnt+	
Mfap4	2.03938458844288e-247	2.42391118260979	0.936	0.26	4.3004502816495e-243	Npnt+	
Csrp1	7.9753121340872e-244	1.77472772612158	0.932	0.437	1.68175406971497e-239	Npnt+	
Gyg	9.02038469985602e-242	2.31611952112133	0.818	0.137	1.90212852165864e-237	Npnt+	
Fhl1	2.93652324326562e-238	2.04473612174259	0.933	0.455	6.19224656307422e-234	Npnt+	
Mettl7a1	6.00225174768117e-235	2.27748716758737	0.867	0.235	1.26569482603353e-230	Npnt+	
Mgp	7.23773985033524e-229	1.66640139728402	0.992	0.553	1.52622220224019e-224	Npnt+	
Cdo1	1.68475781048574e-225	2.33825887667591	0.763	0.034	3.55264879497129e-221	Npnt+	
Ppp1r14a	7.66791357670225e-218	1.8683757965199	0.84	0.215	1.6169329359192e-213	Npnt+	
Sept4	1.94796638567916e-213	1.66028851451793	0.886	0.293	4.10767671748164e-209	Npnt+	
Sod3	6.09668309955095e-211	1.49786419054838	0.927	0.626	1.28560756520231e-206	Npnt+	
Fmo2	9.48920021858534e-208	1.72210485225826	0.906	0.307	2.00098765009309e-203	Npnt+	
Lbh	1.43569530273628e-203	1.68012448053988	0.835	0.238	3.02745068487999e-199	Npnt+	
Pcolce2	1.00937899932535e-198	1.30759109669598	0.947	0.564	2.12847749587737e-194	Npnt+	
Itga8	1.31179750524939e-187	1.58722333236819	0.664	0.05	2.7661873993194e-183	Npnt+	
Hsd11b1	1.10975870790928e-181	1.68719224637897	0.877	0.392	2.34014818736829e-177	Npnt+	
Selenbp1	4.09790004770979e-181	1.64121997493988	0.856	0.406	8.64124183060564e-177	Npnt+	
Mamdc2	1.68837712052832e-175	1.50789041622038	0.657	0.054	3.56028083405807e-171	Npnt+	
Sparcl1	5.91699691546845e-175	1.17962388152251	0.952	0.532	1.24771713956483e-170	Npnt+	
Sftpc	2.16980222948683e-169	1.72983452809405	0.607	0.024	4.57546196131888e-165	Npnt+	
Cst3	1.28920826903253e-167	0.843070669732962	0.995	0.972	2.7185534769089e-163	Npnt+	
Col13a1	5.57300984279715e-157	1.41596599322255	0.572	0.013	1.17518058555063e-152	Npnt+	
1810010H24Rik	1.34298246003947e-147	1.49089627274439	0.591	0.053	2.83194711348523e-143	Npnt+	
