target	rank	neighbor_cell	matrix_column	cosine_sqrt_counts	total_counts	detected_genes
Cell_11249_MCI	1	Cell_11097_AHW	6898	0.599625739694157	8588	2771
Cell_11249_MCI	2	Cell_10403_RNX	6930	0.583343733713224	5274	1936
Cell_11249_MCI	3	Cell_11300_AEY	6899	0.582277813533616	5049	1904
Cell_11249_MCI	4	Cell_8929_GPZ	7169	0.580666285130509	3756	1350
Cell_11249_MCI	5	Cell_2893_CNQ	6782	0.579357004934854	5375	1930
Cell_11249_MCI	6	Cell_4708_HZF	6882	0.578738783944304	6718	2392
Cell_11249_MCI	7	Cell_10250_EHN	6890	0.578422899198047	6278	2146
Cell_11249_MCI	8	Cell_4877_RCG	6942	0.577735890618932	5718	2095
Cell_11249_MCI	9	Cell_631_CEI	6902	0.577042440463564	7177	2322
Cell_11249_MCI	10	Cell_9912_RDF	6713	0.576371115176186	3721	1509
Cell_11249_MCI	11	Cell_2690_IEC	6248	0.575690880179951	8410	2777
Cell_11249_MCI	12	Cell_8373_HSC	6339	0.575620638385899	7220	2578
Cell_11249_MCI	13	Cell_8991_NHI	6429	0.57488474734737	3802	1587
Cell_11249_MCI	14	Cell_6814_QEG	7128	0.574747060139689	5110	1935
Cell_11249_MCI	15	Cell_11310_XBO	6274	0.574548644462481	5176	2008
Cell_11249_MCI	16	Cell_3769_TBD	6361	0.574231320962874	8576	2963
Cell_11249_MCI	17	Cell_10397_RSK	6423	0.574207857374463	3100	1433
Cell_11249_MCI	18	Cell_5339_NZL	6446	0.57346098243972	4796	1869
Cell_11249_MCI	19	Cell_8144_GCX	6934	0.573411604920792	7193	2409
Cell_11249_MCI	20	Cell_2142_GBT	7077	0.572964645255027	9733	2882
Cell_11249_MCI	21	Cell_212_XYG	6425	0.572635088333029	4221	1649
Cell_11249_MCI	22	Cell_215_IZF	6479	0.571954172982144	9239	3042
Cell_11249_MCI	23	Cell_8349_CTV	6848	0.5718831049946	5669	2044
Cell_11249_MCI	24	Cell_4154_TPM	6504	0.571841590425875	7013	2399
Cell_11249_MCI	25	Cell_6005_YVW	7060	0.57180773995556	5481	1994
Cell_11249_MCI	26	Cell_8470_WCG	6917	0.57101127503829	4804	1815
Cell_11249_MCI	27	Cell_781_YZT	6885	0.570956151760854	9343	2899
Cell_11249_MCI	28	Cell_9306_OUB	6441	0.570756321923493	3877	1570
Cell_11249_MCI	29	Cell_6879_UEA	6612	0.570390214315171	3459	1474
Cell_11249_MCI	30	Cell_1340_ZBH	7136	0.570337887783698	7563	2617
Cell_11249_MCI	31	Cell_11265_XBW	6928	0.570292975657862	3910	1508
Cell_11249_MCI	32	Cell_1944_ZCQ	7032	0.570187293512307	6197	2034
Cell_11249_MCI	33	Cell_9737_ETV	6845	0.570159109638116	5634	2093
Cell_11249_MCI	34	Cell_2850_ZUH	7075	0.569958904166672	6182	2248
Cell_11249_MCI	35	Cell_1928_VZG	6400	0.569839119700532	2850	1238
Cell_11249_MCI	36	Cell_1751_WEP	6941	0.569489960908458	5740	2023
Cell_11249_MCI	37	Cell_2804_YTZ	6646	0.569429790248661	6451	2262
Cell_11249_MCI	38	Cell_9125_INJ	7065	0.569082371084429	4645	1790
Cell_11249_MCI	39	Cell_774_PBA	7126	0.568984552638103	3483	1340
Cell_11249_MCI	40	Cell_1527_HEL	6685	0.568872936803677	5166	1974
Cell_11249_MCI	41	Cell_10767_AQU	6883	0.568750058871289	5047	1965
Cell_11249_MCI	42	Cell_11006_WSY	6257	0.568473798401415	3108	1388
Cell_11249_MCI	43	Cell_2272_KMR	6919	0.568395790810264	4022	1547
Cell_11249_MCI	44	Cell_9687_LBV	6349	0.56820158975298	7852	2754
Cell_11249_MCI	45	Cell_10825_SIV	6859	0.568190237147423	5147	2107
Cell_11249_MCI	46	Cell_6741_DKG	7137	0.568119756093215	5445	2049
Cell_11249_MCI	47	Cell_5355_PGH	7051	0.567887446480626	3876	1485
Cell_11249_MCI	48	Cell_2355_HBS	6904	0.567645151144317	3909	1607
Cell_11249_MCI	49	Cell_5442_XPY	7146	0.567571369389714	3155	1345
Cell_11249_MCI	50	Cell_3492_SXK	6457	0.567385959716719	3940	1700
Cell_11249_MCI	51	Cell_7287_CXZ	6502	0.566464890005002	5251	2015
Cell_11249_MCI	52	Cell_2877_JXD	7024	0.566456229259466	4327	1633
Cell_11249_MCI	53	Cell_2367_SYQ	6903	0.565781191015639	3098	1329
Cell_11249_MCI	54	Cell_5680_MLH	6884	0.565745961186807	4967	1864
Cell_11249_MCI	55	Cell_2935_SKU	7132	0.565375392113304	5377	2096
Cell_11249_MCI	56	Cell_4044_BOG	7028	0.565175261442427	6139	2081
Cell_11249_MCI	57	Cell_6269_UKV	6604	0.565091225365043	4971	1955
Cell_11249_MCI	58	Cell_9568_PQB	6699	0.56494011116303	5563	2057
Cell_11249_MCI	59	Cell_9497_HMF	6242	0.564582584747231	3286	1424
Cell_11249_MCI	60	Cell_8764_FYM	7101	0.564416198688779	6133	2288
Cell_11249_MCI	61	Cell_3787_THO	6649	0.564052006960969	5819	2175
Cell_11249_MCI	62	Cell_5702_HBA	6282	0.563972072810583	6849	2445
Cell_11249_MCI	63	Cell_7208_FVH	6929	0.563830077917501	3236	1457
Cell_11249_MCI	64	Cell_1980_BHX	6691	0.563796361289775	4364	1854
Cell_11249_MCI	65	Cell_8746_LFV	6347	0.563765822151008	4021	1697
Cell_11249_MCI	66	Cell_1464_VNS	6806	0.563665572086773	7498	2545
Cell_11249_MCI	67	Cell_6605_YHR	6287	0.563615041371292	3079	1351
Cell_11249_MCI	68	Cell_6399_FOX	6830	0.563453315811572	2696	1192
Cell_11249_MCI	69	Cell_10600_SDB	6372	0.563338215925063	4554	1874
Cell_11249_MCI	70	Cell_4560_YUB	6714	0.563243225036178	4445	1738
