>Log2FC2, padj<0.05	log2FoldChange	pvalue	padj
Wt1	3.82177105929018	1.00174433472602e-34	2.10616746376147e-30
Hand2	3.9708351986201	3.99992179331613e-30	1.68196711408943e-26
Hand2os1	4.0699766817223	8.2691801374225e-23	1.4488292699109e-19
Ackr4	2.79104759647944	1.17715669615641e-22	1.90382457974527e-19
A730020M07Rik	2.50546555687937	1.45961726200608e-18	1.39492967880354e-15
Nkx2-3	7.58066285366991	4.4965071854877e-18	4.110394068473e-15
Wnt2b	2.58216296943806	5.97891060054652e-17	4.48952126344609e-14
Krt14	5.38092837459123	3.04846730552148e-16	1.88511838525262e-13
C1qtnf3	2.2700653209337	5.84920591828531e-16	3.51370155519853e-13
Enpp3	2.16462070518899	8.44065545439233e-16	4.92957724801663e-13
Vit	2.10376315640091	8.9597900711627e-16	5.0913401688161e-13
Insrr	2.27804304778668	2.24602277369117e-15	1.15177143455749e-12
Agr2	10.8389469697212	2.81178577712653e-14	1.28516947748012e-11
Sycn	11.1407606871366	1.63391621194499e-13	6.60636314541218e-11
Piezo2	2.29146420004272	4.55789373929272e-13	1.62423247234965e-10
Upk3b	3.70201280633442	1.04529482389745e-12	3.32989752612786e-10
Tcf21	3.67878433125499	1.81948246860469e-12	5.54414766701645e-10
Upk1b	3.59899894238936	5.3486588805404e-11	1.26354553891418e-08
Msln	4.51265127105623	5.60842648699183e-11	1.2957930427363e-08
Cpa1	9.35298342981117	7.01398657534677e-11	1.58568890050178e-08
5033428I22Rik	3.38776508267807	3.43755117321868e-10	6.57041031062934e-08
Mab21l2	6.92916759874467	6.21357964141825e-10	1.15611072531698e-07
Sntg1	2.39643152051069	2.31958094010911e-09	3.90153514126352e-07
Amy2a1	11.0100454197036	2.45015847531561e-09	4.08845888440561e-07
Cela1	4.73234415405348	3.69841601069949e-09	5.80292512126543e-07
Aldh1a2	2.59481005554074	5.38039949648734e-09	8.08020710097474e-07
Try4	8.55464819941944	1.12860423365791e-08	1.54083792289985e-06
Gabrb1	2.39008961440483	2.16958016843703e-08	2.81616503801833e-06
Zim1	2.10146566964023	4.73287282129596e-08	5.57881122468375e-06
Synpr	3.12062653634905	1.06342796695269e-07	1.11467316879636e-05
Ugt1a6b	2.91058614091876	1.07262631291254e-07	1.11643407074189e-05
Galnt6	5.8391850488274	1.22634025139383e-07	1.25164096046385e-05
Sms-ps	2.15149245762761	1.3640658595377e-07	1.38474902699956e-05
Amy2b	10.3232584103374	1.40303967849705e-07	1.411431064134e-05
4932438H23Rik	2.04549603576528	2.53946823577e-07	2.36249202022408e-05
Adamts19	2.87501622871929	3.6744200240524e-07	3.22158160571893e-05
Muc16	4.34662966549667	8.27265974612342e-07	6.49002504336735e-05
Gp2	10.0548777607147	9.50688621894469e-07	7.29497382311358e-05
Chst4	4.49355829495425	1.21173723384591e-06	9.03431749702491e-05
Cyp2s1	2.02595155638427	2.8146455889932e-06	0.000191514315561754
Iyd	3.05131130054944	5.50885422019148e-06	0.000343690385695922
Slpi	3.4348021716518	7.26950142292701e-06	0.000435445206316354
Try5	7.40107797470876	1.22072585082372e-05	0.000668379193061684
Lgals7	2.06097182403006	1.76373405883723e-05	0.000908885014388549
Klk1	4.84213943655541	2.03409247371283e-05	0.00100865080801444
Dmbt1	6.61234966531921	2.81297845589326e-05	0.00132607336401695
Cela3b	5.55012051481389	3.53648474221743e-05	0.00161640416750264
Gm15074	2.49135262105546	4.7246345712611e-05	0.0020651859014712
Hoxc8	2.25271029650788	7.39814443523784e-05	0.00296843486165793
Gm20388	11.1521608946249	8.52095397802489e-05	0.00330042838095259
Gria4	2.03864432137148	9.28714710004419e-05	0.00352458967109078
Shisa3	2.44218082144041	0.000115468156900956	0.00422211825885671
Krt18	2.56071260901325	0.000133679596009336	0.0046687931994955
Chodl	2.90508823083171	0.000168026348717771	0.00556559310251046
Cela2a	5.21606408366983	0.000200987184324437	0.00638331654142188
Zg16	4.47434452829164	0.000272228545215861	0.00803840091960471
Lmntd1	2.78151674824184	0.000282915168933458	0.00826151587059159
Amy2a4	4.28868222483136	0.000287470568332098	0.00837128628695618
Prss2	4.94598183319707	0.000512261217284056	0.0132475917507962
Pnlip	4.75550394990063	0.000513492980796354	0.01326313258138
Krtdap	2.54346097390335	0.000532523607986999	0.0136540351925935
Ttc9	2.06933636595329	0.000577151324652326	0.0144459602390656
P2ry14	2.02141642843553	0.00145887271920256	0.0288303454181967
Cel	4.67414896254304	0.00150606803185468	0.0295659013723107
Clps	4.38155618896606	0.00166022613114139	0.0315893705042966
Gpr165	2.00617048174375	0.00175110156899975	0.0329016179519389
Gpm6a	2.27872919154857	0.00217625724217433	0.0383857453999289
Scgb1a1	2.78108671570142	0.00240460706049132	0.0410031333713138
Ctrl	3.28832811373687	0.0024325785386093	0.0414129261330045
Rnase1	4.27885714618767	0.00260292913847462	0.0436068407461584
Gabra4	2.75376334209007	0.00303146320316003	0.0489152063288101
