Gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	Unnamed: 7
Anxa3	5.80145949078472e-260	1.96596169744353	0.954	0.298	1.22335376282177e-255	Pi16+	adj p value <= 0.05
Ly6c1	8.11741164414626e-257	1.77609876799792	0.964	0.276	1.71171859340112e-252	Pi16+	
Ly6a	9.60586933929326e-239	1.47190786208181	0.997	0.602	2.02558966757677e-234	Pi16+	
Cd248	7.5358351647433e-234	1.48663415465622	0.923	0.255	1.58908156118942e-229	Pi16+	
Pi16	4.14034461611466e-219	2.19397989162003	0.942	0.334	8.73074469200099e-215	Pi16+	
Igfbp6	1.88845502730782e-218	1.59399366043534	0.986	0.521	3.982185116084e-214	Pi16+	
Timp2	3.17097597881294e-217	1.13684205491038	0.996	0.839	6.68663704652285e-213	Pi16+	
Emilin2	1.73194334834972e-210	1.26446868628921	0.824	0.146	3.65214893866507e-206	Pi16+	
Dpp4	4.5337288738285e-208	1.46205232056841	0.738	0.052	9.56027407624217e-204	Pi16+	
Ackr3	7.14448776587241e-201	1.38462521841791	0.901	0.275	1.50655813518951e-196	Pi16+	
Lrrn4cl	1.23785551000664e-187	1.25285817059454	0.835	0.156	2.61026591395101e-183	Pi16+	
Sema3c	1.26608731370393e-186	1.3975764311474	0.794	0.143	2.66979831840747e-182	Pi16+	
Anxa1	3.04308232780208e-186	1.22094589267739	0.983	0.728	6.41694770463625e-182	Pi16+	
Clec3b	3.35162333122981e-185	1.09160940118251	0.999	0.746	7.06756811856431e-181	Pi16+	
Fn1	9.77123198030771e-185	1.25891136831263	0.97	0.513	2.06045968768749e-180	Pi16+	
Ugdh	3.62172663282703e-181	1.61938353883852	0.925	0.404	7.63713495064236e-177	Pi16+	
Efhd1	5.08271257747931e-179	1.17638698855125	0.68	0.066	1.07179160121306e-174	Pi16+	
Metrnl	5.09517716848065e-175	1.29079453355056	0.836	0.242	1.07442000951751e-170	Pi16+	
Fbn1	2.64452413697383e-174	1.14593758904926	0.96	0.571	5.57650804763672e-170	Pi16+	
Pla1a	3.3883832481582e-174	1.41404034641767	0.818	0.207	7.14508375539119e-170	Pi16+	
Scara5	2.77216188248929e-169	1.08882541680358	0.887	0.326	5.84565776160517e-165	Pi16+	
Fndc1	1.7276831214769e-167	1.13838243206965	0.855	0.29	3.64316539825834e-163	Pi16+	
Mfap5	7.11097948330041e-166	1.20168099881952	0.987	0.56	1.49949224364356e-161	Pi16+	
Gfpt2	5.98866700415917e-165	1.14088343172749	0.866	0.323	1.26283021116704e-160	Pi16+	
Smpd3	9.52252738866303e-165	1.57621820342403	0.617	0.038	2.00801535044737e-160	Pi16+	
Efemp1	1.02753204863135e-164	1.14432276131475	0.934	0.435	2.16675683094893e-160	Pi16+	
Adgrd1	5.17788453985711e-160	1.03528643967078	0.756	0.152	1.09186051291967e-155	Pi16+	
Dpt	1.94269984966701e-158	0.79270742857463	0.995	0.742	4.09657117299283e-154	Pi16+	
Axl	1.46244651263219e-152	0.963316694736836	0.942	0.534	3.0838609611875e-148	Pi16+	
Fstl1	1.93281592304876e-152	0.836531963822435	0.992	0.797	4.07572893693292e-148	Pi16+	
Serpinb6a	4.46673639827113e-150	0.864373828911497	0.954	0.683	9.41900704303432e-146	Pi16+	
Cd34	4.08089963687921e-147	0.888022782635945	0.973	0.548	8.60539306428719e-143	Pi16+	
Pcolce2	4.24096654821066e-144	0.926455992648216	0.976	0.495	8.94292616021181e-140	Pi16+	
Basp1	1.73981121409735e-139	1.07403348368722	0.664	0.136	3.66873990716708e-135	Pi16+	
Cadm3	2.65372547875122e-138	0.92535248873315	0.649	0.089	5.59591091704271e-134	Pi16+	
Klf4	3.30537535433671e-137	1.12561417320243	0.968	0.628	6.97004500968981e-133	Pi16+	
Tmem100	3.08433839630838e-131	1.03033297057636	0.744	0.179	6.50394437629548e-127	Pi16+	
Creb5	3.35807120527957e-130	1.02240008540517	0.766	0.234	7.08116475057303e-126	Pi16+	
Has1	1.20009272199462e-127	1.46356559796415	0.617	0.132	2.53063552287006e-123	Pi16+	
Prss23	9.74290829927892e-127	1.0389015936406	0.886	0.433	2.05448707306895e-122	Pi16+	
Osr2	9.31006596894675e-124	1.27280174989219	0.592	0.081	1.9632136108718e-119	Pi16+	
Cd55	1.01512914738769e-123	1.10041849430722	0.78	0.295	2.14060283309642e-119	Pi16+	
S100a10	1.72998268832037e-122	0.722589212258843	0.99	0.808	3.64801449486117e-118	Pi16+	
Nid1	1.2043980430237e-121	0.816476382346645	0.96	0.598	2.53971415332407e-117	Pi16+	
Tmeff2	6.44153848739927e-119	0.689506583822707	0.632	0.14	1.35832722083788e-114	Pi16+	
Marcks	5.25655039759727e-118	1.00916560376146	0.936	0.68	1.10844878234134e-113	Pi16+	
S100a13	5.79953437836896e-117	0.722751824356119	0.954	0.684	1.22294781436666e-112	Pi16+	
Sfrp4	8.02507554187946e-117	1.00020924205376	0.62	0.1	1.69224767951612e-112	Pi16+	
Il1r2	2.18428282992292e-114	1.50959969574104	0.58	0.099	4.60599720345845e-110	Pi16+	
Tnxb	1.51384176908112e-113	0.755417248043987	0.932	0.538	3.19223813846135e-109	Pi16+	
Ahnak	3.62935213573958e-112	0.715116076036606	0.975	0.759	7.65321484863405e-108	Pi16+	
Man1a	2.2677133766053e-111	0.835441898231174	0.824	0.394	4.7819271972476e-107	Pi16+	
Adamts5	7.62112210043658e-110	0.755307988974882	0.918	0.477	1.60706601731906e-105	Pi16+	
Opcml	3.19623775084732e-109	0.690119652054351	0.456	0.033	6.73990654521174e-105	Pi16+	
Flrt2	1.93686970882899e-107	0.931119240504262	0.584	0.132	4.08427715500769e-103	Pi16+	
Tgfbr2	1.7967245390486e-106	0.987446674837799	0.829	0.433	3.78875303549179e-102	Pi16+	
Akr1c18	2.22459797409569e-105	1.18155981333615	0.401	0.008	4.69100974797557e-101	Pi16+	
Meg3	3.46902240747869e-105	0.836674946952029	0.915	0.475	7.31512755065032e-101	Pi16+	
Uap1	1.04389256809278e-103	0.976656358657938	0.835	0.423	2.20125625833724e-99	Pi16+	
Ifi204	3.63568072853004e-103	0.769943684890362	0.733	0.266	7.66655995225129e-99	Pi16+	
Nova1	7.60156829681346e-103	0.699561761523566	0.513	0.083	1.60294270674905e-98	Pi16+	
Plat	2.24145246893597e-102	0.865994651989453	0.815	0.341	4.72655082124528e-98	Pi16+	
Errfi1	7.13627220638163e-101	0.929705830702971	0.857	0.514	1.50482572015969e-96	Pi16+	
Prrx1	2.1123291226627e-98	0.825054501261747	0.816	0.441	4.45426842095884e-94	Pi16+	
Cmah	5.58721742837362e-98	0.606998354461323	0.379	0.019	1.17817653912115e-93	Pi16+	
Ace	9.83904144745688e-98	0.726220107248395	0.783	0.313	2.07475867002523e-93	Pi16+	
Scara3	1.1634597988334e-96	0.744966917532893	0.707	0.232	2.4533876778e-92	Pi16+	
Thy1	1.81100959700758e-96	0.907892831386616	0.614	0.139	3.81887593720989e-92	Pi16+	
Car8	2.14572649816555e-96	0.679319865609885	0.421	0.03	4.5246934666817e-92	Pi16+	
Ddr2	1.60690881650548e-92	0.756451153661503	0.827	0.439	3.38848862136511e-88	Pi16+	
