Unnamed: 0	p_val	avg_logFC	pct.1	pct.2	p_val_adj
Anxa3	1.98447348893557e-224	1.60812965834241	0.954	0.479	4.18465924611844e-220
Ly6c1	2.15785874151775e-215	1.44133083439369	0.964	0.43	4.55027672823848e-211
Fn1	9.5281100121858e-199	1.482844625714	0.97	0.464	2.00919255826962e-194
Ly6a	2.29116207293805e-177	1.06735511572958	0.997	0.821	4.83137346320447e-173
Dpp4	9.69198839663636e-175	1.3322151900293	0.738	0.103	2.04374959319871e-170
Cd248	3.86083421161944e-172	1.13321229645978	0.923	0.427	8.14134110204191e-168
Igfbp6	6.21435460918986e-163	1.16895187235045	0.986	0.792	1.31042095643987e-158
Timp2	9.18774593143712e-163	0.799764032133929	0.996	0.951	1.93741998456214e-158
Sema3c	2.67618919665113e-162	1.26975600155524	0.794	0.212	5.64328015897824e-158
Anxa1	3.98961265888443e-158	0.967281111253429	0.983	0.856	8.4128962137896e-154
Pi16	1.09779994311383e-148	1.60039120377948	0.942	0.617	2.31493074004414e-144
Emilin2	1.48713384404826e-147	1.02943347044	0.824	0.281	3.13591913694456e-143
Efhd1	2.54605249857173e-143	1.04349039211919	0.68	0.133	5.3688609037382e-139
Metrnl	2.6531740343613e-141	1.07754573290398	0.836	0.357	5.59474808625768e-137
Pcolce2	1.19559393947027e-138	0.823177077532157	0.976	0.735	2.52114894016095e-134
Efemp1	1.89868769550587e-138	1.05689160406922	0.934	0.537	4.00376274351323e-134
Smpd3	6.25236705105592e-137	1.44459228729467	0.617	0.076	1.31843664005616e-132
Ugdh	1.92002652481137e-130	1.25339550069195	0.925	0.551	4.04875993286974e-126
Cadm3	1.04838124062411e-129	0.850975293163001	0.649	0.131	2.21072152210406e-125
Sfrp4	7.53786113247679e-127	1.07463511610769	0.62	0.098	1.58950877700538e-122
Fbn1	6.27115478347804e-126	0.866478471254479	0.96	0.754	1.32239840919201e-121
Ackr3	7.74531366598906e-126	0.968562666972426	0.901	0.486	1.63325429274711e-121
Lrrn4cl	1.19221435291766e-124	0.972451555854165	0.835	0.297	2.51402240599746e-120
Pla1a	1.49956631369703e-123	1.0699469869171	0.818	0.383	3.16213548569293e-119
Fndc1	1.91763944315477e-116	0.901113206388933	0.855	0.434	4.04372629378046e-112
Il1r2	3.23678355420949e-115	1.45421523812266	0.58	0.093	6.82540548076156e-111
Mustn1	1.58057551768654e-114	0.86720467255679	0.692	0.172	3.33295959414562e-110
Plac8	8.57962141711665e-114	1.35445183224258	0.754	0.25	1.80918476822739e-109
Tmem100	7.79058683067122e-113	0.909183781980718	0.744	0.245	1.64280104498364e-108
Basp1	2.85665498420166e-111	0.971289270923151	0.664	0.184	6.02382836518605e-107
Marcks	1.22825341990557e-110	0.918758968191411	0.936	0.725	2.59001798655488e-106
Scara3	7.82174504460624e-110	0.83371850483773	0.707	0.22	1.64937137755612e-105
Igfbp5	6.75066212925678e-107	1.59593483439826	0.744	0.257	1.42351212319638e-102
Scara5	1.05249777442807e-106	0.731627755167513	0.887	0.556	2.21940205693648e-102
Akr1c18	2.37357127945328e-105	1.16232109172911	0.401	0.016	5.00514975698313e-101
Clec3b	2.69283494813918e-105	0.636741656934171	0.999	0.958	5.67838105514109e-101
Adgrd1	9.3942474949708e-105	0.788219936433759	0.756	0.284	1.98096496926449e-100
Fstl1	2.00977037523964e-103	0.579179902643854	0.992	0.915	4.23800279026783e-99
Osr2	6.75563256791404e-102	1.10456139218107	0.592	0.133	1.42456023959603e-97
Axl	9.40232754098499e-101	0.679489566234367	0.942	0.703	1.9826688085675e-96
Procr	4.30168008813581e-96	1.1443970379303	0.612	0.14	9.07095280185197e-92
Opcml	4.66188651414396e-93	0.628911225333336	0.456	0.06	9.83052009237536e-89
Tgfbr2	7.31813600021593e-91	0.876032595972432	0.829	0.527	1.54317533836553e-86
Il18	8.23880797635232e-91	0.663394351224513	0.439	0.053	1.73731743797341e-86
Prrx1	3.99814914194494e-90	0.725080641023393	0.816	0.528	8.4308970956193e-86
Creb5	1.32268788699581e-89	0.804835346380352	0.766	0.373	2.78915194730806e-85
Serpinb6a	1.55040243864414e-89	0.582198580795689	0.954	0.827	3.2693336223689e-85
Mfap5	4.1197503439231e-89	0.793954870793803	0.987	0.871	8.68731755023063e-85
Car8	5.10571871084247e-87	0.668855073216862	0.421	0.041	1.07664290455535e-82
Cmah	8.58698949472868e-86	0.579948682499257	0.379	0.033	1.81073847475344e-81
Has1	1.25800954712937e-84	1.1246981496125	0.617	0.201	2.6527647320317e-80
Lurap1l	3.11824480267343e-83	0.676995018254537	0.467	0.079	6.57544281539745e-79
Prss23	1.47137417875245e-82	0.713367718768657	0.886	0.593	3.1026867307353e-78
Gfpt2	4.91181906243508e-82	0.768257722853558	0.866	0.518	1.03575528569569e-77
Tmem158	1.76605844067869e-79	0.861601015660427	0.561	0.143	3.72408743385915e-75
Dpt	2.77372025559574e-79	0.437591403296711	0.995	0.96	5.84894390297474e-75
Errfi1	8.4711606610629e-79	0.868207084175143	0.857	0.611	1.78631364859833e-74
Col14a1	4.21152143269246e-78	0.606078328980596	0.842	0.472	8.8808352451186e-74
S100a13	1.22082904932613e-76	0.521419907614187	0.954	0.81	2.57436221631402e-72
Gas7	4.29186812465896e-76	0.922077433097266	0.661	0.28	9.05026231446834e-72
Cd55	4.47315412576344e-76	0.830686190618004	0.78	0.453	9.43254010499737e-72
Man1a	3.39345546289755e-75	0.576442566147702	0.824	0.557	7.15577953461206e-71
Flrt2	1.61560976213844e-72	0.779465248736199	0.584	0.207	3.40683630542134e-68
Klf4	1.79866771095101e-72	0.722025293141667	0.968	0.824	3.79285060208239e-68
Gngt2	5.25185526677004e-72	0.610320762335576	0.492	0.114	1.1074587201038e-67
Wnt2	1.0966154609441e-71	0.623057303426348	0.359	0.033	2.31243302249283e-67
Vasn	3.49298122821501e-69	0.595753800384395	0.643	0.297	7.36564951593699e-65
C3	5.32013359482746e-69	0.492798240117739	0.974	0.791	1.12185657114127e-64
Sbsn	1.33678849816305e-68	1.21959877144287	0.415	0.071	2.81888590607642e-64
Chrdl1	7.79526451920695e-68	0.645271691929916	0.408	0.08	1.64378742916517e-63
Pamr1	8.50110776154593e-67	0.60651282952497	0.535	0.158	1.79262859367719e-62
Ptgs2	1.13385544393984e-66	0.917552418587246	0.53	0.167	2.39096097463593e-62
Mgll	1.38931886582345e-66	0.61728364889965	0.531	0.146	2.9296566923619e-62
Tmeff2	6.88734099262132e-66	0.471950213866779	0.632	0.238	1.45233359511406e-61
Cxcl13	1.00442596992736e-65	1.15505753946311	0.436	0.116	2.11803304278582e-61
Aldh1a3	2.73705205690092e-65	0.637511494990674	0.4	0.076	5.77162167238697e-61
Ifi27l2a	5.95949438176783e-63	0.488730074982642	0.951	0.737	1.25667858028338e-58
Nova1	8.54487585678674e-63	0.566465591182585	0.513	0.154	1.80185797192062e-58
Arhgap20	1.11756323771668e-62	0.485155946356245	0.518	0.179	2.35660559937315e-58
Galnt16	1.26893205118403e-62	0.443754583695206	0.453	0.136	2.67579701633176e-58
Ddr2	1.71828402250707e-62	0.582133323933863	0.827	0.566	3.62334551826065e-58
Plat	2.20939082831444e-62	0.652636720029646	0.815	0.497	4.65894243966666e-58
Ahnak	1.71115290492834e-60	0.429991230286964	0.975	0.892	3.6083081306224e-56
Fez1	1.80191645766077e-60	0.521728305369687	0.41	0.091	3.79970123426927e-56
Sfrp2	5.7583087882814e-60	0.812720581795218	0.54	0.196	1.2142545741849e-55
Dbn1	7.6558676750499e-59	0.584657380826306	0.647	0.3	1.61439281663777e-54
Zfp385a	1.01676982890846e-57	0.506484928714942	0.608	0.289	2.14406253821926e-53
Rpl32	1.11326146182609e-57	0.296737983949936	0.997	0.991	2.34753444455267e-53
Ptgs1	1.22444171689598e-57	0.471671748091189	0.267	0.03	2.58198024841856e-53
Slc4a4	6.66628562860284e-57	0.484305802500077	0.459	0.14	1.40571965050348e-52
Nov	7.16726960219293e-57	0.729963850328082	0.398	0.075	1.51136214101442e-52
Rplp0	9.37807509034452e-57	0.345537520067015	0.995	0.982	1.97755469430095e-52
Cd34	2.04420864105916e-56	0.406506471342432	0.973	0.868	4.31062276140144e-52
Il13ra1	4.29913178528048e-56	0.440246732474828	0.382	0.087	9.06557919562094e-52
Ackr1	1.12766937872884e-55	0.42776484135704	0.329	0.042	2.37791641892551e-51
Triobp	1.73762467149533e-55	0.49835668073312	0.598	0.27	3.66412914478221e-51
Samhd1	2.62462024247849e-55	0.571475538926786	0.53	0.201	5.53453670531439e-51
Aebp1	6.81029017541053e-55	0.481697473278947	0.937	0.795	1.43608588928882e-50
Chst1	7.69982666918083e-55	0.528277616105793	0.308	0.044	1.62366244973016e-50
Ppp1r14b	2.0672700833723e-54	0.524967027762874	0.784	0.492	4.35925242480717e-50
Rps12	3.19855265690739e-54	0.916682982174064	0.66	0.424	6.74478798762061e-50
Antxr1	5.72370299686894e-54	0.575448124528357	0.689	0.396	1.20695725094975e-49
Rplp2	6.44978726176779e-54	0.42201098876933	0.991	0.942	1.36006663988897e-49
Pde8a	9.78516867301033e-54	0.515456585743693	0.469	0.124	2.06339851807769e-49
Adamtsl1	1.18357443955298e-52	0.450817027055063	0.488	0.17	2.49580342068536e-48
Npr1	2.16701445725895e-52	0.413817513909008	0.441	0.141	4.56958338602194e-48
Zbp1	3.97150361620106e-52	0.403844242634044	0.317	0.069	8.37470967548317e-48
Uap1	6.61869670879655e-52	0.651527346210584	0.835	0.593	1.39568457498393e-47
Akr1c14	7.17096968010348e-52	0.527465837584208	0.254	0.032	1.51214237644342e-47
Aif1l	1.06657930391762e-51	0.418063052536025	0.276	0.028	2.24909577817109e-47
Maf	1.95801664252906e-51	0.479951563058135	0.533	0.213	4.12886969410103e-47
Bmp7	3.71953674491371e-51	0.367585944857773	0.213	0.008	7.84338713399954e-47
Limch1	6.16091308451547e-51	0.486924646842067	0.362	0.075	1.29915174213178e-46
Ebf1	8.93983430115753e-51	0.433672061574597	0.95	0.836	1.88514285908509e-46
Tek	2.25351531528699e-49	0.453442807780456	0.532	0.24	4.75198774534568e-45
Uqcc2	3.90742417875794e-49	0.538973051231734	0.847	0.588	8.23958536574686e-45
AW551984	4.23100036983744e-49	0.360813723418122	0.256	0.036	8.92191047987621e-45
Thy1	6.68105000505404e-49	0.633537436283956	0.614	0.25	1.40883301456574e-44
Rpl41	1.13727040172286e-48	0.353261128019287	0.999	0.994	2.398162096113e-44
Fyn	1.45593484688817e-48	0.497320773268113	0.692	0.388	3.07012981163308e-44
S100a16	2.15655125144455e-48	0.454011600031514	0.919	0.755	4.54751962392113e-44
Gpc3	7.37779055184592e-48	0.629232679177042	0.682	0.353	1.55575469366775e-43
Heg1	1.24901950792376e-47	0.476080421195838	0.783	0.527	2.63380743635883e-43
