>Log2FC2, padj<0.05	log2FoldChange	pvalue	padj
Gm23189	24.9009316841129	4.91834866624154e-68	5.82012789419693e-64
Adam23	4.9262290255415	2.20543520128215e-36	1.30490087271861e-32
Dhx58os	2.72773955465108	8.85266364157039e-30	2.99308557721495e-26
Pcdh20	8.48819537205041	3.50185516923829e-29	1.03598007862953e-25
Tmem26	5.08310618674241	7.99634872282022e-27	1.72045077475442e-23
Gm13301	4.11540048577564	5.8083773834043e-24	1.05743744256177e-20
Mthfd2	3.10238733228332	1.32113440653533e-22	2.08448586663144e-19
Trarg1	5.18386601766792	1.28145858994197e-21	1.78401649695039e-18
Gpnmb	2.89578752899105	2.6448988596168e-21	3.47760118391948e-18
C7	3.50454609828765	2.82926020660467e-21	3.52421585840593e-18
Gdf10	3.41117710610866	6.45081313509512e-21	7.63356972341481e-18
Col6a5	3.34910489433029	1.02953531142036e-20	1.10754600979026e-17
Dpt	4.09461144856853	2.02877866874704e-20	2.08761325014071e-17
Mroh2a	2.80047794646286	5.14049034449235e-20	5.06916604096251e-17
Itgbl1	3.49293736870004	1.07499568984143e-19	1.01767691965908e-16
Ifi207	3.71961851703841	1.14708810482124e-19	1.04415900680016e-16
Col6a6	3.0141911999791	1.58603735913923e-19	1.39024985847215e-16
Brinp3	9.84668031992133	1.20772557510418e-18	8.93226287062205e-16
Ms4a4d	4.4041838070896	1.36773627131121e-18	9.52065127444779e-16
Acss3	2.06080317139589	1.90358240202564e-18	1.25144679746502e-15
Ugt1a7c	2.24963693403167	2.90534881113692e-18	1.85840244089669e-15
Angpt4	4.27809685049114	1.40188645952491e-17	8.50729406091696e-15
Mmp2	2.3159430159451	3.37240164546784e-16	1.90034832722113e-13
Sgk1	2.14538643834165	5.69358279030637e-16	3.13372148600421e-13
Actn3	3.56317506164549	9.27676261178248e-16	4.77289436376209e-13
Aff2	3.78444158425425	9.58878361885775e-16	4.82846259377673e-13
Prcd	3.43084839755402	1.37363855276014e-15	6.63467420983148e-13
Prrx1	3.22970771682531	4.05155295175371e-15	1.80920950394632e-12
Mamdc2	2.12851063762832	8.77151903671585e-15	3.64202703582376e-12
Ccnj	22.7139689668779	1.01672274462666e-14	4.07843681306425e-12
Alpl	2.38470979744261	8.38836067076312e-14	2.98349724586322e-11
4930578G10Rik	3.28636520745664	1.12037053017574e-13	3.68275129689851e-11
Ebf1	2.88476607669754	1.17086174419964e-13	3.79599793150313e-11
Ggt5	2.39791666871552	1.19175325046506e-13	3.81151678091305e-11
Gm13305	3.61867207758073	1.54430152407244e-13	4.68576720131057e-11
Asphd2	3.34307781389501	1.57895615717812e-13	4.73027283189044e-11
Rpl14-ps1	5.41675946496356	1.80980969412537e-13	5.35409575385815e-11
Gm10052	22.5813615859843	1.87849152188336e-13	5.48867393190291e-11
Amot	2.41231158862477	2.91729065427256e-13	8.31849613429742e-11
Art3	2.51202313614334	3.58641099095911e-13	9.98583399094463e-11
Atp1a2	3.06887112500729	5.759289206148e-13	1.51450108491005e-10
Tll2	10.5498063410855	9.92844931035551e-13	2.52663021320628e-10
Fabp4	4.4687169764246	1.03452102504854e-12	2.60468181913019e-10
Serpina3c	2.82440861907322	1.56432588134615e-12	3.77784700345095e-10
