target	gene	count	normalized_per_10000	detected_in_all_cells	fraction_of_cells_detected
Cell_10369_WXV	Cxcl12	64	302.314596126594	7978	0.661635428760989
Cell_10369_WXV	Cxcl14	19	89.7496457250827	3561	0.295322607397578
Cell_10369_WXV	Egr1	14	66.1313179026925	10535	0.873693813236026
Cell_10369_WXV	Csf1	7	33.0656589513462	5934	0.49212141316968
Cell_10369_WXV	Gpx3	7	33.0656589513462	10816	0.896997843755183
Cell_10369_WXV	Igfbp7	7	33.0656589513462	11009	0.913003814894676
Cell_10369_WXV	Pappa	7	33.0656589513462	1120	0.0928843921048267
Cell_10369_WXV	Col1a1	6	28.3419933868682	10662	0.88422623984077
Cell_10369_WXV	Mgp	5	23.6183278223902	6983	0.579117598275004
Cell_10369_WXV	Kitl	4	18.8946622579121	2550	0.211477857024382
Cell_10369_WXV	Lepr	4	18.8946622579121	2338	0.193896168518826
Cell_10369_WXV	Lpl	4	18.8946622579121	8412	0.697628130701609
Cell_10369_WXV	Spp1	3	14.1709966934341	819	0.0679217117266545
Cell_10369_WXV	Adipoq	2	9.44733112895607	555	0.0460275335876596
Cell_10369_WXV	Bmp4	2	9.44733112895607	3271	0.271272184441864
Cell_10369_WXV	Col5a2	2	9.44733112895607	7674	0.636423950903964
Cell_10369_WXV	Fbln5	2	9.44733112895607	6747	0.55954552993863
Cell_10369_WXV	Fbn1	2	9.44733112895607	7800	0.646873445015757
Cell_10369_WXV	Pdgfrb	2	9.44733112895607	4799	0.397993033670592
Cell_10369_WXV	Vcam1	2	9.44733112895607	6243	0.517747553491458
Cell_10369_WXV	Cd81	1	4.72366556447803	10931	0.906535080444518
Cell_10369_WXV	Dpep1	1	4.72366556447803	8072	0.669431083098358
Cell_10369_WXV	G0s2	1	4.72366556447803	5759	0.477608226903301
Cell_10369_WXV	Grem1	1	4.72366556447803	1153	0.095621164372201
Cell_10369_WXV	Lum	1	4.72366556447803	8393	0.696052413335545
Cell_10369_WXV	Ogn	1	4.72366556447803	8543	0.708492287278156
Cell_10369_WXV	Rarres2	1	4.72366556447803	11314	0.938298225244651
Cell_10369_WXV	Runx2	1	4.72366556447803	715	0.0592967324597777
Cell_10369_WXV	Sfrp2	1	4.72366556447803	2754	0.228396085586333
Cell_10369_WXV	Acan	0	0	68	0.00563940952065019
Cell_10369_WXV	Acta2	0	0	2237	0.185519986730801
Cell_10369_WXV	Adamdec1	0	0	718	0.05954552993863
Cell_10369_WXV	Alpl	0	0	585	0.0485155083761818
Cell_10369_WXV	Bglap	0	0	45	0.00373196218278321
Cell_10369_WXV	Bmp2	0	0	1798	0.149112622325427
Cell_10369_WXV	C7	0	0	1623	0.134599436059048
Cell_10369_WXV	Ccl19	0	0	2376	0.197047603250954
Cell_10369_WXV	Ccl21a	0	0	1989	0.164952728479018
Cell_10369_WXV	Cd34	0	0	7601	0.63036987891856
Cell_10369_WXV	Chad	0	0	199	0.0165035660971969
Cell_10369_WXV	Cldn3	0	0	234	0.0194062033504727
Cell_10369_WXV	Cldn4	0	0	7	0.000580527450655167
Cell_10369_WXV	Clec3b	0	0	9506	0.788356277989716
Cell_10369_WXV	Cnn1	0	0	53	0.00439542212638912
Cell_10369_WXV	Col13a1	0	0	641	0.0531597279814231
Cell_10369_WXV	Col15a1	0	0	4774	0.395919721346824
Cell_10369_WXV	Col3a1	0	0	10776	0.893680544037154
Cell_10369_WXV	Corin	0	0	26	0.00215624481671919
Cell_10369_WXV	Cpe	0	0	1327	0.110051418145629
Cell_10369_WXV	Crabp1	0	0	74	0.00613700447835462
Cell_10369_WXV	Ctgf	0	0	2789	0.231298722839609
Cell_10369_WXV	Cxcl13	0	0	2737	0.22698623320617
Cell_10369_WXV	Cygb	0	0	8628	0.715541549178968
Cell_10369_WXV	Dcn	0	0	10757	0.89210482667109
Cell_10369_WXV	Des	0	0	2877	0.238596782219274
Cell_10369_WXV	Dkk3	0	0	2294	0.190247138828993
Cell_10369_WXV	Dpp4	0	0	2190	0.181622159562116
Cell_10369_WXV	Dpt	0	0	9498	0.78769281804611
Cell_10369_WXV	Eln	0	0	5853	0.48540388124067
Cell_10369_WXV	F3	0	0	3586	0.297395919721347
Cell_10369_WXV	Fap	0	0	2744	0.227566760656825
Cell_10369_WXV	Fbln1	0	0	6992	0.579863990711561
Cell_10369_WXV	Fgf10	0	0	890	0.0738099187261569
Cell_10369_WXV	Fgf18	0	0	1027	0.085171670260408
Cell_10369_WXV	Fgf7	0	0	2891	0.239757837120584
Cell_10369_WXV	Fmo2	0	0	4164	0.345330900646873
Cell_10369_WXV	Fmod	0	0	1406	0.116603085088738
Cell_10369_WXV	Foxl1	0	0	78	0.00646873445015757
Cell_10369_WXV	Gata6	0	0	2399	0.198955050588821
Cell_10369_WXV	Gfap	0	0	33	0.00273677226737436
Cell_10369_WXV	Gsn	0	0	11323	0.939044617681208
Cell_10369_WXV	Ibsp	0	0	441	0.0365732293912755
Cell_10369_WXV	Inmt	0	0	4957	0.411096367556809
