Unnamed: 0	p_val	avg_logFC	pct.1	pct.2	p_val_adj
Sparcl1	2.29534907452089e-178	1.54814899644918	0.824	0.289	4.8402025934422e-174
Bgn	3.91871286632519e-175	1.49599393983006	0.922	0.504	8.26338982121992e-171
Igfbp7	1.36446283365109e-165	1.40531195132449	0.948	0.772	2.87724277732006e-161
Mgp	1.56081574109017e-155	2.80327846801188	0.749	0.251	3.29129215323685e-151
Col15a1	1.26463633252725e-143	1.32185226016153	0.735	0.274	2.66673863440021e-139
Cst3	9.47453517908081e-132	1.22485710196397	0.983	0.97	1.99789523321277e-127
Crispld2	3.43510330379121e-130	1.42757250859045	0.679	0.213	7.24360233670451e-126
Cygb	3.79097033617366e-121	1.00604894209803	0.888	0.599	7.99401914788941e-117
G0s2	7.82084417153062e-105	1.45049265537227	0.62	0.222	1.64918141045066e-100
Rbp1	1.88916597302678e-104	1.11943354539004	0.772	0.438	3.98368428732157e-100
Smoc2	1.34035984320891e-96	1.24237085245679	0.786	0.531	2.82641680137463e-92
Anxa5	1.21048046281654e-90	0.596029829401157	0.941	0.866	2.55254015194124e-86
Cfh	2.23881026679116e-89	1.42222251249948	0.691	0.383	4.72097920958253e-85
Atp1a2	1.40285729360728e-83	0.798428195860203	0.478	0.102	2.95820517502967e-79
Cp	2.01209813203095e-78	1.04436227009293	0.641	0.279	4.24291133101367e-74
Gpm6b	2.11809063265577e-76	0.95824439744522	0.641	0.329	4.46641771708122e-72
Lum	8.63386750901939e-74	0.800823476105489	0.938	0.837	1.82062364162692e-69
Dcn	4.64063110339606e-72	0.44047766673059	0.999	1.0	9.78569880773127e-68
Spry1	4.50407653896235e-71	0.908602002435746	0.48	0.13	9.49774619770991e-67
Apoe	1.49376772668334e-69	1.72461569309625	0.776	0.536	3.14990800525716e-65
Abca8a	2.54415470175409e-69	0.775827732820132	0.757	0.556	5.36485901958885e-65
Ndufa4l2	2.96307285789858e-68	0.735995324118778	0.344	0.04	6.24823173545074e-64
Vwa1	4.36098032541354e-68	0.680878583683637	0.478	0.157	9.19599921219953e-64
Col4a1	6.42326211913183e-66	0.856077729420418	0.821	0.617	1.35447328306133e-61
Ltbp4	1.86575547391935e-65	0.799963742854137	0.792	0.575	3.93431856785373e-61
Col4a2	1.43842376010087e-64	0.800695499291073	0.674	0.437	3.0332041829247e-60
Gsn	5.33086122220381e-63	0.540544868476494	1.0	1.0	1.12411870592612e-58
Cd63	1.25096028099683e-62	0.469861051232449	0.978	0.961	2.63789994453801e-58
Hsd11b1	3.26877249151556e-61	0.956010398827351	0.572	0.294	6.89286055285887e-57
Gsta3	3.31024090488969e-61	0.762996124086807	0.352	0.065	6.9803049961409e-57
Ptma	1.3549437820652e-59	0.443871210668113	0.983	0.981	2.85716995324089e-55
Lhfp	4.24418557234091e-57	0.702082598081127	0.761	0.628	8.94971411639528e-53
Ppp1r14a	1.86007751506975e-56	0.540626925079559	0.285	0.04	3.92234545602758e-52
Tcf21	1.8833760450891e-56	0.780040533814401	0.527	0.183	3.97147506627939e-52
Enpp2	3.58159054512945e-56	0.714802359483933	0.482	0.202	7.55249998251446e-52
Col8a1	6.25209470490254e-56	0.901331041712126	0.366	0.079	1.3183792104228e-51
Rem1	4.06036466062052e-54	0.429053263496316	0.259	0.031	8.56209095985048e-50
Tmem204	3.7030023856619e-53	0.493557448009441	0.267	0.027	7.80852113064525e-49
Heyl	1.33536621496448e-52	0.4840751566013	0.238	0.015	2.8158867374956e-48
Matn2	2.3838826901432e-51	0.7175464850912	0.49	0.209	5.02689342870496e-47
Sec61g	8.45009514870994e-50	0.538762042511777	0.74	0.511	1.78187156400846e-45
Olfml3	1.40946186329936e-49	0.712996095774835	0.651	0.394	2.97213223113936e-45
Sept4	8.66847909407269e-49	0.462553983982801	0.238	0.02	1.82792218656711e-44
Fam198b	1.57559948553615e-48	0.541788676355018	0.456	0.211	3.32246663515009e-44
F2r	6.22550798176592e-48	0.443749098245284	0.254	0.039	1.31277286811498e-43
Ndrg2	7.76835556375338e-48	0.613937541459861	0.458	0.169	1.63811313772868e-43
Crip2	1.17277382779568e-47	0.572629305220159	0.726	0.482	2.47302817067275e-43
Mfap4	1.08679210147759e-46	1.32008611579579	0.345	0.097	2.29171850438579e-42
Fmo2	2.3759009908835e-46	0.937640806665672	0.461	0.189	5.01006241947604e-42
Tbx20	6.77575593022157e-46	0.494469292535896	0.25	0.037	1.42880365300582e-41
Nrp1	4.74568952102789e-43	0.638601705386607	0.567	0.345	1.00072354929915e-38
Meox1	7.67151576699073e-43	0.56103763139993	0.22	0.019	1.61769252978533e-38
Lpl	1.35762880085788e-42	0.886923312924518	0.813	0.75	2.86283185236901e-38
Ctgf	8.13335879536082e-42	1.15558280650637	0.332	0.086	1.71508136917774e-37
6030408B16Rik	1.65777287666904e-41	0.538961137966252	0.31	0.077	3.49574566503201e-37
Entpd2	1.5559853339278e-39	0.487433989750789	0.818	0.689	3.28110627365356e-35
Tcf4	6.76581713812098e-39	0.586349880069098	0.762	0.709	1.42670785991557e-34
Rpl27a	4.74979851507038e-38	0.399756453020996	0.91	0.878	1.00159001287289e-33
Atp5g2	5.25915372677961e-37	0.36783121732081	0.556	0.323	1.10899774636602e-32
D630003M21Rik	1.35526598762525e-36	0.264182224694337	0.152	0.009	2.85784938810536e-32
Lsamp	3.7684576506132e-36	0.411328203618869	0.238	0.044	7.94654664784806e-32
Plekha6	4.59156232503395e-36	0.413607959014981	0.274	0.063	9.6822274747991e-32
Nfib	6.50217404229088e-36	0.424798740885121	0.82	0.719	1.37111344029788e-31
Gm20594	2.20345152016518e-35	0.335317314310444	0.212	0.04	4.64641822057232e-31
Atp5l	2.33320010392891e-35	0.358109372829827	0.753	0.559	4.92001905915489e-31
Tsc22d3	2.75458693761664e-35	0.690776335898632	0.575	0.362	5.80859747535221e-31
Vcam1	8.08255426775849e-35	0.636135234935462	0.465	0.241	1.70436821844223e-30
