                                 Started job on |	Aug 12 12:42:33
                             Started mapping on |	Aug 12 13:07:53
                                    Finished on |	Aug 12 13:09:27
       Mapping speed, Million of reads per hour |	38.30

                          Number of input reads |	1000048
                      Average input read length |	107
                                    UNIQUE READS:
                   Uniquely mapped reads number |	877233
                        Uniquely mapped reads % |	87.72%
                          Average mapped length |	106.55
                       Number of splices: Total |	404440
            Number of splices: Annotated (sjdb) |	400293
                       Number of splices: GT/AG |	400546
                       Number of splices: GC/AG |	3125
                       Number of splices: AT/AC |	376
               Number of splices: Non-canonical |	393
                      Mismatch rate per base, % |	0.40%
                         Deletion rate per base |	0.01%
                        Deletion average length |	1.67
                        Insertion rate per base |	0.01%
                       Insertion average length |	1.29
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	107918
             % of reads mapped to multiple loci |	10.79%
        Number of reads mapped to too many loci |	247
             % of reads mapped to too many loci |	0.02%
                                  UNMAPPED READS:
  Number of reads unmapped: too many mismatches |	0
       % of reads unmapped: too many mismatches |	0.00%
            Number of reads unmapped: too short |	14592
                 % of reads unmapped: too short |	1.46%
                Number of reads unmapped: other |	58
                     % of reads unmapped: other |	0.01%
                                  CHIMERIC READS:
                       Number of chimeric reads |	0
                            % of chimeric reads |	0.00%
