                                 Started job on |	Aug 12 13:18:26
                             Started mapping on |	Aug 12 13:37:00
                                    Finished on |	Aug 12 13:37:59
       Mapping speed, Million of reads per hour |	60.99

                          Number of input reads |	999593
                      Average input read length |	107
                                    UNIQUE READS:
                   Uniquely mapped reads number |	877042
                        Uniquely mapped reads % |	87.74%
                          Average mapped length |	106.55
                       Number of splices: Total |	404574
            Number of splices: Annotated (sjdb) |	400397
                       Number of splices: GT/AG |	400834
                       Number of splices: GC/AG |	2988
                       Number of splices: AT/AC |	384
               Number of splices: Non-canonical |	368
                      Mismatch rate per base, % |	0.40%
                         Deletion rate per base |	0.01%
                        Deletion average length |	1.69
                        Insertion rate per base |	0.01%
                       Insertion average length |	1.30
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	107666
             % of reads mapped to multiple loci |	10.77%
        Number of reads mapped to too many loci |	243
             % of reads mapped to too many loci |	0.02%
                                  UNMAPPED READS:
  Number of reads unmapped: too many mismatches |	0
       % of reads unmapped: too many mismatches |	0.00%
            Number of reads unmapped: too short |	14578
                 % of reads unmapped: too short |	1.46%
                Number of reads unmapped: other |	64
                     % of reads unmapped: other |	0.01%
                                  CHIMERIC READS:
                       Number of chimeric reads |	0
                            % of chimeric reads |	0.00%
