donor_id	n_cells	mean_library	ifn_mean_lognorm	ifn_detect_fraction	inflammation_mean_lognorm	inflammation_detect_fraction	hla2_mean_lognorm	hla2_detect_fraction	plasmablast_mean_lognorm	plasmablast_detect_fraction	tcell_mean_lognorm	tcell_detect_fraction	nk_mean_lognorm	nk_detect_fraction	monocyte_mean_lognorm	monocyte_detect_fraction	bcell_mean_lognorm	bcell_detect_fraction	ifn_minus_hla2	inflammation_minus_tcell
donor1	11264	3388.060281	0.244121	0.144182	0.793648	0.333336	1.213835	0.462358	0.179981	0.111176	1.196809	0.476133	0.941094	0.328072	1.063331	0.410704	0.995265	0.371316	-0.969714	-0.403161
donor2	10595	3732.168570	0.269576	0.159899	1.494168	0.497961	1.035569	0.434963	0.175115	0.105562	0.744280	0.316501	0.485039	0.182614	2.037246	0.599843	0.949244	0.378103	-0.765993	0.749888
donor3	11327	4440.907125	1.086649	0.501418	1.699128	0.556370	1.323790	0.522607	0.166205	0.114934	0.765742	0.326683	0.598393	0.234396	2.211858	0.639666	1.113303	0.408228	-0.237141	0.933386
donor4	17134	5980.150344	0.408535	0.257139	1.484402	0.497531	0.994021	0.465941	0.277172	0.176541	0.753041	0.331884	0.832605	0.321454	1.916636	0.609363	0.997841	0.425480	-0.585485	0.731362
donor5	11067	3579.532303	0.262102	0.156851	0.820550	0.336333	0.957806	0.384089	0.194196	0.122565	0.999722	0.416012	0.850865	0.284287	1.166371	0.425243	0.947082	0.371555	-0.695704	-0.179172
donor6	6663	5183.155185	0.272103	0.169790	0.989945	0.364505	0.901311	0.395189	0.271837	0.163118	0.781949	0.372255	0.485056	0.201831	1.238488	0.440767	0.940891	0.392591	-0.629208	0.207996
donor7	8490	4637.311661	0.395045	0.230970	1.583075	0.492167	0.951336	0.439576	0.189368	0.128033	0.755011	0.334747	0.581789	0.236867	2.008077	0.584943	0.895745	0.378818	-0.556291	0.828064
donor8	7888	4591.425583	0.476124	0.263454	0.960080	0.376623	1.054020	0.439112	0.217798	0.139543	1.055077	0.446543	0.722898	0.273808	1.179435	0.433485	0.980333	0.389199	-0.577896	-0.094998
donor9	7837	4210.766237	0.213843	0.141389	1.378707	0.472234	0.767175	0.354290	0.178592	0.117611	0.741482	0.348326	0.443778	0.194156	1.838970	0.579899	0.838269	0.366020	-0.553332	0.637225
donor10	14101	5288.561166	0.294994	0.186826	0.965067	0.376619	1.107412	0.473948	0.267749	0.160759	0.974534	0.410207	1.028882	0.350911	1.201216	0.450086	1.032303	0.414368	-0.812418	-0.009467
donor11	5942	3604.033995	0.245401	0.153662	0.584820	0.277146	0.990970	0.429870	0.191858	0.125956	1.267046	0.515146	1.278642	0.428172	0.728319	0.343038	0.934532	0.378408	-0.745569	-0.682227
donor12	8704	3526.203240	0.277296	0.164443	0.680814	0.286983	0.909452	0.376346	0.152118	0.098756	1.088094	0.438457	1.131983	0.376585	0.872788	0.343539	0.893280	0.356445	-0.632155	-0.407280
donor13	5756	4436.467860	0.603790	0.310111	1.660418	0.516713	1.252827	0.512931	0.201414	0.120744	0.647033	0.273135	0.597500	0.235233	2.147818	0.613968	1.136191	0.429639	-0.649037	1.013385
donor14	15886	4564.619287	1.183259	0.551102	1.335745	0.467808	1.273974	0.542886	0.212171	0.141283	0.951782	0.379873	0.924663	0.351744	1.759446	0.548124	1.071622	0.415177	-0.090715	0.383963
donor15	5857	4466.915827	0.358410	0.214156	1.035990	0.390900	1.037027	0.420303	0.205926	0.124418	0.875517	0.404929	0.281003	0.135803	1.368769	0.475243	1.083179	0.419640	-0.678617	0.160473
donor16	6108	4884.970367	0.263936	0.179028	1.327963	0.487017	0.896782	0.397114	0.219571	0.148868	0.701906	0.328776	0.824436	0.292371	1.752892	0.589746	0.951075	0.394373	-0.632846	0.626057
donor17	8626	4147.650359	0.370629	0.227278	0.792548	0.366068	0.959317	0.396294	0.202630	0.138634	1.084421	0.477626	0.691818	0.255738	1.093269	0.471849	0.956276	0.381482	-0.588687	-0.291873
donor18	7557	4494.780468	0.954543	0.484667	1.164344	0.448405	0.980024	0.421823	0.203079	0.143859	1.100191	0.473887	0.465490	0.199921	1.570111	0.542565	0.963611	0.385845	-0.025481	0.064154
donor19	7523	4482.194204	0.465747	0.272282	1.010997	0.407005	0.814746	0.370882	0.222483	0.146085	1.089588	0.464066	0.547641	0.207284	1.295661	0.494262	0.904671	0.378927	-0.348999	-0.078591
donor20	5868	4711.841513	0.498224	0.266594	1.659898	0.538463	1.116416	0.483664	0.279169	0.165863	0.629342	0.290360	0.468555	0.202284	2.207229	0.657095	1.046096	0.412605	-0.618191	1.030556
donor21	9332	4180.398307	0.300140	0.188190	0.897390	0.377079	1.109216	0.463260	0.227427	0.157048	1.040870	0.443117	1.003417	0.358015	1.278844	0.482605	0.979289	0.386252	-0.809076	-0.143480
donor22	5492	4613.636016	0.436031	0.251423	0.969152	0.384505	1.263899	0.532645	0.303940	0.181953	1.059085	0.432993	1.044527	0.371814	1.212173	0.460093	1.069611	0.416636	-0.827868	-0.089933
donor23	5762	6722.432836	0.278988	0.201102	1.095027	0.427838	0.905470	0.440670	0.305615	0.201418	1.010620	0.450885	0.941942	0.360257	1.375007	0.498004	0.895972	0.395667	-0.626483	0.084407
donor24	7828	4285.456949	0.280994	0.182366	0.961156	0.417885	1.046572	0.450799	0.310212	0.212625	0.996297	0.429739	1.156987	0.403321	1.376315	0.553505	0.919657	0.379152	-0.765578	-0.035140
donor25	6916	4217.982071	0.323487	0.195127	1.393977	0.509153	1.161439	0.470131	0.295575	0.198980	0.829977	0.361746	0.850799	0.315240	1.858018	0.642833	1.060337	0.410570	-0.837952	0.564000
donor26	10801	4040.877511	0.835503	0.405744	1.297710	0.465651	1.050349	0.449945	0.312917	0.198553	0.943313	0.404608	0.839539	0.314619	1.681121	0.586751	1.012595	0.405965	-0.214846	0.354397
donor27	8364	3997.356767	0.265558	0.175439	1.160180	0.486155	1.379792	0.534262	0.379104	0.243544	1.039796	0.440698	1.019828	0.377547	1.743267	0.670134	1.053479	0.400566	-1.114234	0.120384
donor28	6157	4483.104109	0.367144	0.217334	1.979826	0.635001	1.208174	0.527854	0.349564	0.232070	0.540767	0.262465	0.504073	0.226474	2.726559	0.819149	1.104468	0.433274	-0.841030	1.439059
donor29	10745	4432.688506	0.283244	0.195044	0.871068	0.401601	0.894852	0.389218	0.233416	0.167374	1.016709	0.465798	0.787672	0.272704	1.249639	0.541678	0.880908	0.373957	-0.611608	-0.145641
donor30	5185	6190.769142	0.772189	0.404882	2.612397	0.756779	1.435557	0.656674	0.226722	0.184350	0.283362	0.152877	0.490562	0.249990	3.534385	0.899807	1.120397	0.456831	-0.663368	2.329035
donor31	5851	5505.115878	0.646057	0.357610	1.726890	0.567065	1.000764	0.464194	0.236353	0.152257	0.742761	0.342306	0.455053	0.221774	2.187883	0.669885	0.971219	0.410784	-0.354706	0.984129
donor32	7848	4164.261340	0.267709	0.180014	0.976163	0.417164	1.149422	0.441769	0.145941	0.100644	0.954913	0.426499	0.607195	0.238430	1.411630	0.549503	0.999149	0.387508	-0.881713	0.021250
donor33	5159	3997.532855	1.424804	0.638884	1.083122	0.426652	1.042614	0.432088	0.215162	0.135353	1.037866	0.429379	0.697106	0.263578	1.363988	0.514635	1.046871	0.404794	0.382190	0.045255
