donor_id	PC1	PC2	PC3	PC4	PC5	PC6
donor1	-22.384700	-7.124999	10.108115	-22.415148	7.916680	-7.415452
donor2	14.398518	2.346362	14.514727	-18.416143	1.084932	1.822331
donor3	22.128628	-21.580887	-1.574290	-21.989041	4.754019	4.840695
donor4	17.880014	7.222662	0.651417	5.736409	4.207302	-7.088206
donor5	-26.054329	-9.022850	3.499680	0.426812	-1.212132	-1.132376
donor6	3.958386	15.957738	5.321934	-2.836938	-13.822726	-13.736259
donor7	15.303703	4.724530	4.992342	-3.088425	-0.438140	3.609953
donor8	3.779260	9.598662	-2.263193	-7.679442	-0.652419	7.408577
donor9	8.273742	1.433106	12.426413	-1.610661	-8.982545	4.894303
donor10	1.290680	29.295379	-0.066311	-0.956078	6.377512	-5.027079
donor11	-37.479504	1.254862	1.358872	-2.277013	2.584435	-7.112488
donor12	-30.454202	-3.060426	1.096566	1.946773	3.332920	-2.339218
donor13	16.902585	2.734480	-3.818626	4.314667	6.494170	-0.184922
donor14	14.865010	-10.180447	-16.092211	3.187081	11.102234	-3.782971
donor15	10.956756	8.112596	-3.932884	-0.437174	-13.704731	-4.000705
donor16	4.857012	11.365297	2.236697	2.468348	0.840342	6.428692
donor17	-28.397620	-2.504238	-2.146099	2.794456	-6.089440	-1.124926
donor18	3.813774	-12.957957	-15.783438	0.099563	-8.469466	5.522258
donor19	-1.057889	10.475391	-7.612011	-0.104330	-9.831463	1.794274
donor20	15.589491	0.746533	3.015456	4.120116	-0.632991	1.592973
donor21	-22.630065	-7.008716	4.253485	5.790078	2.850421	1.281905
donor22	-1.500652	18.414740	-4.627882	3.469295	9.287491	-3.708743
donor23	6.956039	34.316098	1.775054	2.754272	6.599099	7.477576
donor24	-24.613017	-6.597366	0.574252	8.790816	3.513746	3.833024
donor25	-0.189371	-5.882285	4.361068	6.903373	3.091893	9.705655
donor26	7.255940	-0.721276	-17.382777	1.850042	2.444640	-5.714971
donor27	-18.492698	-10.650072	4.364013	7.940840	6.279309	3.069907
donor28	22.735916	-8.556077	9.790839	9.244768	1.250398	4.584027
donor29	-28.421007	-0.718499	-0.273426	1.379689	-7.776454	2.078085
donor30	39.246988	-26.817040	14.662080	13.072287	0.233829	-12.562578
donor31	24.825244	-2.393731	-1.072387	-0.437132	-5.154665	2.663204
donor32	-17.112820	-11.308523	4.388497	3.258717	-5.917275	3.252357
donor33	3.770187	-10.913046	-26.745970	-7.300875	-1.560926	-0.928901
