sample	raw_sample	experiment	file	md5sum
HG02571	HG02571	ENCSR400ISH	ENCFF030ITR	d709c0152e841bea79d68951b47df427
HG02588	HG02588	ENCSR189VFC	ENCFF025ITU	e592b054de8903cce5e2fb25f88b1c9e
HG02610	HG02610	ENCSR905PWV	ENCFF230HVR	7eed78f47dea039f1532eb0605286b18
HG02623	HG02623	ENCSR821JHD	ENCFF495DQP	2fa733308a2dac4cbfc09dba79c332ea
HG02642	HG02642	ENCSR821QHC	ENCFF705PBQ	4d4e6827add661e394804f575041cd34
HG02678	HG02678	ENCSR180HEL	ENCFF447ZRG	5cfd6787d8e02211b9cfcf0cdbb3d5a5
HG02759	HG02759	ENCSR144ZXR	ENCFF687QML	73e60d0446bdb995b38cf37274c7e7e7
HG02763	HG02763	ENCSR404OEO	ENCFF321SNO	9fa70b420130ca0150ec6e5d5d27b22e
HG02798	HG02798	ENCSR524CPZ	ENCFF960AXI	3c01ff80f2e0f57aa299fa95b4009119
HG02840	HG02840	ENCSR854ZBA	ENCFF720BLR	9f3be2a35c75c9b7b0f73290883b1591
HG02852	HG02852	ENCSR368FYV	ENCFF978QLZ	86d819db9206832fb54853581f63acd1
HG02870	HG02870	ENCSR420RVW	ENCFF358GWK	9199c0ad6ff68d19ad66bc5ed20db697
HG02884	HG02884	ENCSR604YEQ	ENCFF079OKV	e39262832afac99d3ae5e436abca0fb3
HG02885	HG02885	ENCSR621JYI	ENCFF056MAS	3d22fccf967596fd65bec080d5e43524
HG02938	HG02938	ENCSR920FQJ	ENCFF966ELR	05d62214e6c2826bcb065d8735b07485
HG02943	HG02943	ENCSR123WME	ENCFF657AXO	19221f02914085612ce2c6ca6d0b1fa0
HG02970	HG02970	ENCSR857MCZ	ENCFF320DVY	568d0f46cebc18002763434f95dc9969
HG02973	HG02973	ENCSR038WVV	ENCFF395ZMS	c30e23c0556d6a53c36e9ee72afc8e13
HG02981	HG02981	ENCSR208HAP	ENCFF710GAW	11dd81e1ad971b39d9bead2d86be4800
HG03025	HG03025	ENCSR673ZMQ	ENCFF715RQC	67916d292b0ec86235fc9eda8203ad8a
HG03039	HG03039	ENCSR381LJX	ENCFF231QTG	4ab8c94c74cc75174fc4826a7c5dd102
HG03045	HG03045	ENCSR249FXU	ENCFF216MFD	19dd00867a4f094440d7ae0eb8bdac01
HG03060	HG03060	ENCSR470ZNM	ENCFF207CZR	fad12a3e0c2779cb5b98c4ec2004978d
HG03064	HG03064	ENCSR487SOP	ENCFF270VDV	f093fac8cf42e5ec8bebf3b0c8383864
HG03066	HG03066	ENCSR040PBN	ENCFF479XDB	148718145964b98468627c22c656f18b
HG03095	HG03095	ENCSR359HFH	ENCFF801THG	18be33cb26c31a986cdf78c3f6959732
HG03097	HG03097	ENCSR608KJD	ENCFF919PWF	d2fe6e478d9c113bcf28e2582856974e
HG03103	HG03103	ENCSR833ACP	ENCFF925NDY	f5f8481c57b227902eb2a0f7b259bdf7
HG03108	HG03108	ENCSR962ITF	ENCFF948HNW	5722e2590036dfc5b07ca910f34340e6
HG03135	HG03135	ENCSR096VEO	ENCFF004CBW	03e0db2e066033c76df8641221fdcabe
HG03139	HG03139	ENCSR615YIL	ENCFF231YYD	fd3bce3af2537a89518fb233b56f9abb
HG03159	HG03159	ENCSR940YDN	ENCFF998WJT	4101503ea6aa5afed696babaf2730d16
HG03175	HG03175	ENCSR305XRF	ENCFF963YZH	cd8ab8907882ba9e76ec882c0bddf0bd
HG03196	HG03196	ENCSR063UNG	ENCFF767FGV	52c130df2cc232bd3ce921b6899f1485
HG03280	HG03280	ENCSR554WGQ	ENCFF588QWF	23d33fa23ebed1b3c5dd596a0b1934c4
HG03342	HG03342	ENCSR528YDD	ENCFF848NBQ	69ea343d3ed728e00efccd52c37afd6b
HG03354	HG03354	ENCSR025MEO	ENCFF132WNX	28512c5e00ee6f0de9bb0fb223bfa56b
HG03378	HG03378	ENCSR824DUE	ENCFF497QOS	46acb3a0393066804a51767793656192
HG03432	HG03432	ENCSR839UOB	ENCFF170VVQ	df4547a448cb6eed34c4f1ac0fa94dae
HG03439	HG03439	ENCSR376YMU	ENCFF326QXM	a794b3660f7991e0c22b360578f05520
HG03442	HG03442	ENCSR858GTE	ENCFF130DND	c5eac6ff59366054fe2a098e58363a44
HG03457	HG03457	ENCSR322SBN	ENCFF785NTV	0a34ba29d2489343677fd85e5ee62209
HG03460	HG03460	ENCSR345NVR	ENCFF110EWQ	19c4dfffff43350a9eaff3b644c93049
HG03469	HG03469	ENCSR163KRG	ENCFF430HQS	fc57381d00f1032666f6f1bf7a5863c7
HG03520	HG03520	ENCSR624CTU	ENCFF614WUU	63e4e5fd3df0e87be7b361692e83d64f
HG03521	HG03521	ENCSR594TMY	ENCFF129JFT	9a57304a9fff5865019af964b9ac9023
HG03558	HG03558	ENCSR278JWM	ENCFF842JIO	a91a9aebfab666b407aa886b1fb4a6a6
HG03565	HG03565	ENCSR835WBW	ENCFF220BRO	0bf13e85c128c921760766a6351535a6
HG03571	HG03571	ENCSR000RBT	ENCFF009NCL	d277ed4a324e8fd0b0dd71e8e1564fe4
HG03575	HG03575	ENCSR331JFZ	ENCFF632MBC	2e872db29e6e7891ab3826983e269f04
NA18498	GM18498	ENCSR924SDV	ENCFF935PGL	e6adf601f0f4b5d143e62d3fceba89dc
NA18499	GM18499	ENCSR700HPA	ENCFF617WPF	afe244ce86f8c504a3239d88ad687bbc
NA18502	GM18502	ENCSR241VGH	ENCFF854BZA	aa380634252dbacddda3c21ffd78f1e3
NA18505	GM18505	ENCSR084FHK	ENCFF204XQS	32950e9b2e0d0f218d71c5fd2a2fbd39
NA18508	GM18508	ENCSR357WQH	ENCFF932BSQ	91a668c8d93a5be0cca6ce8aab7e6647
NA18511	GM18511	ENCSR253QLW	ENCFF686SWP	24c07b77753deaac172a5582619dfc5e
