bin1	bin2	H1_raw	H1_distance_median	H1_OE	H1_donut_median	H1_local	HFF_raw	HFF_distance_median	HFF_OE	HFF_donut_median	HFF_local	joint_log2_H1_over_HFF
7710000	7800000	527	74	7.0805369	196	2.6844784	161	61.5	2.6048387	123	1.3076923	2.4802834
7710000	7790000	278	62	4.456	187	1.4853333	112	61	1.8292683	123	0.91093117	1.9898553
7640000	7710000	132	84	1.5680473	62	2.12	63	69.5	0.90714286	58.5	1.0762712	1.7675901
7720000	7790000	231	84	2.739645	188	1.2281167	98	69.5	1.4071429	130	0.75478927	1.663522
7640000	7700000	130	112	1.16	73.5	1.7635135	73	91	0.80327869	74	0.98657718	1.3681011
7670000	7700000	238	185.5	1.2822581	137	1.7345455	159	193	0.82428941	150	1.0598007	1.3482285
7710000	7780000	248	84	2.9408284	203.5	1.2181373	116	69.5	1.6642857	133.5	0.86940299	1.3078992
7720000	7780000	269	112	2.3955556	224.5	1.1977778	125	91	1.3715847	139	0.89964158	1.2174546
7670000	7750000	128	62	2.056	105	1.2180095	78	61	1.2764228	88	0.88700565	1.1452442
7630000	7670000	70	137	0.51272727	121	0.58024691	50	136	0.36996337	127.5	0.39453125	1.0273366
7700000	7800000	287	66	4.3233083	231	1.2419006	131	51	2.5533981	125	1.0478088	1.0048916
7730000	7750000	476	297	1.6016807	246	1.9330629	339	336	1.0089153	220	1.5396825	0.99503712
7670000	7710000	232	137	1.6909091	133	1.741573	151	136	1.1098901	112	1.3466667	0.97838044
7640000	7660000	481	297	1.6184874	109	4.3972603	385	336	1.1456166	120	3.1991701	0.95742899
7750000	7790000	227	137	1.6545455	224.5	1.0111111	161	136	1.1831502	219	0.7357631	0.94243003
7760000	7800000	207	137	1.5090909	334	0.62032885	143	136	1.0512821	303.5	0.47203947	0.91565564
7710000	7750000	246	137	1.7927273	188	1.3076923	164	136	1.2051282	154	1.0647249	0.86951177
7720000	7800000	275	62	4.408	211	1.3026005	154	61	2.5121951	123	1.2510121	0.86947456
7720000	7740000	450	297	1.5142857	229	1.962963	355	336	1.0564636	225	1.5764967	0.83570521
7750000	7800000	223	131	1.6996198	257	0.86796117	134	98.5	1.3585859	218	0.61556064	0.8188358
7670000	7780000	152	73.5	2.0608108	133	1.1423221	87	49.5	1.75	113	0.77092511	0.80316402
7640000	7750000	65	73.5	0.88513514	61	1.0650407	39	49.5	0.79	57	0.68695652	0.79666288
7690000	7750000	188	112	1.6755556	135.5	1.3860294	120	91	1.3169399	116.5	1.0299145	0.77588328
7620000	7640000	222	297	0.74789916	286.5	0.77526132	171	336	0.50965825	257	0.66601942	0.77243205
7650000	7700000	133	131	1.0152091	112	1.1866667	87	98.5	0.88383838	107	0.81395349	0.74381893
7630000	7750000	28	69	0.41007194	62	0.456	18	52	0.35238095	57	0.32173913	0.72188351
7750000	7770000	412	297	1.3865546	229	1.7973856	321	336	0.95542348	201	1.5955335	0.70915329
7640000	7690000	124	131	0.94676806	116.5	1.0641026	69	98.5	0.7020202	77	0.89677419	0.67831904
7630000	7690000	52	112	0.46666667	109	0.47945205	33	91	0.36612022	87	0.38285714	0.67465535
7690000	7790000	187	66	2.8195489	152	1.2295082	114	51	2.223301	116	0.98283262	0.6658248
7760000	7790000	251	185.5	1.3521505	277	0.90630631	201	193	1.0413437	270.5	0.74354244	0.66239315
7700000	7790000	167	74	2.2483221	200	0.83541147	94	61.5	1.5241935	118	0.79746835	0.62786233
7730000	7780000	211	131	1.608365	239	0.88308977	122	98.5	1.2373737	157.5	0.77531646	0.56608836
7660000	7700000	162	137	1.1818182	132	1.2264151	127	136	0.93406593	120	1.0580913	0.55239506
7720000	7750000	323	185.5	1.7392473	200	1.6134663	251	193	1.2997416	170	1.4750733	0.54961507
7630000	7710000	35	62	0.568	62	0.568	28	61	0.46341463	59	0.4789916	0.53947791
7760000	7780000	422	297	1.4201681	238	1.7714885	368	336	1.0950966	218	1.6864989	0.44593429
7740000	7780000	257	137	1.8727273	231	1.112311	182	136	1.3369963	155	1.1736334	0.40872366
7750000	7780000	371	185.5	1.9973118	211	1.7565012	271	193	1.4031008	143	1.8919861	0.40224404
7690000	7800000	280	73.5	3.7905405	183	1.5286104	160	49.5	3.21	117	1.3659574	0.40213846
7670000	7760000	99	74	1.3355705	106	0.9342723	76	61.5	1.233871	98	0.77664975	0.38084354
7670000	7770000	108	66	1.6315789	120	0.90041494	73	51	1.4271845	92	0.79459459	0.37346799
7740000	7790000	188	131	1.4334601	251	0.74950298	113	98.5	1.1464646	155	0.72990354	0.36053826
7710000	7740000	275	185.5	1.4811828	229	1.2004357	224	193	1.1602067	187	1.1973333	0.35610113
7680000	7770000	122	74	1.6442953	139	0.8781362	88	61.5	1.4274194	109.5	0.80454545	0.33033097
7710000	7770000	200	112	1.7822222	187.5	1.0664894	130	91	1.4262295	122.5	1.0609756	0.32894916
7710000	7730000	395	297	1.3294118	246	1.6044625	357	336	1.0624071	222	1.6067416	0.32140343
7680000	7710000	246	185.5	1.3252688	165	1.489426	218	193	1.129199	154	1.4142395	0.3057153
7620000	7690000	38	84	0.4556213	115	0.33333333	23	69.5	0.33571429	63	0.37007874	0.2897346
7630000	7740000	28	73.5	0.38513514	62	0.456	19	49.5	0.39	52	0.37142857	0.27783965
7700000	7780000	183	62	2.936	225	0.81374723	125	61	2.0406504	128	0.9766537	0.26155654
7730000	7770000	185	137	1.3490909	248	0.74647887	136	136	1	161	0.84520124	0.25279412
7730000	7800000	196	84	2.3254438	257	0.7631068	118	69.5	1.6928571	134	0.88104089	0.25072183
7710000	7760000	220	131	1.6768061	199.5	1.1025	147	98.5	1.489899	139	1.0573477	0.23083016
7640000	7760000	65	69	0.94244604	59.5	1.0916667	52	52	1	58	0.8974359	0.19713354
7730000	7790000	181	112	1.6133333	238	0.76100629	123	91	1.3497268	155	0.79421222	0.19576097
7660000	7710000	142	131	1.0836502	129.5	1.0961538	101	98.5	1.0252525	98.5	1.0252525	0.17639082
7740000	7800000	185	112	1.6488889	257	0.72038835	123	91	1.3497268	154	0.79935275	0.13876934
7640000	7670000	201	185.5	1.0833333	118	1.7004219	185	193	0.95865633	103	1.7922705	0.10049596
7700000	7760000	147	112	1.3111111	175.5	0.83806818	112	91	1.2295082	133.5	0.83955224	0.090156125
7680000	7700000	319	297	1.0739496	181	1.7603306	316	336	0.94056464	166	1.9009009	0.080490329
7620000	7780000	22	75	0.29801325	65	0.34351145	14	37	0.38666667	57	0.25217391	0.070225203
7720000	7760000	230	137	1.6763636	248	0.92756539	187	136	1.3736264	170	1.0997067	0.04174753
7650000	7760000	62	73.5	0.84459459	72.5	0.85616438	50	49.5	1.01	71.5	0.70138889	0.029648871
7680000	7760000	98	62	1.576	140	0.70106762	85	61	1.3902439	109	0.78082192	0.025489569
7630000	7800000	75	69.5	1.0785714	66	1.1353383	57	39.5	1.4375	67.5	0.84558824	0.01065486
7650000	7770000	69	69	1	76	0.90849673	57	52	1.0952381	69	0.82733813	0.0037597185
7660000	7790000	105	70.5	1.4859155	108	0.97235023	85	56	1.5132743	88	0.96610169	-0.017020492
7650000	7690000	124	137	0.90545455	142	0.87368421	105	136	0.77289377	101	1.0394089	-0.022207373
7650000	7740000	73	74	0.98657718	75	0.97350993	65	61.5	1.0564516	70	0.92907801	-0.03132691
7690000	7760000	136	84	1.6153846	153.5	0.88636364	112	69.5	1.6071429	120.5	0.92975207	-0.061567823
7680000	7780000	139	66	2.0977444	144	0.96539792	111	51	2.1650485	112	0.99111111	-0.083483576
7630000	7700000	29	84	0.34911243	85	0.34502924	27	69.5	0.39285714	84	0.32544379	-0.086002826
7670000	7720000	140	131	1.0684411	139	1.0071685	115	98.5	1.1666667	116.5	0.98717949	-0.097964404
7660000	7690000	181	185.5	0.97580645	201	0.90074442	166	193	0.86046512	151	1.0990099	-0.10553636
7650000	7750000	66	66	1	65.5	1.0075758	57	51	1.1165049	58.5	0.97457627	-0.11094821
7640000	7800000	231	75	3.0662252	59	3.8907563	185	37	4.9466667	70	2.6312057	-0.12566645
7740000	7760000	342	297	1.1512605	323	1.0587326	335	336	0.99702823	251	1.333996	-0.12590803
7620000	7660000	92	137	0.67272727	211.5	0.43632075	88	136	0.64835165	178	0.49579832	-0.13111904
7660000	7760000	86	66	1.3007519	89.5	0.96111111	76	51	1.4854369	82	0.92727273	-0.13983202
7740000	7770000	238	185.5	1.2822581	251	0.94831014	220	193	1.1395349	187	1.176	-0.14021564
7690000	7770000	130	62	2.088	160	0.81308411	116	61	1.8943089	115	1.008658	-0.17051052
7640000	7740000	60	66	0.90977444	62	0.968	51	51	1	51	1	-0.18334025
7660000	7750000	79	74	1.0671141	83.5	0.94642857	73	61.5	1.1854839	74.5	0.98	-0.20204972
7680000	7750000	112	84	1.3313609	125.5	0.89285714	99	69.5	1.4214286	102	0.97073171	-0.2150831
7650000	7730000	62	62	1	87	0.71428571	59	61	0.96747967	68	0.86861314	-0.23451577
7620000	7680000	42	112	0.37777778	115	0.36796537	36	91	0.3989071	88	0.41242938	-0.24309209
7700000	7720000	322	297	1.0840336	246	1.3083164	352	336	1.0475483	218	1.6132723	-0.25288572
7660000	7720000	121	112	1.08	129.5	0.93461538	99	91	1.0874317	88.5	1.1179775	-0.26833997
7680000	7730000	129	131	0.98479087	154	0.8381877	112	98.5	1.1363636	128	0.87548638	-0.26934665
7630000	7680000	59	131	0.45247148	124	0.47791165	52	98.5	0.53030303	105	0.49763033	-0.28732062
7620000	7700000	28	62	0.456	62	0.456	31	61	0.51219512	63	0.49606299	-0.2891492
7680000	7740000	117	112	1.0444444	136.5	0.85766423	106	91	1.1639344	112	0.94666667	-0.29871759
7640000	7720000	62	62	1	66	0.93984962	64	61	1.0487805	58	1.1025641	-0.29907344
7670000	7690000	300	297	1.010084	232	1.2924731	287	336	0.85438336	151	1.8976898	-0.31259002
7700000	7750000	153	131	1.1673004	168.5	0.90828402	136	98.5	1.3787879	142	0.95789474	-0.31694829
7670000	7790000	141	69	2.0359712	122	1.155102	117	52	2.2380952	88	1.3276836	-0.33744535
7650000	7710000	101	112	0.90222222	92.5	1.0913978	91	91	1	72.5	1.2534247	-0.34814345
7690000	7720000	232	185.5	1.25	232	1	222	193	1.1498708	159	1.3949843	-0.35979259
7670000	7740000	95	84	1.1301775	110	0.86425339	90	69.5	1.2928571	92	0.97837838	-0.37295164
7650000	7720000	85	84	1.0118343	84	1.0118343	84	69.5	1.2071429	76	1.1045752	-0.38114186
7620000	7670000	51	131	0.39163498	118	0.43459916	51	98.5	0.52020202	120	0.42738589	-0.38541628
7620000	7650000	96	185.5	0.5188172	341	0.28257687	103	193	0.53488372	285	0.36252189	-0.40342373
7680000	7790000	137	73.5	1.8581081	130	1.0536398	118	49.5	2.37	107	1.1023256	-0.4162212
