mirna	n_patient	n_control	mean_patient_ct	mean_control_ct	difference_patient_minus_control	statistic_t	df	p_raw	p_bonferroni	p_benjamini_yekutieli	significant_bonferroni	significant_benjamini_yekutieli
hsa-let-7a	10	10	28.4230071	29.3248133	-0.901806199999989	-1.98220052658135	18	0.0629353062479392	1	0.866739701599485	FALSE	FALSE
hsa-let-7b	10	10	25.226087	25.8286492	-0.602562200000001	-2.19819262702665	18	0.0412568915336698	1	0.695922985623134	FALSE	FALSE
hsa-let-7b*	10	10	31.5712409	33.0887771	-1.5175362	-1.75793241488318	18	0.0957513877108395	1	1	FALSE	FALSE
hsa-let-7c	10	10	30.5741933	31.3344097	-0.760216400000001	-1.88216989067515	18	0.0760828351300861	1	0.944319307263688	FALSE	FALSE
hsa-let-7d	10	10	29.4189537	30.7600169	-1.34106319999999	-2.8395541530967	18	0.0108732982040331	1	0.313546001113501	FALSE	FALSE
hsa-let-7d*	10	10	27.5208496	28.2039155	-0.683065899999999	-2.13272003331744	18	0.046971600131503	1	0.740391908314914	FALSE	FALSE
hsa-let-7e	10	10	30.5517024	31.4564101	-0.90470770000001	-3.04519983668124	18	0.00696498194721191	1	0.241456664879309	FALSE	FALSE
hsa-let-7f	10	10	28.0017577	28.8204381	-0.818680399999991	-1.75061992730109	18	0.0970360487566266	1	1	FALSE	FALSE
hsa-let-7g	10	10	26.3274871	27.4611531	-1.133666	-2.87285445594148	18	0.0101211535844482	1	0.308342419370721	FALSE	FALSE
hsa-let-7i	10	10	27.5503841	28.5401876	-0.989803500000001	-2.98986932119395	18	0.00785654504272926	1	0.263285869024038	FALSE	FALSE
hsa-let-7i*	10	10	31.9721099	32.7315408	-0.759430900000002	-1.63333208814011	18	0.119768327803213	1	1	FALSE	FALSE
hsa-miR-1	10	10	29.660688	31.0828352	-1.4221472	-1.12836253813433	18	0.273982358316895	1	1	FALSE	FALSE
hsa-miR-101	10	10	26.107469	26.8733568	-0.76588779999998	-1.66479711885744	18	0.11326297082962	1	1	FALSE	FALSE
hsa-miR-103	10	10	25.3196519	26.87829875	-1.55864685	-3.36902400208978	18	0.00341802892555665	0.598155061972413	0.171423297611199	FALSE	FALSE
