gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	unshrunkLog2FoldChange	passes_abs_lfc_gt_0_5_basemean_gt_10
AJAP1	11.152944651182548	1.3170743672161327	0.1922156890860144	7.283559994311292	3.251242366281381e-13	9.159074870051277e-11	1.370522758585762	True
AL021920.2	10.587081687233155	-0.6270614070970215	0.16008885362872174	-4.428597219418034	9.484796332380126e-06	0.000856398068844489	-0.702796718317339	True
EIF1AXP1	29.16381963008474	-0.6830425597889961	0.05124642078901683	-13.602037546404347	3.8943097473473766e-42	2.1941319978504587e-39	-0.6903915015451669	True
IFI6	293.69095090491237	-0.5063382395829746	0.09057174727215687	-6.001367331891322	1.9566277691359204e-09	4.3062625690881263e-07	-0.5354512804378192	True
IFI44L	600.1104933089025	-0.8658224471292933	0.093373234234538	-9.546661599346088	1.3394295290096284e-21	4.837572982273109e-19	-0.8857220814392169	True
F3	11.178731790022374	1.425089048269963	0.2806774102476158	1.8628390394213008	0.06248491563400313	0.35242210422093145	0.40577256174088294	True
AC245297.1	16.89804659578895	0.6509963078620588	0.13130013455675044	5.4362281333299505	5.442026983983244e-08	9.23538205818024e-06	0.6997337000039442	True
LAMB3	26.596727598888133	0.7210615101224042	0.15997533900159472	2.4261869863753116	0.01525840640349445	0.16237416821410486	0.35954701487674096	True
NRIR	24.61576964911965	-0.5616457052352245	0.09126852650814116	-6.524373970959067	6.828613903142111e-11	1.7023794890744815e-08	-0.5886127989168151	True
OTOF	33.740939393483174	-0.8105164527303385	0.18145820830577952	-0.7826127326653041	0.43385456217250595	0.7879136714132069	-0.12107054770607177	True
IL1R2	36.785987247134294	2.011097920664547	0.23808223184364183	3.5925005504636642	0.00032751996228185985	0.01376290255123728	0.755537490583195	True
IL1R1	47.10364657929804	1.2585087065458995	0.18676529873855288	2.981573611561358	0.0028677109544303307	0.05969449995806003	0.49059860749265305	True
IL1B	2202.2744761424665	0.5908312785503093	0.23858041998091223	0.07365766573239618	0.9412827850906704	0.9819077674251555	0.016061113985977035	True
CDCP1	15.187776392712745	0.9404962207165225	0.17509695680000673	3.358238100519982	0.0007844101435888669	0.02513949733224342	0.5519542505327572	True
PTX3	48.445315440625556	0.5334821088808522	0.17523352517791724	0.6824666853818735	0.4949439014604452	0.8231189467802608	0.11034622797983383	True
CXCL1	35.003423974132296	1.052056645078825	0.26254901157536215	2.297742424478037	0.021576453421501614	0.1984427911645844	0.550797085781889	True
CXCL3	80.41210132771728	1.1387714575748171	0.2766844150649262	1.8024537062675392	0.0714740519583661	0.3753000662045171	0.4247792596518231	True
CXCL2	240.73524897457426	0.6622977965156256	0.2445136815629829	0.7984679925940189	0.42459896018578724	0.7822540807484091	0.17368441885692226	True
RPS4XP6	38.01768957569877	-0.5295526778078303	0.05368930676583217	-10.154661029966107	3.1590603371098624e-24	1.3483922538897262e-21	-0.5395776578832904	True
LUCAT1	126.50278105672581	0.8771917682667942	0.21285185966946593	1.8336480304958553	0.06670625763532999	0.3632384805336786	0.36281637779409925	True
RPS4XP7	15.428523134143846	-0.5861222767224024	0.07219309857823693	-8.475740619774076	2.3358867728830953e-17	7.477757531692009e-15	-0.6025997265057177	True
DDX43	18.530434274921795	0.5836971189384191	0.0715236607250628	8.491275089823228	2.0438214787958586e-17	6.617987917144613e-15	0.600071060874486	True
IL6	77.87416515107209	0.9028211423296904	0.22116102036116053	0.6163328794094494	0.5376748427706552	0.8446820207278679	0.12414182617548683	True
PRKX	1081.3907653256488	-0.5271977407426709	0.019422440326804683	-27.253646846209126	1.5044335207062877e-163	1.46142747282127e-160	-0.5290208827566246	True
BX890604.1	1082.028090116858	-0.7275447226524067	0.08367511332255297	-8.920392306945276	4.646393569922829e-19	1.577030762148145e-16	-0.7457703817619731	True
BX842570.1	15.5353134949125	-0.8117113075801426	0.0791094307595948	-10.5528120287186	4.929912767822372e-26	2.240009235198775e-23	-0.8266557485118996	True
PUDP	140.1198151630595	-0.6178051353005433	0.041347125032413466	-15.106439331660303	1.4686411939684025e-51	9.402975244382696e-49	-0.6230058578051583	True
MAP7D2	11.727346921861155	-3.2708776178221806	0.07383399716868876	-44.38941596181394	0.0	0.0	-3.2737360819994286	True
EIF1AX	474.8577107658878	-0.6933971451842801	0.02780400094071222	-24.983766929431468	9.178139212862774e-138	7.835071508047187e-135	-0.6958649350099341	True
ZFX	685.0705868899574	-0.624758560821236	0.01944081112931893	-32.18284915116995	3.0671173917676493e-227	4.3201882021743223e-224	-0.6258162783498468	True
KDM6A	866.8232291287951	-0.7096172850233683	0.025377796964005078	-28.072486476245075	2.12362887100344e-173	2.300951881732227e-170	-0.7116622781884553	True
KDM5C	2136.938270811093	-0.5109183748556239	0.018771378480292648	-27.3168454676042	2.6759421955306733e-164	2.6922845567962356e-161	-0.5120669363873919	True
ERCC6L	12.393611009302974	-2.4325933922447502	0.08185500376926438	-30.038631731849343	3.073353837726119e-198	3.935429589208296e-195	-2.438118582227017	True
XIST	6164.872301053627	-11.579683051010402	0.21550086727620688	-59.91152542149053	0.0	0.0	-11.003999447325807	True
JPX	331.6530864211821	-0.6411822116911318	0.03270235833834059	-19.68188331723947	3.0832911693988073e-86	2.285773566661416e-83	-0.6440672578577777	True
AC067904.2	23.997454794390453	-0.5204106152820364	0.08380035513450498	-6.610635484846905	3.8267370328983166e-11	9.711982788628691e-09	-0.5449385175492034	True
ASPH	215.03981592270392	0.5931419208963071	0.07097933320129458	6.770167113582501	1.2863372742604096e-11	3.38667358441028e-09	0.4732002195531546	True
SDC2	11.583538797491968	1.6572433778317	0.30540378282327824	4.606444627189733	4.096120702047325e-06	0.00043217908725608683	1.1975989125066764	True
MAILR	79.71542890942182	0.5213563914770416	0.10420548228704474	-0.1969904131750261	0.8438350399713612	0.9545467517316178	-0.019798913488680764	True
