metric	bin_lo_bp	bin_hi_bp	n	value
variant_count	NA	NA	114818	114818
missing_or_invalid_p	NA	NA	26	26
excluded_p_lt_1e-10	NA	NA	29	29
mean_chisq	NA	NA	114818	1.5705504
median_chisq	NA	NA	114818	0.65302706
lambda_gc	NA	NA	114818	1.4354249
chisq_cov_over_2	0	1000	85845	1.0369033
mean_pair_distance	0	1000	85845	479.74258
chisq_cov_over_2	1000	2000	75568	0.97739783
mean_pair_distance	1000	2000	75568	1497.5831
chisq_cov_over_2	2000	5000	214145	0.9546291
mean_pair_distance	2000	5000	214145	3489.1377
chisq_cov_over_2	5000	10000	347252	0.86830284
mean_pair_distance	5000	10000	347252	7487.4297
chisq_cov_over_2	10000	20000	678033	0.75489273
mean_pair_distance	10000	20000	678033	14982.567
chisq_cov_over_2	20000	50000	1984355	0.56692842
mean_pair_distance	20000	50000	1984355	34932.898
chisq_cov_over_2	50000	100000	3230082	0.40699246
mean_pair_distance	50000	100000	3230082	74901.342
chisq_cov_over_2	100000	200000	6304173	0.27326149
mean_pair_distance	100000	200000	6304173	149796.8
chisq_cov_over_2	200000	500000	18410726	0.1761106
mean_pair_distance	200000	500000	18410726	349245
