group	member	nseq	alignment_length	parsimony_informative_sites	parsimony_informative_pct
animals	1001705at2759.faa.mafft	1	454	0	0.0
animals	1003258at2759.faa.mafft	3	441	0	0.0
animals	100698at2759.faa.mafft	3	806	0	0.0
animals	1010730at2759.faa.mafft	3	578	0	0.0
animals	1014314at2759.faa.mafft	4	357	9	2.5210084033613445
animals	1018517at2759.faa.mafft	4	293	8	2.7303754266211606
animals	1019762at2759.faa.mafft	3	684	0	0.0
animals	1025450at2759.faa.mafft	1	417	0	0.0
animals	1030907at2759.faa.mafft	1	362	0	0.0
animals	1032689at2759.faa.mafft	1	312	0	0.0
animals	1038775at2759.faa.mafft	3	383	0	0.0
animals	1041560at2759.faa.mafft	3	457	0	0.0
animals	1049599at2759.faa.mafft	2	506	0	0.0
animals	1051021at2759.faa.mafft	2	503	0	0.0
animals	1053181at2759.faa.mafft	2	291	0	0.0
animals	1065019at2759.faa.mafft	3	411	0	0.0
animals	1076134at2759.faa.mafft	1	270	0	0.0
animals	1079130at2759.faa.mafft	2	417	0	0.0
animals	1079827at2759.faa.mafft	3	260	0	0.0
animals	1085752at2759.faa.mafft	2	457	0	0.0
animals	1087488at2759.faa.mafft	1	428	0	0.0
animals	1090038at2759.faa.mafft	1	289	0	0.0
animals	1094121at2759.faa.mafft	3	183	0	0.0
animals	1096688at2759.faa.mafft	3	483	0	0.0
animals	1106766at2759.faa.mafft	1	609	0	0.0
animals	1107630at2759.faa.mafft	1	339	0	0.0
animals	1108845at2759.faa.mafft	1	495	0	0.0
animals	1111142at2759.faa.mafft	2	531	0	0.0
animals	1112002at2759.faa.mafft	3	864	0	0.0
animals	1128607at2759.faa.mafft	2	337	0	0.0
animals	1129824at2759.faa.mafft	3	269	0	0.0
animals	1138059at2759.faa.mafft	3	285	0	0.0
animals	1157302at2759.faa.mafft	3	246	0	0.0
animals	1161199at2759.faa.mafft	3	309	0	0.0
animals	1173229at2759.faa.mafft	4	446	12	2.690582959641256
animals	1178688at2759.faa.mafft	2	239	0	0.0
animals	1182451at2759.faa.mafft	1	329	0	0.0
animals	1193442at2759.faa.mafft	4	460	12	2.608695652173913
animals	1194691at2759.faa.mafft	3	412	0	0.0
animals	1194797at2759.faa.mafft	2	853	0	0.0
animals	1197019at2759.faa.mafft	1	203	0	0.0
animals	1200489at2759.faa.mafft	3	210	0	0.0
animals	1217666at2759.faa.mafft	3	253	0	0.0
animals	1220881at2759.faa.mafft	2	332	0	0.0
animals	1222562at2759.faa.mafft	2	315	0	0.0
animals	1223488at2759.faa.mafft	1	197	0	0.0
animals	1228942at2759.faa.mafft	2	279	0	0.0
animals	1236198at2759.faa.mafft	1	147	0	0.0
animals	1247641at2759.faa.mafft	1	269	0	0.0
animals	1248958at2759.faa.mafft	2	986	0	0.0
animals	1249159at2759.faa.mafft	4	205	5	2.4390243902439024
animals	1251252at2759.faa.mafft	3	267	0	0.0
animals	1257440at2759.faa.mafft	2	185	0	0.0
animals	1258856at2759.faa.mafft	2	892	0	0.0
animals	1259741at2759.faa.mafft	2	393	0	0.0
animals	1260807at2759.faa.mafft	3	466	0	0.0
animals	1264469at2759.faa.mafft	3	290	0	0.0
animals	1266231at2759.faa.mafft	2	236	0	0.0
animals	1269244at2759.faa.mafft	3	255	0	0.0
animals	1269649at2759.faa.mafft	4	291	12	4.123711340206185
animals	1275837at2759.faa.mafft	2	365	0	0.0
animals	1284731at2759.faa.mafft	3	270	0	0.0
animals	1287094at2759.faa.mafft	3	208	0	0.0
animals	1287401at2759.faa.mafft	3	279	0	0.0
animals	1291729at2759.faa.mafft	3	220	0	0.0
animals	1304061at2759.faa.mafft	3	197	0	0.0
animals	1309031at2759.faa.mafft	1	574	0	0.0
animals	1312453at2759.faa.mafft	1	1354	0	0.0
animals	1314980at2759.faa.mafft	1	843	0	0.0
animals	1322299at2759.faa.mafft	1	621	0	0.0
animals	1322642at2759.faa.mafft	2	299	0	0.0
animals	1323575at2759.faa.mafft	2	440	0	0.0
animals	1324510at2759.faa.mafft	1	458	0	0.0
animals	1338131at2759.faa.mafft	3	200	0	0.0
animals	1339553at2759.faa.mafft	2	465	0	0.0
animals	1342242at2759.faa.mafft	4	378	10	2.6455026455026456
animals	1346165at2759.faa.mafft	3	432	0	0.0
animals	1346432at2759.faa.mafft	4	262	8	3.053435114503817
animals	1348942at2759.faa.mafft	2	352	0	0.0
animals	1355894at2759.faa.mafft	3	178	0	0.0
animals	1358374at2759.faa.mafft	3	434	0	0.0
animals	1364586at2759.faa.mafft	3	252	0	0.0
animals	1370285at2759.faa.mafft	3	693	0	0.0
animals	1370304at2759.faa.mafft	1	799	0	0.0
animals	1377237at2759.faa.mafft	1	281	0	0.0
animals	1379600at2759.faa.mafft	3	872	0	0.0
animals	1380409at2759.faa.mafft	2	211	0	0.0
animals	1382842at2759.faa.mafft	3	187	0	0.0
animals	1395649at2759.faa.mafft	1	180	0	0.0
animals	1398309at2759.faa.mafft	1	167	0	0.0
animals	1404162at2759.faa.mafft	2	580	0	0.0
animals	1405073at2759.faa.mafft	4	180	3	1.6666666666666667
animals	1405146at2759.faa.mafft	2	225	0	0.0
animals	1407446at2759.faa.mafft	2	171	0	0.0
animals	1421503at2759.faa.mafft	3	161	0	0.0
animals	1423847at2759.faa.mafft	3	382	0	0.0
animals	142542at2759.faa.mafft	1	1092	0	0.0
animals	1426075at2759.faa.mafft	1	141	0	0.0
animals	1428265at2759.faa.mafft	1	244	0	0.0
animals	1428854at2759.faa.mafft	4	1021	29	2.840352595494613
animals	1430056at2759.faa.mafft	1	239	0	0.0
animals	1432328at2759.faa.mafft	3	323	0	0.0
animals	1434266at2759.faa.mafft	3	230	0	0.0
animals	1440961at2759.faa.mafft	1	267	0	0.0
animals	1441854at2759.faa.mafft	3	308	0	0.0
animals	1442062at2759.faa.mafft	2	521	0	0.0
animals	1445102at2759.faa.mafft	3	261	0	0.0
animals	1450538at2759.faa.mafft	1	312	0	0.0
animals	1454155at2759.faa.mafft	2	314	0	0.0
animals	1455730at2759.faa.mafft	3	551	0	0.0
animals	1459797at2759.faa.mafft	2	135	0	0.0
animals	1474000at2759.faa.mafft	2	405	0	0.0
animals	1488235at2759.faa.mafft	3	182	0	0.0
animals	1488436at2759.faa.mafft	3	138	0	0.0
animals	1490022at2759.faa.mafft	1	192	0	0.0
animals	1504863at2759.faa.mafft	4	228	6	2.6315789473684212
animals	1513531at2759.faa.mafft	3	289	0	0.0
animals	1525971at2759.faa.mafft	4	153	2	1.3071895424836601
animals	1526152at2759.faa.mafft	3	189	0	0.0
animals	1530008at2759.faa.mafft	1	244	0	0.0
animals	1538526at2759.faa.mafft	3	163	0	0.0
animals	1545004at2759.faa.mafft	3	98	0	0.0
animals	1552706at2759.faa.mafft	3	145	0	0.0
animals	1558822at2759.faa.mafft	2	91	0	0.0
animals	156083at2759.faa.mafft	4	2341	5	0.21358393848782573
animals	1563319at2759.faa.mafft	1	340	0	0.0
animals	1567796at2759.faa.mafft	2	199	0	0.0
animals	1575179at2759.faa.mafft	2	110	0	0.0
animals	1576404at2759.faa.mafft	1	230	0	0.0
animals	1588798at2759.faa.mafft	2	320	0	0.0
animals	1593937at2759.faa.mafft	1	375	0	0.0
animals	160593at2759.faa.mafft	2	2731	0	0.0
animals	1617752at2759.faa.mafft	2	121	0	0.0
animals	1620056at2759.faa.mafft	4	189	10	5.291005291005291
animals	1626636at2759.faa.mafft	3	219	0	0.0
animals	1633672at2759.faa.mafft	3	102	0	0.0
animals	1645187at2759.faa.mafft	2	134	0	0.0
animals	166920at2759.faa.mafft	1	1499	0	0.0
animals	176625at2759.faa.mafft	3	1183	0	0.0
animals	179362at2759.faa.mafft	1	1312	0	0.0
animals	245208at2759.faa.mafft	1	1322	0	0.0
animals	257318at2759.faa.mafft	1	577	0	0.0
animals	261328at2759.faa.mafft	1	678	0	0.0
animals	271586at2759.faa.mafft	3	1076	0	0.0
animals	290630at2759.faa.mafft	3	940	0	0.0
animals	293315at2759.faa.mafft	1	1428	0	0.0
animals	296129at2759.faa.mafft	3	1058	0	0.0
animals	299766at2759.faa.mafft	1	1027	0	0.0
animals	306227at2759.faa.mafft	3	799	0	0.0
animals	320059at2759.faa.mafft	3	553	0	0.0
animals	324863at2759.faa.mafft	3	969	0	0.0
animals	325552at2759.faa.mafft	1	609	0	0.0
animals	330169at2759.faa.mafft	2	504	0	0.0
animals	331411at2759.faa.mafft	3	748	0	0.0
animals	341721at2759.faa.mafft	4	837	20	2.3894862604540026
animals	345441at2759.faa.mafft	1	550	0	0.0
animals	355408at2759.faa.mafft	3	691	0	0.0
animals	369837at2759.faa.mafft	2	756	0	0.0
animals	375960at2759.faa.mafft	2	542	0	0.0
animals	383503at2759.faa.mafft	2	503	0	0.0
animals	388820at2759.faa.mafft	2	952	0	0.0
animals	390348at2759.faa.mafft	3	1030	0	0.0
animals	39650at2759.faa.mafft	3	2306	0	0.0
animals	396755at2759.faa.mafft	3	1216	0	0.0
animals	418107at2759.faa.mafft	3	451	0	0.0
animals	426305at2759.faa.mafft	2	802	0	0.0
animals	450058at2759.faa.mafft	1	366	0	0.0
animals	453044at2759.faa.mafft	4	478	19	3.9748953974895396
animals	457861at2759.faa.mafft	1	306	0	0.0
animals	464990at2759.faa.mafft	1	570	0	0.0
animals	491869at2759.faa.mafft	3	473	0	0.0
animals	513979at2759.faa.mafft	1	581	0	0.0
animals	543764at2759.faa.mafft	2	514	0	0.0
animals	549762at2759.faa.mafft	1	647	0	0.0
animals	551907at2759.faa.mafft	2	1081	0	0.0
animals	570797at2759.faa.mafft	4	903	29	3.211517165005537
animals	582756at2759.faa.mafft	2	553	0	0.0
animals	598949at2759.faa.mafft	1	1251	0	0.0
animals	604979at2759.faa.mafft	1	809	0	0.0
animals	621827at2759.faa.mafft	3	570	0	0.0
animals	655400at2759.faa.mafft	2	478	0	0.0
animals	664730at2759.faa.mafft	4	463	11	2.375809935205184
animals	671536at2759.faa.mafft	1	496	0	0.0
animals	673132at2759.faa.mafft	4	415	17	4.096385542168675
animals	674160at2759.faa.mafft	3	2911	0	0.0
animals	674169at2759.faa.mafft	2	701	0	0.0
animals	679771at2759.faa.mafft	3	391	0	0.0
animals	687505at2759.faa.mafft	2	363	0	0.0
animals	692986at2759.faa.mafft	1	794	0	0.0
animals	708105at2759.faa.mafft	2	426	0	0.0
animals	719531at2759.faa.mafft	2	489	0	0.0
animals	720340at2759.faa.mafft	3	561	0	0.0
animals	721605at2759.faa.mafft	4	436	18	4.128440366972477
animals	734341at2759.faa.mafft	1	269	0	0.0
animals	734666at2759.faa.mafft	3	517	0	0.0
animals	736068at2759.faa.mafft	1	451	0	0.0
animals	751335at2759.faa.mafft	1	470	0	0.0
animals	759498at2759.faa.mafft	2	732	0	0.0
animals	761109at2759.faa.mafft	2	678	0	0.0
animals	768809at2759.faa.mafft	1	376	0	0.0
animals	777920at2759.faa.mafft	3	598	0	0.0
animals	779909at2759.faa.mafft	1	326	0	0.0
animals	801857at2759.faa.mafft	1	436	0	0.0
animals	814241at2759.faa.mafft	3	435	0	0.0
animals	817008at2759.faa.mafft	1	417	0	0.0
animals	834694at2759.faa.mafft	1	728	0	0.0
animals	836599at2759.faa.mafft	3	545	0	0.0
animals	83779at2759.faa.mafft	2	652	0	0.0
animals	844748at2759.faa.mafft	2	482	0	0.0
animals	855834at2759.faa.mafft	2	700	0	0.0
animals	858842at2759.faa.mafft	1	485	0	0.0
animals	865202at2759.faa.mafft	2	305	0	0.0
animals	866359at2759.faa.mafft	3	327	0	0.0
animals	869548at2759.faa.mafft	2	269	0	0.0
animals	878143at2759.faa.mafft	1	442	0	0.0
animals	87842at2759.faa.mafft	2	1066	0	0.0
animals	887370at2759.faa.mafft	2	581	0	0.0
animals	891751at2759.faa.mafft	3	572	0	0.0
animals	898782at2759.faa.mafft	2	547	0	0.0
animals	901894at2759.faa.mafft	2	543	0	0.0
animals	905026at2759.faa.mafft	2	706	0	0.0
animals	911863at2759.faa.mafft	2	425	0	0.0
animals	917326at2759.faa.mafft	1	639	0	0.0
animals	919955at2759.faa.mafft	3	389	0	0.0
animals	923657at2759.faa.mafft	2	317	0	0.0
animals	924753at2759.faa.mafft	2	465	0	0.0
animals	931188at2759.faa.mafft	2	629	0	0.0
animals	937275at2759.faa.mafft	1	417	0	0.0
animals	937686at2759.faa.mafft	2	491	0	0.0
animals	939345at2759.faa.mafft	1	245	0	0.0
animals	944899at2759.faa.mafft	2	398	0	0.0
animals	946128at2759.faa.mafft	1	532	0	0.0
animals	956854at2759.faa.mafft	1	294	0	0.0
animals	97116at2759.faa.mafft	1	1220	0	0.0
animals	973442at2759.faa.mafft	2	425	0	0.0
animals	974865at2759.faa.mafft	4	309	10	3.236245954692557
animals	975158at2759.faa.mafft	3	459	0	0.0
animals	975557at2759.faa.mafft	1	755	0	0.0
animals	976469at2759.faa.mafft	2	386	0	0.0
animals	981902at2759.faa.mafft	3	391	0	0.0
animals	996662at2759.faa.mafft	4	453	12	2.6490066225165565
fungi	1001705at2759.faa.mafft	4	596	20	3.3557046979865772
fungi	1003258at2759.faa.mafft	4	1071	21	1.9607843137254901
fungi	100698at2759.faa.mafft	4	954	34	3.5639412997903563
fungi	1010730at2759.faa.mafft	4	650	23	3.5384615384615383
fungi	1014314at2759.faa.mafft	4	455	17	3.7362637362637363
fungi	1018517at2759.faa.mafft	4	345	24	6.956521739130435
fungi	1019762at2759.faa.mafft	4	918	25	2.7233115468409586
fungi	1025450at2759.faa.mafft	4	594	27	4.545454545454546
fungi	1030907at2759.faa.mafft	4	421	9	2.137767220902613
fungi	1032689at2759.faa.mafft	4	688	21	3.052325581395349
fungi	1038775at2759.faa.mafft	3	384	0	0.0
fungi	1041560at2759.faa.mafft	4	666	27	4.054054054054054
fungi	1049599at2759.faa.mafft	3	551	0	0.0
fungi	1051021at2759.faa.mafft	4	891	17	1.9079685746352413
