candidate	profile_count	profiles
FOXA1	1	MA0148.5:FOXA1
GATA3	1	MA0037.5:Gata3
MAX	1	MA0058.4:MAX
STAT1	1	MA0137.4:STAT1
OCT4	1	MA1115.2:POU5F1
P53	1	MA0106.3:TP53
NANOG	1	MA2339.1:Nanog
HNF4A	2	MA1494.2:HNF4A;MA0114.5:HNF4A
TBP	1	MA0108.3:TBP
FOS	2	MA0476.2:FOS;MA1951.2:FOS
MYC	1	MA0147.4:MYC
JUN	2	MA0489.3:Jun;MA0488.2:JUN
FOXO1	1	MA0480.3:Foxo1
CTCF	3	MA0139.2:CTCF;MA1929.2:CTCF;MA1930.2:CTCF
TCF7	1	MA0769.3:TCF7
SOX2	1	MA0143.5:SOX2
E2F1	1	MA0024.3:E2F1
CREB1	1	MA0018.5:CREB1
GATA1	1	MA0035.5:GATA1
KLF3	1	MA1516.2:KLF3
