motif_id	motif_name	candidate
MA0106.3	TP53	P53
MA0024.3	E2F1	E2F1
MA2339.1	Nanog	NANOG
MA0489.3	Jun	JUN
MA0488.2	JUN	JUN
MA0018.5	CREB1	CREB1
MA0139.2	CTCF	CTCF
MA1929.2	CTCF	CTCF
MA1930.2	CTCF	CTCF
MA0480.3	Foxo1	FOXO1
MA0058.4	MAX	MAX
MA0476.2	FOS	FOS
MA1951.2	FOS	FOS
MA0148.5	FOXA1	FOXA1
MA0035.5	GATA1	GATA1
MA0037.5	Gata3	GATA3
MA0143.5	SOX2	SOX2
MA1494.2	HNF4A	HNF4A
MA0114.5	HNF4A	HNF4A
MA1516.2	KLF3	KLF3
MA0147.4	MYC	MYC
MA1115.2	POU5F1	OCT4
MA0137.4	STAT1	STAT1
MA0108.3	TBP	TBP
MA0769.3	TCF7	TCF7
