metric	value
full_inter_mix_endo	395
full_inter_mix_exo	592
full_inter_endo_exo	395
full_prefix_mix_endo	395
full_prefix_mix_exo	592
full_prefix_endo_exo	395
full_mix_equals_endo_plus_exo_multiset	False
full_mix_equals_exo_plus_nonoverlap_resid	99
full_mix_equals_endo_plus_nonoverlap_resid	296
seqqual_inter_mix_endo	395
seqqual_inter_mix_exo	592
seqqual_inter_endo_exo	395
seqqual_prefix_mix_endo	395
seqqual_prefix_mix_exo	592
seqqual_prefix_endo_exo	395
seqqual_mix_equals_endo_plus_exo_multiset	False
seqqual_mix_equals_exo_plus_nonoverlap_resid	99
seqqual_mix_equals_endo_plus_nonoverlap_resid	296
seq_inter_mix_endo	395
seq_inter_mix_exo	592
seq_inter_endo_exo	395
seq_prefix_mix_endo	395
seq_prefix_mix_exo	592
seq_prefix_endo_exo	395
seq_mix_equals_endo_plus_exo_multiset	False
seq_mix_equals_exo_plus_nonoverlap_resid	99
seq_mix_equals_endo_plus_nonoverlap_resid	296
seqqual_same_index_mix_endo	395
seqqual_same_index_mix_exo	592
