section	metric	value
counts	mix_reads	691
counts	mix_unique_seq	661
counts	mix_lengths	50:691
counts	endo_reads	395
counts	endo_unique_seq	385
counts	endo_lengths	50:395
counts	exo_reads	592
counts	exo_unique_seq	571
counts	exo_lengths	50:592
exact_seq	mix_exo_only	189
exact_seq	mix_endo_only	0
exact_seq	mix_ambiguous	412
exact_seq	mix_neither	90
exact_seq	mix_any_exo_hit	601
exact_seq	mix_any_endo_hit	412
exact_seq	mix_exo_intersection_multiset	592
exact_seq	mix_endo_intersection_multiset	395
exact_seq	exo_endo_intersection_multiset	395
exact_seq	private_exo_fraction_lower_bound	0.273517
exact_seq_qual	mix_exo_only	197
exact_seq_qual	mix_endo_only	0
exact_seq_qual	mix_ambiguous	395
exact_seq_qual	mix_neither	99
exact_seq_qual	mix_any_exo_hit	592
exact_seq_qual	mix_any_endo_hit	395
exact_seq_qual	mix_exo_intersection_multiset	592
exact_seq_qual	mix_endo_intersection_multiset	395
exact_seq_qual	exo_endo_intersection_multiset	395
exact_seq_qual	private_exo_fraction_lower_bound	0.285094
kmer	k	exo_kmers	endo_kmers	exo_private	endo_private	mix_exo_call	mix_endo_call	mix_both_private	mix_neither_private
kmer	15	6120	5520	600	0	101	0	0	590
kmer	19	6111	5356	755	0	113	0	0	578
kmer	23	6017	5142	875	0	133	0	0	558
kmer	27	5846	4874	972	0	152	0	0	539
kmer	31	5594	4548	1046	0	164	0	0	527
kmer	35	5132	4065	1067	0	182	0	0	509
kmer	41	3954	2980	974	0	202	0	0	489
kmer	47	2024	1416	608	0	196	0	0	495
residual_count	mix_minus_endo_reads	296
residual_count	residual_fraction	0.428365
residual_count	nearest_10_percent	40
