segment	n	k	exo_private_reads	endo_private_reads	both	neither
mix_1_395	395	23	0	0	0	395
mix_396_592	197	23	99	0	0	98
mix_593_691	99	23	34	0	0	65
exo_all	592	23	99	0	0	493
endo_all	395	23	0	0	0	395
mix_1_395	395	31	0	0	0	395
mix_396_592	197	31	122	0	0	75
mix_593_691	99	31	42	0	0	57
exo_all	592	31	122	0	0	470
endo_all	395	31	0	0	0	395
mix_1_395	395	41	0	0	0	395
mix_396_592	197	41	167	0	0	30
mix_593_691	99	41	35	0	0	64
exo_all	592	41	167	0	0	425
endo_all	395	41	0	0	0	395
mix_1_395	395	47	0	0	0	395
mix_396_592	197	47	183	0	0	14
mix_593_691	99	47	13	0	0	86
exo_all	592	47	183	0	0	409
endo_all	395	47	0	0	0	395
